SED_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED10055,225,3190,3420,6567,607,7177,4921,179,5103,5929,186,6117,3107,120,3224,1969,71,2043,22719,4362,27079
SED10056,449,9571,10017,10331,1931,12263,3991,508,4500,3777,382,4158,2000,199,2198,1019,123,1141,21566,12712,34283
SED10057,458,10052,10515,11219,1964,13181,3534,389,3929,2903,216,3121,1341,146,1485,806,72,880,20269,12840,33107
SED10058,558,11620,12177,9936,2395,12338,4022,843,4869,3535,316,3854,1268,95,1365,419,38,457,19748,15310,35058
SED10059,397,14420,14818,9977,3460,13435,3249,1433,4681,2474,667,3142,646,178,823,183,67,248,16929,20220,37148
SED10060,497,13504,13999,11861,2088,13946,4193,485,4673,3227,167,3395,958,42,1004,265,12,276,21003,16292,37295
SED10061,426,9922,10347,9552,2172,11721,3606,632,4232,3132,415,3544,1557,212,1768,921,98,1026,19190,13446,32638
SED10062,253,5930,6182,7401,829,8232,4736,300,5037,5087,198,5284,2197,85,2280,1101,40,1147,20771,7390,28163
SED10063,432,9242,9667,9340,1518,10856,4028,449,4478,3742,271,4010,2065,138,2203,1011,77,1086,20610,11690,32302
SED10064,374,9153,9525,10249,2394,12643,3762,418,4176,3083,300,3386,1526,168,1693,1012,89,1103,20010,12511,32528
SED10065,383,10277,10660,10207,2403,12607,7704,923,8626,6389,507,6897,2286,176,2458,1244,77,1328,28207,14374,42579
SED10066,324,9104,9435,8933,1460,10387,4952,395,5349,4548,202,4747,1992,112,2108,1009,63,1064,21758,11335,33092
SED10067,380,6269,6649,8511,951,9461,3917,241,4157,4663,186,4845,2044,94,2138,783,34,822,20297,7772,28071
SED10068,445,9885,10327,12251,1834,14087,3915,393,4311,3430,193,3617,1535,80,1620,748,40,789,22324,12427,34756
SED10069,442,7942,8384,10971,1502,12476,3817,300,4122,3408,181,3589,1593,82,1671,912,44,959,21148,10056,31202
SED10070,175,4944,5118,6561,790,7345,5275,308,5579,5755,244,6000,2687,170,2857,1816,85,1897,22260,6541,28806
SED10071,290,4039,4331,7628,894,8526,7854,390,8247,10137,345,10479,3699,123,3822,2026,54,2081,31637,5849,37486
SED10072,332,9389,9724,10106,2328,12432,5531,815,6348,4684,402,5089,1970,157,2126,1146,82,1225,23771,13170,36947
SED10073,396,10272,10664,10928,1952,12883,6302,589,6891,5560,307,5869,1900,109,2006,1001,67,1066,26091,13289,39384
SED10074,263,6336,6599,7960,1107,9066,5397,415,5809,5681,291,5972,2166,132,2296,1157,59,1209,22622,8340,30957
SED10075,361,7389,7753,10362,1142,11502,5230,270,5498,5156,238,5396,2207,93,2299,1032,38,1066,24351,9171,33519
SED10076,448,9345,9793,11319,1969,13291,3833,412,4242,3103,307,3418,1403,133,1537,748,67,812,20857,12233,33089
SED10077,286,8370,8658,9244,2416,11662,6333,1167,7496,5433,726,6161,2133,291,2422,1256,150,1409,24689,13123,37809
SED10078,414,10407,10826,9369,2235,11608,4638,661,5306,3896,314,4207,1204,114,1325,600,54,653,20125,13795,33923
SED10079,386,8087,8476,9948,1312,11259,4017,226,4242,3917,145,4067,1624,56,1683,685,31,722,20587,9856,30440
SED10080,480,20605,21086,12834,4048,16885,3396,1248,4641,2154,707,2857,634,249,882,284,114,400,19788,26966,46752
SED10081,458,9210,9665,9512,1702,11216,4128,444,4573,3766,322,4090,1873,178,2056,966,76,1043,20715,11933,32644
SED10082,368,6971,7337,9293,1169,10458,4068,273,4340,4589,201,4794,1952,93,2044,867,47,915,21134,8755,29891
SED10083,372,7871,8247,8793,1272,10064,4250,287,4541,4145,185,4330,1762,87,1849,872,40,911,20194,9746,29941
SED10084,458,9626,10079,10483,2162,12650,4097,506,4593,3902,265,4170,1649,110,1762,792,41,831,21378,12712,34084
SED10085,489,8215,8710,9328,1605,10932,4001,390,4390,3844,269,4113,1955,111,2069,969,59,1018,20583,10650,31231
SED10086,469,10004,10470,9711,2693,12408,4018,762,4783,3845,259,4107,1457,88,1547,465,27,495,19972,13836,33812
SED10087,480,8928,9411,9269,1502,10776,4196,492,4691,3912,267,4184,1925,124,2051,1027,74,1102,20816,11396,32208
SED10088,310,6490,6806,7835,1019,8860,4640,256,4900,5892,191,6083,2261,68,2328,984,37,1021,21927,8071,29998
SED10089,464,8603,9066,9328,1621,10951,4868,642,5509,4571,318,4886,1821,149,1968,830,84,921,21881,11423,33297
SED10090,413,8513,8921,9538,1406,10947,5270,428,5698,5621,246,5870,1791,67,1858,592,27,624,23220,10689,33909
SED10091,324,6113,6444,9169,1005,10173,4230,248,4482,4637,211,4852,2426,99,2525,1389,59,1447,22179,7733,29919
SED10092,366,11188,11553,10142,2230,12375,4422,729,5155,3877,325,4201,1577,130,1707,863,64,922,21252,14667,35918
SED10093,343,7684,8030,8847,1407,10256,4638,372,5007,4353,216,4563,2070,117,2189,1160,61,1219,21412,9860,31273
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,563,17630,18198,12096,3641,15739,3685,791,4477,2513,252,2768,648,50,695,145,16,159,19655,22387,42037
SED20207,405,6722,7132,9043,1289,10331,7138,478,7621,7948,384,8334,2661,152,2820,1395,85,1480,28602,9116,37722
SED20302,467,9751,10218,12159,1934,14095,6358,519,6877,6715,320,7040,2992,157,3147,1654,75,1726,30340,12758,43104
SED20401,252,6337,6593,7299,1011,8316,4068,261,4333,3881,144,4022,1351,47,1397,554,21,571,17409,7831,25240
SED20508,417,7205,7627,10411,1390,11801,3562,235,3799,3709,175,3883,1527,68,1595,481,26,506,20116,9104,29212
SED20604,424,7774,8194,9000,1250,10251,3610,302,3914,3434,182,3617,1523,111,1635,641,35,678,18636,9649,28292
SED20704,360,7444,7802,8569,1179,9746,3803,374,4175,3716,193,3916,1740,106,1842,781,39,822,18967,9342,28308
SED20804,381,8476,8857,8159,1330,9486,3332,338,3673,2926,187,3113,1150,81,1232,566,19,592,16515,10438,26952
SED20906,324,5839,6157,6704,853,7565,4220,257,4483,5021,160,5180,1537,63,1605,374,20,395,18181,7200,25378
SED21001,302,7741,8044,8040,1445,9492,4333,460,4791,4422,273,4693,1443,92,1537,551,53,600,19097,10056,29153
SED21106,350,7722,8069,7282,1117,8398,3355,254,3609,3695,136,3833,1303,78,1380,311,15,328,16290,9327,25616
SED21203,159,5369,5536,5368,996,6362,3706,465,4169,3581,414,3994,2216,219,2435,2041,129,2173,17080,7595,24672
SED21303,356,11391,11751,8998,2643,11637,3740,1160,4904,3275,572,3849,852,137,991,307,39,340,17534,15942,33477
SED21401,295,5470,5767,7925,765,8697,4350,226,4578,4142,158,4304,1501,61,1558,596,37,628,18813,6720,25528
SED21503,251,5404,5654,6539,900,7437,3673,347,4019,3778,223,4002,1295,85,1386,514,78,595,16054,7036,23090
SED21608,340,6953,7296,7957,1201,9161,3517,340,3856,3529,184,3717,1587,99,1683,740,47,787,17676,8817,26491
SED21706,291,6017,6307,6693,983,7680,4036,468,4503,4482,296,4777,1570,134,1701,471,58,531,17546,7954,25499
SED21805,344,7829,8169,8036,1118,9156,4505,291,4793,4202,139,4343,1454,64,1519,566,28,595,19109,9470,28586
SED21906,345,9048,9390,8032,1731,9769,3389,497,3886,3325,237,3563,1275,86,1366,581,28,608,16945,11634,28582
SED22005,205,6073,6273,7035,1295,8333,4754,626,5378,4367,464,4828,1613,185,1797,937,125,1065,18906,8766,27679
SED22105,343,6035,6381,8932,1219,10147,7333,492,7830,8814,375,9188,3913,213,4132,2746,124,2874,32089,8464,40552
SED22201,309,6164,6469,7303,778,8075,3724,208,3930,3715,90,3806,1325,43,1372,577,15,592,16951,7292,24246
SED22305,210,6618,6821,6282,1323,7603,4189,711,4899,3637,411,4050,1827,232,2052,1585,109,1697,17733,9400,27132
SED22404,355,6572,6926,8033,1392,9427,3104,351,3451,2999,261,3262,1338,124,1458,605,68,666,16424,8777,25198
SED22501,283,3884,4167,6686,437,7132,3594,94,3689,4457,70,4526,1574,45,1621,429,10,441,17039,4543,21579
SED22607,322,9688,10010,7906,1593,9504,3719,481,4205,3978,235,4213,1383,68,1453,383,30,407,17699,12097,29791
SED22704,435,8503,8933,9330,1520,10854,3373,351,3721,2838,227,3066,1351,137,1485,678,65,743,18001,10800,28802
SED22802,274,4267,4542,6735,600,7335,3598,160,3753,4002,107,4112,1585,42,1626,716,22,739,16906,5203,22113
SED22901,239,4762,5002,6508,673,7182,3905,158,4063,3873,121,3992,1415,52,1463,625,16,643,16568,5779,22347
SED23007,345,9681,10021,8714,2188,10895,4770,839,5606,4042,392,4435,1567,195,1757,933,102,1031,20362,13390,33753
SED23101,230,4785,5019,6315,657,6974,3685,236,3920,4285,160,4451,1466,65,1530,589,38,619,16567,5938,22508
SED23205,329,8017,8355,7279,1317,8596,3641,329,3972,3228,177,3405,1212,94,1305,470,34,505,16168,9969,26136
SED23308,362,9948,10310,8137,1493,9635,3572,497,4064,3247,248,3497,1235,93,1324,391,42,435,16944,12315,29263
SED23402,349,5538,5891,8324,964,9287,4977,295,5273,5592,203,5793,2320,101,2426,1074,44,1119,22647,7145,29793
SED23502,400,8305,8701,9482,1478,10955,2918,336,3251,2546,227,2774,1215,109,1326,539,51,589,17104,10496,27599
SED23602,368,7625,7996,8253,1377,9624,2827,300,3126,2499,195,2695,1237,86,1319,553,35,589,15732,9620,25351
SED23702,337,6411,6746,8069,904,8971,4136,230,4362,4216,157,4369,1770,72,1840,800,37,838,19328,7805,27126
SED23806,316,8341,8651,7643,1524,9167,3112,409,3523,3597,171,3765,1352,80,1436,330,29,359,16351,10552,26899
SED23901,340,7074,7407,7599,1136,8734,3915,348,4266,4178,179,4351,1383,53,1439,487,30,515,17899,8822,26720
SED24006,290,5002,5296,6372,830,7205,3757,256,4016,4313,195,4503,1671,81,1757,556,26,587,16969,6390,23360
SED24105,163,4271,4433,5899,729,6621,4443,332,4769,4714,211,4929,2228,115,2344,1620,64,1689,19070,5715,24788
SED24207,247,4694,4945,6744,941,7686,5718,376,6090,6800,336,7140,3138,176,3314,2208,93,2297,24853,6613,31464
SED24308,326,7726,8048,7665,1250,8921,4053,444,4495,3447,229,3681,1442,96,1537,820,53,867,17750,9806,27551
SED24408,318,8366,8687,8052,1259,9306,2865,238,3105,2424,146,2568,1222,84,1297,469,24,494,15347,10112,25462
SED24504,348,5479,5831,8096,1132,9230,3384,281,3666,3799,171,3967,1572,90,1662,600,47,648,17802,7203,25010
SED24606,312,7885,8193,7220,1341,8558,3063,385,3447,3270,189,3460,1226,71,1300,282,14,297,15371,9886,25259
SED24703,547,26507,27052,15991,8022,24018,4660,2187,6850,2482,854,3337,598,249,852,235,74,307,24522,37892,62419
SED24808,347,7146,7492,8586,1317,9904,5659,453,6111,5627,317,5941,2628,201,2828,1832,126,1958,24670,9563,34238
SED24904,369,7822,8190,7767,1599,9368,3326,441,3770,2917,329,3240,1493,159,1650,823,101,924,16697,10448,27147
SED25003,203,4249,4451,6151,701,6852,4535,257,4791,5006,171,5175,2038,75,2115,973,36,1009,18908,5483,24385
SED25102,299,3859,4153,6287,641,6932,3537,163,3695,3832,115,3945,1535,38,1573,640,20,659,16128,4829,20961
SED25205,311,6806,7111,7190,787,7980,3968,204,4173,4595,126,4720,1483,36,1517,369,13,390,17917,7974,25891
SED25302,320,5915,6234,8089,749,8838,3287,164,3459,4039,131,4175,1634,54,1689,508,11,517,17881,7024,24902
SED25402,386,8428,8811,8585,1367,9956,3583,354,3937,3210,224,3434,1394,110,1502,606,50,656,17757,10533,28286
SED25501,239,4313,4550,6275,684,6964,4140,349,4487,4724,286,5010,1555,112,1664,654,61,720,17585,5811,23397
SED25605,201,4910,5114,6478,802,7281,3919,302,4220,3837,202,4040,1515,104,1617,812,46,864,16766,6370,23130
SED25704,312,7896,8200,8657,1370,10028,3140,306,3445,2723,209,2935,1446,120,1562,692,42,734,16959,9943,26901
SED25802,363,8184,8545,9640,1270,10903,3887,308,4200,3848,226,4071,1796,115,1912,896,62,959,20427,10164,30590
SED25905,202,3949,4151,6070,790,6864,4019,279,4294,4127,213,4343,1857,100,1951,1238,62,1306,17517,5395,22913
SED26005,191,3224,3417,5662,646,6306,5042,328,5371,6006,242,6253,2776,130,2904,2061,69,2126,21739,4636,26377
SED26102,393,8626,9017,10193,2111,12307,3181,447,3624,2805,306,3113,1132,150,1279,408,43,447,18110,11681,29785
SED26207,242,5455,5696,6922,708,7629,3826,202,4027,4142,118,4256,1476,48,1524,470,17,483,17079,6550,23627
SED26303,368,9196,9564,7536,1618,9156,3661,748,4405,3773,312,4085,1012,104,1121,290,36,321,16636,12007,28645
SED26406,296,8418,8717,7956,1658,9617,4176,638,4811,3913,393,4302,1249,120,1368,370,70,436,17962,11293,29258
SED26504,352,7469,7820,8423,1335,9760,2773,302,3074,2577,215,2796,1242,72,1310,539,64,603,15913,9454,25361
SED26603,333,8105,8444,8459,1550,10002,4766,600,5366,4759,363,5121,1510,134,1646,656,71,722,20479,10821,31298
SED26708,352,7232,7583,8368,1558,9927,3115,341,3458,3064,239,3306,1555,128,1680,674,50,725,17131,9553,26682
SED26806,411,18486,18891,11034,3707,14742,2810,909,3717,1658,238,1897,412,48,461,131,12,144,16452,23406,39855
SED26903,307,8759,9068,7709,1724,9438,4003,604,4607,3601,303,3906,1153,125,1275,594,69,667,17372,11591,28958
SED27003,347,13788,14138,10565,3217,13786,3341,1336,4673,2392,499,2888,637,124,765,208,34,245,17500,19002,36503
SED27101,313,6783,7097,7062,999,8062,4054,291,4347,4046,152,4195,1474,59,1530,526,37,564,17479,8314,25791
SED27208,382,9238,9619,9172,1501,10671,3165,290,3456,2801,189,2984,1364,117,1482,616,54,670,17499,11392,28889
SED27305,178,2870,3053,5411,472,5884,3601,127,3730,4235,72,4305,1556,39,1595,583,9,596,15564,3591,19156
SED27406,348,7306,7661,7912,788,8699,3599,184,3784,4102,116,4219,1413,41,1452,279,6,285,17657,8446,26103
SED27504,292,8400,8700,8416,1352,9769,3723,434,4155,3531,276,3803,1717,150,1869,1000,86,1089,18686,10705,29385
SED27608,426,6944,7366,10032,1252,11284,5002,518,5519,5785,372,6152,2269,143,2415,737,73,812,24253,9301,33553
SED27708,358,7843,8202,8752,1264,10019,3396,303,3701,3120,204,3324,1394,102,1495,531,51,582,17556,9763,27324
SED27807,184,6478,6660,6581,1280,7861,4180,601,4784,3795,455,4252,1807,235,2050,1459,109,1573,18012,9166,27176
SED27907,268,5771,6039,7450,929,8380,4240,225,4465,4058,127,4182,1596,66,1668,624,30,653,18227,7152,25381
SED28007,208,3536,3742,5907,556,6457,4886,204,5090,6148,184,6334,2661,92,2756,1232,37,1274,21049,4605,25653
SED28107,282,5241,5530,7952,1245,9196,8257,766,9024,9110,709,9823,3916,364,4276,3029,227,3254,32549,8551,41101
SED28203,226,5495,5719,7216,938,8155,4880,368,5248,5076,270,5347,2348,130,2475,1519,67,1582,21260,7263,28523
SED28301,246,3654,3905,6309,495,6801,3794,157,3954,4597,110,4707,1794,42,1841,697,22,713,17442,4471,21915
SED28408,331,8242,8578,7735,1240,8972,3333,394,3722,3021,167,3194,1315,68,1387,471,40,512,16209,10150,26355
SED28507,323,6609,6936,7995,1286,9279,5775,463,6242,5464,299,5765,2256,168,2423,1449,104,1546,23261,8936,32195
SED28607,389,7520,7907,8304,1258,9564,4423,391,4818,4869,192,5062,1481,79,1562,462,31,495,19934,9473,29400
SED28704,427,5015,5445,8821,846,9667,6216,261,6484,7474,223,7700,3330,108,3438,1316,59,1375,27587,6509,34102
SED28803,256,4796,5051,8016,1034,9046,7531,423,7958,9123,400,9516,4496,233,4727,3244,124,3366,32667,7012,39674
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED30001,231,3384,3619,5652,803,6455,3934,331,4270,3857,198,4060,1653,101,1751,1103,22,1130,16439,4846,21282
SED30002,285,4021,4300,6065,653,6721,3366,196,3564,3437,101,3545,1300,31,1337,604,24,622,15062,5030,20091
SED30003,373,4313,4683,6057,753,6804,3504,218,3725,3404,137,3543,1508,67,1572,928,33,961,15765,5533,21297
SED30004,506,5164,5673,6833,1630,8469,3207,319,3528,2956,197,3154,1081,79,1163,560,32,591,15148,7423,22577
SED30005,328,7347,7676,7008,1965,8973,3188,464,3656,2289,203,2491,845,83,930,459,33,496,14120,10104,24224
SED30006,313,4978,5293,7757,1123,8880,2769,233,3003,2314,125,2443,784,56,837,323,22,345,14264,6545,20811
SED30007,360,4386,4745,6433,866,7288,3157,337,3500,3289,173,3456,1244,63,1312,478,19,497,14962,5836,20795
SED30008,416,5532,5952,6440,1290,7732,3438,407,3842,3486,183,3666,1191,71,1257,373,19,390,15342,7499,22836
SED30009,283,6508,6794,6355,1179,7534,2584,274,2856,2065,161,2223,978,59,1037,655,50,705,12913,8232,21143
SED30010,366,5298,5663,5878,1157,7033,3876,435,4306,3535,280,3817,1816,165,1980,1811,94,1908,17279,7427,24707
SED30011,464,6196,6662,5946,2084,8033,2509,408,2914,2371,267,2637,1146,134,1281,608,85,690,13037,9169,22205
SED30012,331,5396,5726,5979,1637,7613,2933,401,3337,2653,209,2863,928,55,981,344,23,370,13168,7716,20889
SED30013,409,4881,5290,7595,2301,9900,2396,284,2679,2083,201,2281,907,83,990,550,44,596,13944,7793,21734
SED30014,390,8520,8907,6016,2020,8031,2904,517,3417,2207,258,2464,920,112,1031,644,73,716,13079,11493,24567
SED30015,403,5942,6344,6026,1787,7815,2336,366,2705,2119,261,2381,1114,141,1252,640,80,721,12634,8578,21213
SED30016,377,5452,5832,7615,1236,8852,2979,263,3245,2875,138,3020,1132,64,1201,569,18,590,15554,7174,22730
SED30017,275,4182,4461,6037,625,6666,3163,169,3327,3034,98,3132,1142,26,1173,630,14,651,14292,5112,19408
SED30018,272,3373,3647,5416,632,6042,3256,220,3478,3531,105,3635,1350,36,1387,533,17,554,14356,4384,18747
SED30019,384,8777,9164,7117,1880,8991,2888,421,3309,2705,169,2867,1060,52,1116,298,20,309,14454,11312,25765
SED30020,387,3863,4252,6539,882,7423,2864,219,3078,2798,151,2948,1463,88,1551,860,37,900,14907,5242,20149
SED30021,305,5624,5931,4970,2944,7913,2191,501,2689,1975,402,2376,1125,187,1307,1243,125,1366,11809,9781,21592
SED30022,396,3240,3639,7361,1169,8530,5197,523,5720,5478,346,5824,2512,175,2690,1522,84,1609,22471,5549,28018
SED30023,314,4474,4791,5259,957,6215,2917,463,3376,3349,222,3569,1314,70,1380,400,22,421,13563,6203,19764
SED30024,265,4578,4843,5474,1252,6723,2640,283,2928,2678,144,2823,973,57,1029,497,19,514,12523,6330,18850
SED30025,341,3849,4186,5756,602,6366,3375,168,3544,3632,82,3717,1321,19,1343,475,10,482,14909,4729,19637
SED30026,316,3801,4120,5500,662,6166,3122,185,3303,3570,93,3659,1270,30,1300,424,11,438,14199,4780,18981
SED30027,245,3952,4198,5285,852,6138,3122,214,3334,2996,131,3125,1134,65,1198,665,25,685,13450,5232,18680
SED30028,421,5246,5668,5594,1217,6816,2765,233,2996,2563,125,2698,1118,60,1173,622,33,657,13085,6913,20003
