SED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
SED10011,34929,37283,72211,1834,1774,3598,4594,4374,8968,2236,2004,4244,1655,1451,3102,3295,3410,6703,4246,4645,8890,4845,5253,10096,4826,5486,10314,4634,5156,9788,2159,2704,4861,601,1035,1639,40,46,84,34402,36611,71009,524,676,1203,953,1015,1966,11,12,26,14,12,19,974,1038,2013,27694,29260,56948,6070,6781,12857,31613,33360,64970,2149,2654,4797,32175,34257,66432,612,612,1221,4378,4183,8561,1783,1651,3436,655,662,1312,1072,2053,3125,16613,19046,35655,1920,1802,3716,6641,6796,13440,1494,1528,3023,680,636,1314,71,83,156
SED10012,41334,42672,84003,2135,2049,4181,5460,4885,10345,3018,2878,5896,3126,3051,6177,5614,5410,11026,4618,5373,9991,5250,5960,11205,5783,5861,11647,3978,4259,8242,1702,1913,3616,652,1029,1677,70,75,147,41094,42266,83355,239,404,643,267,312,587,6,10,14,7,14,28,287,332,624,16992,15515,32506,22107,25038,47140,9732,8664,18392,28958,31345,60300,33713,34474,68183,525,476,996,4957,4487,9447,2333,2442,4773,1343,1430,2773,1198,1775,2973,17561,17977,35538,2025,1703,3730,5136,4803,9942,1822,1970,3794,2658,3582,6240,2226,3339,5568
SED10013,64455,66565,131014,6210,5781,11991,10526,10052,20575,4186,4096,8277,3810,3884,7695,9911,11185,21098,10130,10371,20495,7851,7901,15752,5504,6040,11541,3892,4289,8181,1872,2087,3962,571,885,1461,76,106,184,64014,65993,130009,439,573,1010,1953,2062,4018,30,36,60,23,29,49,2007,2122,4125,47285,48731,96011,15149,15729,30880,47162,48086,95250,14807,15970,30775,57928,59670,117596,1789,1671,3453,9975,9562,19537,3207,3314,6527,1205,1483,2691,1529,2828,4357,24640,29138,53780,3473,3155,6623,12771,11457,24226,2876,2806,5676,1586,1583,3171,387,487,873
SED10014,41128,42819,83954,2977,2968,5937,6100,5687,11790,2766,2657,5427,2922,2806,5730,5880,6377,12259,5745,5884,11621,4673,4948,9621,4401,4840,9243,3565,4105,7670,1746,1939,3687,350,620,974,75,67,140,40589,42139,82726,539,682,1220,1992,2289,4289,44,37,83,39,32,67,2078,2361,4441,26878,27607,54485,11643,12515,24160,27317,28010,55324,10866,11695,22566,34912,36151,71063,764,730,1495,5495,5160,10652,1874,1966,3843,810,935,1746,1055,1860,2919,15254,16792,32041,2434,2321,4755,7982,8084,16056,2340,2537,4870,1315,1434,2749,283,400,683
SED10015,46922,46708,93634,2668,2431,5108,5133,4686,9817,2522,2267,4785,3327,3026,6358,7772,7221,14995,6816,6746,13558,6310,6523,12839,5404,5588,10996,3590,4131,7719,2355,2764,5114,1014,1326,2337,116,122,238,46557,46236,92789,370,471,844,323,349,675,11,13,22,9,21,30,342,384,729,22341,21538,43877,21919,22609,44523,17033,15906,32935,26837,27713,54551,35085,35994,71083,747,710,1453,4784,4370,9153,2107,1972,4075,1598,1535,3133,2190,2722,4912,24560,24999,49554,1750,1529,3274,4984,4709,9694,1605,1426,3028,2281,2762,5043,1034,1278,2312
SED10016,51005,52732,103741,3259,3144,6400,8518,7964,16483,3828,3707,7534,3258,3017,6277,5145,5683,10834,8142,8930,17079,7250,7647,14901,5226,5491,10714,3831,4268,8102,1974,2135,4107,570,743,1311,111,141,258,50751,52484,103228,260,247,508,345,335,680,10,3,12,8,3,10,353,343,700,29907,30164,60067,20041,21409,41448,30993,30984,61977,18596,20360,38962,43921,44696,88623,1097,1109,2207,8240,7730,15970,3365,3332,6698,1604,1667,3275,1470,2320,3785,28073,29821,57891,1966,1855,3824,5714,6133,11845,1486,1528,3008,683,851,1536,136,233,366
SED10017,43571,43843,87417,3021,2888,5908,6203,5917,12123,2686,2557,5247,2640,2573,5213,6268,6280,12540,5688,5673,11360,5376,5370,10747,4916,5106,10019,4250,4340,8589,1969,2153,4118,559,998,1555,20,35,58,41589,43218,84803,1981,629,2612,4010,3794,7810,76,74,149,115,94,212,4206,3963,8169,38105,38323,76429,3525,3594,7125,38516,40047,78562,1696,1930,3627,39017,40697,79719,936,910,1851,5835,5599,11431,1741,1745,3488,530,753,1284,878,1893,2768,10962,13608,24571,2874,2782,5652,12028,11457,23484,3389,3592,6982,1639,1549,3185,131,115,243
SED10018,36454,38718,75173,2235,2033,4265,5205,4883,10084,2363,2156,4522,2225,2084,4303,4348,4642,8988,4725,5138,9863,4770,5030,9798,4228,4616,8846,3379,3908,7287,2172,2843,5014,809,1392,2197,28,23,52,36010,38140,74149,442,580,1015,1645,1660,3308,29,28,61,24,22,44,1703,1711,3407,31279,32959,64242,4019,4482,8501,33029,34832,67859,2206,2558,4763,33985,36094,70074,830,697,1524,5005,4676,9680,1817,1690,3510,857,897,1758,1101,1710,2813,14607,16605,31215,2155,1850,4009,7853,8366,16222,2115,2480,4598,973,1086,2055,96,86,182
SED10019,39247,39584,78826,1914,1888,3799,4769,4490,9262,2196,1921,4115,1875,1748,3628,3798,3810,7603,3846,3926,7773,4596,4821,9420,5823,6030,11860,6111,5980,12091,3319,3437,6753,998,1527,2524,77,23,105,37435,38645,76087,1813,934,2746,3084,2906,5995,59,66,130,90,78,173,3241,3054,6292,33097,33159,66258,2835,3225,6064,34394,35385,69783,911,1211,2120,34581,35708,70291,557,555,1112,4268,4042,8309,1332,1280,2607,279,406,688,594,1395,1986,9804,11869,21668,2504,2408,4916,10852,11083,21930,3316,3085,6404,2049,1558,3605,103,97,197
SED10020,38502,41369,79880,2041,2040,4087,5058,4895,9949,2299,2285,4583,1899,1838,3735,4336,4650,8990,4446,4932,9378,4709,5213,9919,5014,5612,10626,5042,5361,10403,2726,3143,5869,927,1408,2335,141,132,278,37385,40139,77521,1116,1235,2347,2107,2304,4410,50,46,97,53,52,109,2212,2402,4611,30252,32147,62394,5778,6655,12434,32489,34921,67416,3509,3870,7386,33618,36054,69676,638,647,1281,4702,4548,9250,1567,1631,3189,467,625,1095,1052,1887,2931,13180,15592,28774,2531,2552,5083,8973,9355,18332,2485,2631,5118,1510,1368,2876,236,295,535
SED10021,38998,43005,82003,2324,2186,4509,4260,4099,8359,1716,1673,3386,1872,2238,4111,8141,9739,17880,6519,6937,13455,5168,5556,10724,3861,4106,7972,2710,3165,5876,1683,2057,3733,744,1246,1985,157,185,350,37576,41501,79082,1425,1501,2919,281,267,550,3,6,15,12,22,28,297,295,591,22444,23788,46230,14558,17035,31587,29585,31585,61171,7093,8767,15858,30357,33136,63490,691,690,1385,4044,3901,7953,1478,1486,2965,995,1142,2137,1861,2958,4813,24911,28591,53505,1349,1209,2557,2555,2796,5354,770,759,1527,459,541,993,110,132,244
SED10022,36595,36050,72644,2064,1924,3991,4677,4481,9151,2134,1945,4082,1794,1661,3457,3852,3601,7457,3870,3733,7597,4368,4376,8743,5218,5112,10329,4918,4866,9783,2822,2992,5807,878,1364,2244,70,33,98,34637,35190,69828,1957,854,2811,2605,2367,4972,33,30,63,54,42,93,2687,2441,5127,30934,30794,61729,2509,2427,4944,31500,32205,63699,1417,1340,2750,31998,32639,64636,568,582,1151,4255,4036,8295,1317,1348,2672,274,432,708,464,1151,1618,8672,11181,19850,2153,2275,4428,10214,9282,19494,3074,2777,5848,1940,1474,3409,112,107,225
SED10023,38051,39539,77597,2289,2088,4378,5037,4596,9629,2531,2314,4847,2187,2263,4457,4375,4662,9035,4744,5151,9898,5357,5612,10971,4893,5127,10025,3770,4116,7881,2057,2356,4416,807,1261,2067,67,51,115,37836,39211,77047,216,329,543,535,481,1020,16,7,23,17,8,19,563,503,1062,31036,31551,62585,5902,6867,12774,33508,34153,67667,3389,4129,7517,35220,36324,71549,768,754,1530,4842,4450,9292,2183,2022,4204,922,1015,1939,942,1484,2430,18704,20527,39234,2009,1630,3644,6902,7175,14077,1393,1622,3020,596,630,1230,90,82,174
SED10024,39051,41465,80511,1896,1726,3622,6596,6071,12669,3058,2846,5903,2347,2047,4395,2569,2804,5373,4644,5686,10329,6000,6621,12621,4754,4949,9699,3590,4090,7682,2624,3154,5774,977,1470,2448,110,131,244,38775,40998,79775,270,466,736,126,107,225,0,5,7,0,0,0,123,114,235,23115,23301,46414,15134,17169,32309,27037,27198,54235,11153,13184,24341,33957,35206,69163,770,715,1485,6436,5936,12373,2820,2682,5506,1393,1305,2698,970,1682,2654,24037,25743,49778,1414,1484,2892,2714,3550,6261,1005,1102,2108,468,560,1027,93,175,268
SED10025,39236,42893,82127,2404,2072,4481,4338,4320,8657,1903,1942,3848,2121,2120,4237,6132,6770,12905,6149,6416,12567,5142,5858,11003,4464,5217,9683,3610,4216,7823,2148,2563,4711,830,1394,2220,81,115,198,38542,42022,80563,696,875,1571,208,199,408,13,11,33,9,6,12,228,220,452,22978,24065,47037,14471,16898,31372,23302,23939,47240,14044,16845,30886,32114,34654,66764,756,667,1419,4131,4124,8259,1699,1774,3476,1084,1137,2224,1551,2297,3844,23271,25608,48881,1391,1285,2675,3784,4593,8375,995,1160,2151,994,1327,2322,277,426,707
SED10026,40983,41754,82734,2871,2773,5644,6039,5638,11676,2534,2267,4802,2201,2219,4417,5692,5918,11620,4885,4995,9875,4766,4950,9711,4926,5103,10031,4037,4120,8156,2319,2660,4984,704,1115,1820,48,40,86,39393,40724,80119,1588,1029,2617,5639,5725,11364,41,50,86,102,115,220,5788,5887,11676,33561,34462,68020,3657,3675,7333,34390,35684,70071,2529,2565,5090,34973,36332,71312,822,803,1628,5345,5069,10415,1553,1545,3097,420,568,987,842,1728,2575,11856,15099,26958,2287,2322,4616,9943,8994,18931,2594,2291,4884,1658,1399,3058,134,97,230
SED10027,40622,41919,82540,2718,2452,5175,5745,5493,11236,2875,2555,5432,2642,2508,5147,4986,5305,10288,5384,5815,11203,5141,5443,10586,4863,5065,9933,3484,3724,7211,1913,2276,4188,873,1286,2155,50,69,119,40326,41437,81768,300,479,777,428,478,906,21,13,32,6,4,7,450,491,942,25068,25335,50403,13698,14688,28382,20799,20796,41596,17814,19031,36843,35202,36334,71532,823,735,1555,5362,5145,10504,2311,2207,4523,1104,1209,2317,1133,1626,2756,18290,19956,38243,1883,1565,3441,6573,6356,12927,1638,1739,3377,1400,1614,3012,535,712,1247
SED10028,42567,45492,88061,2000,1907,3908,6454,6159,12608,2859,2705,5569,2700,2498,5191,4589,4838,9432,6065,6863,12928,5659,6066,11729,5151,5670,10816,3954,4270,8219,2089,2739,4832,1048,1777,2823,125,172,292,42190,44612,86805,380,878,1261,141,93,238,4,7,11,3,8,11,156,110,262,20341,20767,41107,21263,23642,44910,19609,19960,39570,21723,24002,45721,33845,35490,69329,760,711,1466,6272,5957,12231,2674,2543,5215,1626,1538,3170,1609,2354,3959,27049,28533,55577,1383,1440,2820,2798,3737,6533,1031,1207,2241,456,644,1098,198,303,503
SED10029,46062,46936,92994,2737,2605,5342,6284,6087,12372,3380,3076,6460,3311,3159,6468,6339,6181,12521,5574,6034,11608,5828,6185,12015,5826,5914,11743,3938,4272,8205,2102,2270,4370,736,1151,1887,67,79,151,45688,46536,92228,365,399,770,295,320,613,16,7,28,3,6,14,316,333,652,17601,16504,34108,25431,27405,52836,10438,9255,19686,32088,33947,66037,34173,34888,69065,609,583,1189,5663,5452,11112,2560,2549,5117,1331,1465,2795,1593,2352,3939,18213,18464,36675,2197,1893,4087,5267,4851,10114,2273,2390,4662,3411,3854,7258,2644,3724,6370
SED10030,38234,40674,78912,2186,2017,4199,4572,4179,8756,2083,1964,4047,2096,2076,4178,4524,4622,9149,4770,5150,9917,5048,5171,10216,5063,5641,10708,4277,5068,9344,2723,3184,5910,893,1599,2494,48,47,96,37584,39741,77321,654,934,1589,1489,1604,3097,23,14,35,23,28,49,1531,1647,3181,28564,29981,58546,7537,8388,15924,32117,33890,66006,3934,4489,8428,33415,35553,68965,694,639,1331,4279,3915,8198,1495,1467,2959,630,739,1372,1072,1900,2971,15168,17000,32168,2213,2142,4355,8386,9057,17443,2263,2553,4811,1129,1164,2294,151,129,272
SED10031,41293,41421,82717,2270,2108,4373,5363,4959,10322,2499,2294,4791,2181,1875,4054,4418,4419,8837,4421,4761,9181,5450,5569,11027,5903,5863,11767,5146,5414,10561,2839,2986,5829,801,1175,1973,40,39,82,39514,40374,79886,1783,1051,2828,1483,1442,2931,39,39,75,21,21,37,1540,1502,3047,33382,33711,67094,4941,5021,9961,35856,36632,72488,2195,2221,4412,36467,37295,73763,657,657,1313,4960,4595,9555,1769,1730,3493,585,673,1255,991,1769,2763,14868,17308,32178,2271,2259,4528,9323,8705,18026,2489,2264,4753,1454,1164,2622,124,110,231
SED10032,53288,50673,103964,4038,3735,7772,6904,6525,13430,2836,2648,5489,4346,3644,7993,10490,9806,20295,8946,7799,16747,5572,5507,11077,4666,4897,9559,3215,3371,6581,1723,1901,3626,557,853,1410,106,133,238,53056,50356,103408,235,320,556,306,357,656,14,10,25,8,5,12,327,373,703,20610,20375,40988,28202,26460,54666,14777,13999,28776,33607,32251,65861,35433,35543,70972,956,870,1826,6132,5803,11936,2195,2194,4383,2115,1818,3931,2492,3090,5586,25730,24858,50587,1811,1624,3436,5615,5176,10793,1629,1532,3166,2093,2088,4184,1392,1535,2926
SED10033,38865,39015,77879,2392,2234,4626,5384,4934,10323,2729,2512,5236,2559,2324,4890,4848,4803,9653,4430,4664,9092,5322,5676,10998,5039,5000,10043,3647,3828,7473,1974,2177,4148,537,860,1395,41,37,76,38290,38371,76662,569,647,1218,1681,1626,3303,34,19,56,24,20,45,1737,1662,3401,31911,31808,63722,5274,5613,10887,34182,34171,68352,2966,3178,6146,35353,35523,70879,742,686,1429,5095,4681,9773,1996,1915,3907,721,866,1593,734,1568,2305,12633,15652,28281,2305,2188,4496,10602,9009,19606,2511,2201,4710,1261,1023,2283,131,130,253
SED10034,37607,39314,76926,2405,2406,4817,5331,4954,10289,2497,2293,4795,2260,2079,4342,4163,4430,8593,5066,5557,10627,5150,5595,10746,4540,4781,9323,3527,3820,7349,2009,2264,4271,655,1122,1782,20,36,53,37251,38694,75948,355,619,977,699,648,1345,16,13,34,8,22,36,723,681,1410,30900,31696,62592,5966,6765,12736,33223,33956,67184,3475,4143,7622,35152,36336,71489,860,857,1718,5191,4820,10012,2072,2004,4078,882,946,1831,945,1638,2586,16930,19257,36193,2035,1661,3695,7786,7451,15241,1571,1699,3266,601,629,1230,71,98,169
SED10035,60663,57400,118062,3106,2795,5899,3839,3654,7495,2077,2025,4099,6435,6209,12640,18479,17595,36074,10992,9550,20549,6346,5606,11956,4441,4342,8787,2848,3050,5895,1538,1828,3372,555,742,1301,469,369,839,58139,55524,113658,2529,1879,4403,777,777,1553,19,18,38,12,19,34,811,814,1625,27045,24461,51506,29778,29572,59354,32612,28321,60926,23854,25346,49199,39486,37101,76585,806,750,1559,3551,3396,6941,1663,1695,3355,3730,3550,7283,5050,5372,10431,41184,39683,80867,2237,1679,3913,3932,3288,7219,906,898,1807,1009,1254,2262,450,579,1030
