SED_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED10011,59,435,3217,11620,8250,2202,466,781,27026,13,126,241,305,38,0,0,41,766,4,28,210,257,18,5,4,32,561,19,155,457,561,57,9,5,75,1325,18,226,252,60,7,4,0,43,618,4,46,107,22,0,0,4,21,207,0,19,14,0,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,33,46,27,13,4,0,9,137,18,325,423,110,23,11,3,73,990,0,10,25,11,5,0,0,11,58,8,12,7,8,4,0,5,23,69,112,942,4128,12306,8334,2223,478,959,29476
SED10012,20,180,1278,7494,6333,1899,615,1017,18829,9,68,101,326,15,5,3,49,581,6,162,669,1405,285,19,0,137,2694,14,233,769,1732,296,25,4,188,3271,5,143,431,185,11,0,7,49,839,9,134,1333,152,3,0,0,137,1765,0,48,268,11,0,0,0,43,378,0,0,0,0,0,0,0,0,0,3,34,165,75,33,27,3,28,374,18,361,2195,427,45,30,11,260,3352,0,0,17,6,3,0,0,11,46,4,8,25,14,6,3,4,17,73,57,782,4288,9670,6687,1966,632,1489,25569
SED10013,40,451,938,7684,22933,4405,875,1339,38665,6,119,311,290,143,10,3,56,946,4,164,254,440,465,63,3,81,1475,13,287,565,730,606,77,4,140,2419,0,45,147,25,14,0,0,13,245,0,0,15,12,0,0,0,4,26,0,7,17,11,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,38,26,9,38,13,11,8,145,0,88,199,58,54,15,11,23,448,10,42,87,14,4,0,0,22,181,0,11,18,26,49,13,0,11,122,66,880,1811,8507,23639,4505,898,1535,41841
SED10014,31,156,1033,10132,7760,1914,507,1205,22747,18,42,498,755,76,3,5,126,1512,10,228,602,979,195,26,6,289,2335,23,267,1102,1733,266,32,6,413,3849,33,136,515,53,8,0,0,87,831,0,17,269,146,0,0,0,29,458,4,128,910,218,0,0,0,92,1362,0,28,117,31,0,0,0,7,190,0,33,103,24,18,3,6,17,201,42,339,1917,473,27,3,3,229,3035,0,0,5,0,0,0,0,0,7,0,9,10,7,0,0,0,12,36,97,768,4060,12347,8057,1958,518,1860,29668
SED10015,23,145,1927,7598,4212,1453,389,686,16433,7,69,535,370,75,21,4,76,1157,4,134,753,939,573,61,9,127,2602,11,204,1287,1314,650,82,15,200,3763,37,484,3772,416,72,21,8,509,5328,27,256,2605,319,22,0,3,239,3468,22,709,2403,436,29,3,0,391,3999,0,271,512,54,0,0,0,67,906,3,17,53,51,25,14,3,12,178,89,1744,9349,1278,147,37,15,1221,13880,3,29,94,40,12,3,0,19,200,0,12,20,18,4,0,0,29,83,131,2132,12674,10244,5032,1573,417,2147,34360
SED10016,15,106,440,2807,15643,5871,1171,572,26620,0,9,211,160,30,3,3,21,438,0,14,299,1052,615,91,21,58,2152,0,26,507,1214,643,94,25,79,2584,0,29,224,158,9,0,0,16,439,0,57,456,185,3,0,0,24,726,0,147,867,324,5,0,0,50,1385,0,91,293,84,0,0,0,35,506,4,17,18,9,16,7,4,9,90,3,345,1862,754,32,7,6,135,3150,0,7,0,0,0,0,0,0,9,0,6,4,0,11,7,0,0,34,25,488,2820,4777,16338,5986,1200,783,32407
SED10017,67,377,3077,12490,10280,1595,366,1173,29418,0,166,816,612,53,0,0,157,1799,0,88,136,78,11,3,0,18,336,0,255,951,685,59,0,0,170,2135,5,182,179,21,5,0,3,50,448,0,8,3,3,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,15,12,0,0,8,80,5,204,210,38,13,0,3,61,543,11,46,22,10,0,0,0,24,110,3,10,24,9,17,0,0,6,71,82,888,4292,13233,10377,1602,377,1436,32274
SED10018,18,225,2563,11320,7355,1698,275,713,24168,0,235,1164,584,15,4,0,120,2126,10,87,585,894,65,8,0,83,1730,10,325,1750,1477,81,11,5,208,3855,14,235,373,93,13,0,0,69,798,0,24,61,18,0,0,0,6,117,0,58,143,47,0,0,0,5,256,0,40,135,61,0,0,0,0,236,4,11,14,16,7,0,0,4,48,18,371,725,230,16,0,0,90,1453,0,8,4,0,0,0,0,0,20,6,4,3,8,0,0,0,4,22,48,933,5049,13029,7456,1708,277,1016,29525
SED10019,183,600,3484,12269,7206,1335,323,1851,27247,22,189,762,409,32,10,5,173,1595,3,44,332,324,45,5,0,77,832,24,235,1093,732,74,14,5,243,2424,11,194,618,214,16,5,4,144,1209,0,11,72,39,0,0,0,14,136,0,5,16,6,0,0,0,7,36,0,0,0,0,0,0,0,0,3,0,20,21,16,6,0,0,7,66,11,232,726,271,28,7,4,172,1447,246,489,200,145,65,13,0,204,1366,20,76,30,24,10,9,0,18,188,484,1637,5536,13438,7377,1378,325,2492,32670
SED10020,94,468,2113,9788,7919,1692,423,1118,23607,3,129,1141,667,60,10,3,173,2183,5,82,466,794,126,18,8,108,1599,6,210,1609,1457,186,26,10,281,3783,23,312,1365,482,32,6,0,237,2456,3,63,264,57,5,0,0,31,428,0,54,133,73,10,0,0,21,289,5,0,75,36,0,0,0,0,117,3,29,26,8,3,7,0,3,80,41,468,1862,658,42,6,3,291,3379,139,299,191,89,24,5,3,167,926,21,41,42,33,13,0,0,19,176,296,1485,5813,12028,8189,1732,440,1874,31859
SED10021,19,50,327,1704,2291,901,201,156,5648,12,52,660,1252,532,101,8,77,2708,3,100,560,1454,1015,194,29,102,3450,20,155,1225,2700,1551,295,36,181,6156,66,909,2273,720,112,23,18,279,4393,89,1930,7272,1493,60,13,11,678,11536,101,819,2118,587,15,0,0,194,3840,100,650,1098,384,12,0,4,200,2449,4,17,16,13,21,0,6,11,90,361,4323,12775,3196,223,38,30,1371,22310,27,194,254,135,26,0,9,66,707,10,12,11,8,0,0,0,12,56,436,4723,14580,7755,4086,1237,275,1789,34877
SED10022,100,515,3283,11910,7919,1576,381,1940,27616,12,186,719,225,47,7,3,139,1331,0,7,42,21,10,3,0,4,95,12,198,762,248,53,10,3,141,1430,14,124,295,42,13,0,9,86,582,0,9,17,0,0,0,0,7,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,3,0,0,0,10,14,138,319,39,20,4,9,97,641,48,83,56,47,25,5,7,89,353,9,15,20,22,17,5,6,40,142,180,946,4433,12275,8031,1602,409,2309,30181
SED10023,8,105,707,5355,6992,2552,439,335,16485,4,110,214,431,58,14,0,30,866,0,119,486,2012,440,49,8,124,3233,4,225,705,2446,494,63,7,154,4103,15,855,815,264,32,3,0,150,2128,0,464,2625,567,12,0,0,155,3824,31,231,1233,408,7,0,0,106,2029,6,177,643,230,8,0,0,40,1104,0,18,17,9,3,0,0,4,57,55,1746,5330,1487,71,9,5,446,9147,0,15,45,15,8,0,0,5,93,0,4,11,6,5,0,0,5,38,70,2097,6809,9310,7563,2622,452,946,29870
SED10024,17,88,419,4490,9479,4762,991,363,20612,0,20,59,90,4,3,0,5,180,3,102,209,619,135,27,5,37,1143,3,121,266,710,143,25,10,44,1320,14,137,554,349,23,8,0,50,1143,38,108,295,170,4,3,4,16,639,0,399,1846,882,21,0,0,101,3251,3,56,60,24,3,0,0,6,151,4,10,36,6,9,12,4,7,82,57,716,2786,1432,59,24,14,186,5264,0,4,3,3,0,0,0,0,17,0,6,7,6,4,0,0,3,28,81,934,3483,6639,9683,4813,1004,602,27244
SED10025,26,79,1162,5046,3978,1433,279,308,12312,0,67,452,393,106,17,5,28,1069,3,75,511,1152,259,16,9,95,2120,5,144,960,1554,364,34,9,123,3196,57,401,1866,732,61,6,0,186,3306,4,181,1904,694,37,0,0,123,2941,10,1248,3252,1631,64,4,0,249,6461,13,972,2411,665,10,0,0,185,4258,0,10,27,18,20,0,0,3,91,76,2819,9470,3739,185,18,8,741,17062,3,75,180,85,10,0,0,26,390,0,14,15,7,5,0,0,5,50,115,3127,11795,10436,4539,1484,301,1208,33002
SED10026,77,355,2240,10675,9958,1812,402,2099,27615,10,182,1242,513,79,8,0,276,2321,0,7,46,19,9,4,0,18,109,10,192,1287,539,86,12,4,292,2428,19,334,765,85,13,0,6,195,1425,0,14,7,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,3,3,0,0,4,27,19,353,786,86,21,0,6,200,1477,33,73,65,29,20,3,0,154,382,11,38,10,15,19,3,8,47,161,156,1013,4390,11345,10117,1831,416,2788,32055
SED10027,25,158,1615,7596,6349,2107,453,800,19107,5,97,240,760,237,63,5,79,1480,5,223,439,1990,2061,273,11,239,5241,8,319,675,2747,2302,334,13,325,6722,22,342,181,37,8,4,0,75,665,4,76,213,22,0,0,0,23,332,0,35,143,15,0,0,0,25,220,0,0,0,0,0,0,0,0,0,6,36,88,35,21,14,5,26,228,41,480,630,109,28,18,7,145,1446,0,11,64,22,14,3,0,18,133,0,4,19,11,14,3,0,6,52,78,972,3001,10478,8702,2469,473,1293,27463
SED10028,10,94,646,4410,9552,3506,666,328,19213,12,120,247,376,31,8,0,29,830,3,104,341,1543,516,86,8,76,2679,13,225,588,1916,546,102,10,101,3505,9,218,349,100,8,6,0,58,732,0,98,1000,342,10,0,0,49,1507,11,807,2302,494,6,0,0,176,3793,21,262,523,148,0,0,0,37,992,3,20,49,16,20,12,3,11,124,38,1399,4227,1096,39,18,10,326,7153,0,0,7,4,0,0,0,0,10,4,5,22,5,6,0,0,5,50,71,1722,5485,7441,10147,3617,684,762,29927
SED10029,28,260,1890,7821,4882,1768,460,1200,18313,4,91,259,400,55,15,3,82,907,3,133,461,1974,645,139,12,222,3580,14,222,716,2372,698,156,13,301,4487,32,582,808,311,38,5,0,220,2003,11,149,857,103,4,0,0,118,1250,4,150,1337,101,0,0,3,157,1764,18,101,328,103,0,0,0,53,604,0,26,151,86,39,24,6,27,354,60,1013,3477,701,81,33,13,587,5972,0,18,27,18,0,0,0,19,86,4,20,48,17,11,4,0,22,130,109,1530,6161,10925,5676,1954,489,2128,28979
SED10030,96,503,3088,8800,6093,1587,351,1013,21524,16,143,1301,1831,56,5,3,193,3550,12,172,634,1293,91,11,0,140,2350,23,321,1938,3121,141,19,3,334,5905,67,469,1148,600,30,4,7,252,2574,21,53,459,174,6,0,0,50,760,22,187,1102,266,11,0,4,112,1704,0,60,247,136,0,0,0,31,477,8,20,58,30,10,5,0,4,134,114,782,3017,1211,54,10,10,454,5653,20,137,168,53,8,9,0,74,464,18,34,33,17,8,0,0,27,150,270,1776,8244,13214,6310,1622,365,1899,33701
SED10031,126,569,2858,11261,10038,2398,703,1782,29742,10,206,661,468,56,9,4,126,1538,0,3,134,64,15,0,0,25,240,10,209,793,533,70,6,6,150,1776,9,143,272,52,4,3,4,65,551,0,28,34,0,0,0,0,12,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,5,7,3,0,3,42,9,184,321,59,12,3,5,74,665,30,89,81,30,16,4,5,59,315,3,16,22,26,14,3,6,30,127,181,1070,4075,11911,10146,2418,727,2089,32621
SED10032,44,256,1673,6316,4284,1465,387,1298,15718,6,133,564,462,72,11,4,120,1373,0,148,458,1567,859,155,26,281,3495,11,287,1017,2024,927,166,32,408,4872,48,290,1196,168,19,0,4,201,1924,23,274,3938,501,8,0,0,467,5210,12,663,4483,812,21,0,0,647,6637,12,135,315,32,0,0,0,102,595,3,19,71,56,22,12,0,26,209,97,1377,10005,1556,71,15,10,1444,14574,0,3,31,24,0,3,0,8,80,6,29,62,15,10,0,0,26,156,155,1953,12783,9948,5292,1649,426,3189,35401
SED10033,72,336,1635,8364,8641,2866,1127,918,23961,13,132,602,815,61,7,4,110,1736,0,55,88,346,67,8,4,37,602,13,185,686,1153,130,16,13,147,2337,0,142,244,60,21,3,4,51,523,8,14,75,11,0,0,0,8,112,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,17,25,13,22,0,0,0,90,9,171,363,87,39,0,3,63,741,30,51,27,14,8,0,0,74,213,5,11,30,22,18,7,0,5,98,122,762,2747,9635,8839,2894,1143,1202,27346
SED10034,21,164,791,7407,8293,2284,407,339,19704,0,29,242,278,26,0,0,24,604,0,20,407,1420,137,13,0,57,2053,0,46,652,1692,164,14,0,79,2654,3,183,512,253,16,0,3,38,1008,0,127,2314,235,3,0,7,105,2782,0,125,1056,139,0,0,0,60,1376,0,34,112,53,0,0,0,4,210,0,16,19,14,9,6,0,0,70,9,479,4015,685,28,10,8,206,5442,5,25,27,15,0,0,0,17,101,3,9,14,11,4,0,0,9,54,40,728,5502,9815,8487,2307,419,656,27958
SED10035,27,122,948,3321,1967,683,217,243,7528,13,163,1090,884,220,47,16,105,2531,31,253,798,1412,535,66,16,118,3226,41,423,1884,2294,758,112,33,220,5757,52,476,1738,443,47,20,16,185,2976,141,1199,3154,734,46,9,5,362,5637,203,4954,8714,1552,60,26,7,1007,16524,90,3301,7125,1894,65,5,0,738,13210,8,26,35,23,14,3,0,4,106,500,9955,20761,4639,225,53,28,2288,38451,11,46,72,49,10,0,4,12,205,21,36,38,7,8,4,8,37,159,598,10575,23706,10312,2972,856,284,2802,52101
SED10036,26,146,637,7479,10111,2457,461,950,22269,4,33,209,192,24,5,0,85,554,7,162,928,1842,336,26,7,217,3522,12,197,1137,2036,366,28,7,307,4073,0,79,142,22,9,0,0,29,279,0,6,171,69,0,0,0,26,271,0,39,187,15,0,0,0,24,275,4,139,305,38,0,0,0,105,589,4,21,80,36,20,9,0,18,203,11,285,897,185,27,9,6,204,1618,0,5,9,7,0,0,0,0,17,0,0,10,3,4,3,0,5,32,46,631,2685,9702,10508,2503,472,1460,28009
