SED_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
SED10031,11815,393,63,120,32,12425,10344,192,45,22,23,10622,2812,579,282,34,10,3719,548,105,56,0,0,707,155,123,65,0,0,343,1377,101,54,21,11,1560,239,21,14,35,8,328,24,9,7,0,0,42,5164,939,471,93,35,6693,626,113,13,18,12,784,1792,148,71,51,25,2099,29742,1776,665,315,127,32621
SED10032,5241,766,928,6,7,6948,4551,1564,2866,19,15,9006,2811,1256,6982,27,73,11150,380,467,1053,0,4,1902,56,70,406,0,0,535,836,216,570,8,15,1647,257,54,139,4,17,469,38,6,62,0,0,107,4375,2073,9211,45,105,15800,259,84,152,4,3,502,1293,386,1423,10,22,3136,15718,4872,14574,80,156,35401
SED10033,8143,419,169,59,28,8813,10206,501,92,10,11,10825,2740,834,295,15,12,3899,351,174,9,0,0,539,150,97,14,0,3,264,823,98,50,8,14,999,196,28,5,41,10,273,17,3,0,0,0,22,4286,1232,373,67,39,5995,380,44,49,9,10,495,945,138,64,76,4,1225,23961,2337,741,213,98,27346
SED10034,8039,781,972,8,3,9805,9349,979,1617,4,5,11956,1195,497,1960,26,12,3688,80,81,157,0,0,317,44,49,59,0,0,157,432,106,223,14,4,784,43,4,11,25,11,94,5,4,6,0,0,15,1794,740,2422,65,26,5051,150,66,226,3,0,453,369,83,213,17,9,693,19704,2654,5442,101,54,27958
SED10035,3266,1215,3255,16,10,7761,2418,1909,7765,23,12,12120,1084,1597,20170,118,55,23027,35,340,1484,0,4,1862,24,37,340,4,3,406,306,339,2125,24,26,2817,44,25,532,3,14,616,9,5,66,0,0,77,1497,2353,24718,149,98,28810,93,66,451,3,5,619,261,221,2263,9,37,2794,7528,5757,38451,205,159,52101
SED10036,6702,524,97,0,7,7328,9607,1297,313,0,3,11221,3168,1146,599,6,6,4924,458,398,131,0,0,991,60,87,73,0,5,225,620,107,80,0,0,804,464,68,21,0,0,556,23,7,12,0,0,40,4786,1821,917,10,17,7546,174,150,90,0,0,421,995,294,201,0,5,1490,22269,4073,1618,17,32,28009
SED10037,8499,446,785,52,7,9781,9381,631,1736,9,5,11758,1983,419,2649,13,10,5077,59,87,148,0,0,287,46,69,124,0,0,236,650,79,316,4,5,1059,83,10,37,23,0,153,16,0,11,0,0,34,2831,668,3285,46,17,6850,214,181,119,0,0,517,424,52,242,14,3,735,21346,1970,6164,125,46,29643
SED10038,9282,1236,617,47,5,11185,8463,1085,588,18,4,10158,1912,1332,1180,64,17,4508,719,874,310,0,3,1898,50,143,64,0,5,263,739,253,211,15,16,1228,38,25,14,8,5,94,14,11,9,0,0,38,3467,2635,1797,88,45,8029,173,131,136,5,4,449,615,293,199,8,9,1117,21996,5374,3339,171,67,30946
SED10039,10384,1025,308,217,68,12008,9505,706,108,18,7,10347,2345,950,310,17,11,3633,288,184,24,0,0,498,155,121,30,0,0,306,1004,158,76,11,4,1247,176,10,10,43,17,263,13,19,4,3,0,28,3984,1439,446,76,37,5977,340,172,141,9,11,669,921,182,83,64,10,1259,25135,3528,1083,380,133,30260
SED10040,6224,1039,2215,20,0,9496,4316,1184,3613,25,7,9138,1792,788,7154,158,29,9912,122,186,261,0,0,569,52,71,84,3,0,208,552,139,886,32,7,1607,104,48,117,5,4,272,13,3,36,0,0,58,2631,1232,8536,188,38,12628,201,75,279,5,4,564,536,158,797,28,15,1539,13902,3686,15443,273,65,33372
SED10041,7648,543,2412,13,0,10612,7714,377,2968,47,0,11101,1451,255,4428,52,5,6192,18,37,122,0,0,182,9,25,118,0,0,157,354,47,498,4,0,905,35,7,67,4,0,111,0,4,23,0,0,32,1873,375,5267,58,10,7580,251,32,417,0,9,712,301,48,427,15,0,786,17785,1370,11489,135,23,30801
SED10042,10263,763,178,157,14,11372,10279,324,60,14,7,10687,3465,576,253,11,11,4313,532,219,112,0,0,867,76,75,88,0,0,245,1121,114,65,12,10,1312,153,54,11,42,20,281,30,3,4,0,0,40,5375,1043,531,68,39,7058,403,390,58,9,7,865,988,167,68,58,8,1292,27310,2690,889,302,68,31267
SED10043,5368,838,1008,20,7,7237,4549,1486,1646,18,7,7711,2004,836,4821,80,22,7763,434,767,1313,0,6,2521,71,199,298,3,0,575,780,199,439,18,12,1443,206,42,109,3,5,368,21,14,38,0,0,73,3519,2066,7020,103,48,12754,234,86,124,7,3,447,990,351,1122,26,15,2509,14656,4834,10921,169,75,30655
SED10044,6754,964,2267,3,9,9997,5872,897,4194,4,3,10974,1379,706,7702,17,15,9817,37,125,477,0,0,635,39,63,355,0,0,453,428,107,841,7,4,1377,33,10,99,0,9,152,6,0,34,0,0,42,1932,1010,9494,22,25,12482,177,49,381,0,12,620,350,96,688,19,9,1159,15083,3018,17031,45,55,35231
SED10045,11498,361,294,242,57,12454,8523,239,107,22,10,8903,2315,701,617,24,12,3676,365,189,88,0,0,638,135,149,55,3,5,343,1952,174,193,45,13,2380,188,25,32,128,3,368,38,24,10,6,0,75,4996,1262,993,203,35,7487,632,94,83,32,16,854,2074,185,196,167,22,2641,27717,2139,1670,666,140,32337
SED10046,4954,298,799,4,9,6064,7246,683,1426,0,3,9365,2825,640,4973,13,28,8474,1283,470,1136,0,10,2895,115,95,311,0,7,527,731,102,340,3,13,1191,251,25,119,0,4,397,35,3,40,0,0,80,5246,1325,6916,12,63,13566,198,27,111,5,0,345,1147,218,1178,10,14,2567,18803,2555,10432,28,91,31902
SED10047,6788,485,127,9,13,7428,13642,1552,362,3,11,15579,7019,1528,872,14,24,9455,1705,394,438,0,3,2540,130,114,136,0,0,377,1126,127,91,10,11,1359,194,22,13,0,9,245,51,8,21,0,0,86,10226,2196,1564,25,41,14063,294,136,27,0,0,458,2195,419,283,4,5,2898,33144,4794,2362,48,67,40419
SED10048,6634,805,176,0,10,7623,13508,1912,292,0,31,15747,4917,1741,427,6,17,7113,1112,864,78,0,0,2058,78,45,10,0,0,140,758,213,63,0,4,1046,204,34,20,0,0,253,41,19,0,0,0,59,7119,2913,600,6,22,10658,261,59,144,0,3,469,1278,442,100,0,9,1827,28802,6125,1313,11,74,36328
SED10049,8433,571,53,117,11,9193,12352,371,41,8,7,12783,4761,1262,421,28,5,6475,777,238,86,0,3,1104,246,147,66,0,3,463,1026,157,42,7,7,1238,389,32,5,42,4,472,30,13,0,0,0,45,7220,1850,627,78,22,9802,353,305,14,5,4,684,909,200,75,21,4,1203,29276,3300,811,227,58,33667
SED10050,5467,1020,3227,18,10,9731,5544,888,3405,22,3,9863,1087,617,6882,55,19,8667,56,81,214,0,0,351,13,44,73,0,0,126,405,173,1265,27,10,1874,27,26,63,0,0,114,21,11,28,0,0,56,1608,945,8524,84,30,11192,128,45,223,4,0,399,323,98,597,16,6,1043,13061,3000,15980,141,52,32226
SED10051,5302,1711,1969,26,5,9011,3911,2235,3019,14,3,9192,1131,1174,6385,97,23,8807,168,853,1657,0,10,2683,47,75,234,0,0,358,331,201,653,17,5,1204,41,73,169,3,0,282,14,8,46,0,0,67,1734,2378,9128,114,37,13395,151,83,296,6,0,534,380,331,1149,21,8,1882,11470,6737,15565,180,59,34014
SED10052,7367,1570,1247,54,11,10241,7303,1668,1971,12,8,10957,1340,889,2607,41,18,4895,94,460,295,0,0,853,26,96,113,0,0,239,356,140,290,16,0,805,54,45,22,10,4,131,14,4,18,4,0,41,1887,1636,3337,80,21,6961,142,69,419,3,3,632,428,270,393,15,12,1121,17127,5210,7362,158,50,29907
SED10053,8802,672,428,73,43,10020,10838,1209,615,20,14,12690,1915,1106,1661,23,13,4718,449,138,58,0,0,647,78,107,40,0,0,229,1190,310,412,15,29,1955,618,83,138,36,66,942,23,13,12,0,0,50,4273,1763,2322,76,107,8538,425,64,52,10,24,581,1307,222,274,54,35,1892,25647,3926,3695,223,227,33728
SED10054,5176,327,111,3,4,5618,9458,1212,289,4,7,10973,4173,1097,995,18,12,6289,1349,584,125,0,3,2071,94,97,63,0,0,260,967,131,100,0,7,1205,177,27,15,0,0,223,48,9,9,0,0,59,6808,1947,1315,16,19,10106,209,66,38,0,4,321,1545,374,169,4,9,2104,23197,3929,1923,31,39,29114
SED10055,7440,131,51,24,9,7658,12287,401,65,3,14,12782,3492,391,153,0,11,4049,81,34,0,0,0,115,24,10,7,0,0,41,766,60,31,0,4,864,210,9,6,3,0,224,23,0,0,0,0,24,4598,503,191,8,22,5318,237,15,7,0,4,260,995,53,10,0,9,1065,25554,1097,334,34,59,27079
SED10056,11618,353,161,201,86,12419,8728,126,75,34,32,8999,2586,708,805,36,7,4147,495,66,52,0,0,623,149,85,52,0,5,286,1783,158,164,26,23,2155,651,57,74,125,35,941,54,16,19,0,4,89,5721,1090,1163,191,71,8242,981,93,31,27,35,1167,2708,256,202,205,77,3458,29756,1915,1642,664,305,34283
SED10057,12426,1315,629,345,26,14743,7100,317,190,20,12,7640,2777,752,1058,49,16,4661,277,144,156,0,0,570,167,150,155,0,0,474,1168,185,169,21,4,1547,143,47,35,77,15,324,26,23,13,0,0,68,4562,1295,1586,154,42,7640,483,104,199,12,15,811,1609,232,257,146,33,2276,26178,3262,2862,673,132,33107
SED10058,7260,1486,1204,43,20,10010,7150,1173,1116,15,6,9457,3365,2090,3395,104,35,8994,79,597,1001,3,4,1685,54,153,158,6,0,364,1125,415,559,18,11,2138,128,46,65,13,7,256,20,10,22,0,0,49,4774,3313,5199,142,67,13488,196,119,110,0,6,429,631,325,658,47,18,1680,19999,6416,8287,249,111,35058
SED10059,956,3090,1503,44,3,5604,971,4056,2818,31,10,7892,555,4058,9903,350,73,14941,19,287,2326,6,7,2650,13,72,473,15,11,583,144,951,1162,105,24,2387,14,70,156,15,13,272,3,18,50,0,0,72,750,5453,14068,494,135,20901,30,155,218,16,8,426,78,472,1658,86,31,2321,2798,13234,20267,673,181,37148
SED10060,3119,1704,5524,24,9,10379,1980,1088,4425,16,13,7515,533,831,13060,63,32,14522,4,18,304,0,6,334,3,13,187,0,4,209,155,198,1712,18,7,2090,16,7,101,0,4,126,4,0,39,0,0,46,714,1074,15402,81,62,17327,68,67,480,5,6,622,127,125,1159,19,20,1454,6009,4049,26988,146,109,37295
SED10061,10878,289,32,172,70,11446,7593,151,15,34,9,7809,3366,1279,398,28,17,5082,558,113,74,0,3,747,289,126,102,0,10,531,1518,118,52,21,21,1727,438,50,10,98,44,636,47,28,5,3,0,79,6212,1709,652,143,85,8807,949,80,13,18,26,1082,2777,389,134,163,38,3499,28407,2617,844,529,231,32638
SED10062,7746,1366,987,9,6,10115,6384,1337,1521,7,3,9261,1537,743,2879,66,7,5233,161,282,327,0,0,778,29,57,110,0,0,188,404,119,337,29,3,893,63,58,21,4,3,144,11,4,16,0,0,39,2208,1267,3686,99,18,7278,203,85,94,8,0,383,464,206,432,19,8,1133,17007,4261,6718,137,33,28163
SED10063,10003,347,116,161,30,10662,9623,166,54,74,16,9940,3667,862,543,35,8,5111,773,208,118,0,0,1102,123,111,55,4,7,300,1520,137,69,23,17,1759,294,32,26,47,19,417,45,12,13,3,0,72,6420,1365,821,111,47,8767,531,111,67,21,15,743,1703,210,197,61,19,2193,28281,2200,1259,429,131,32302
SED10064,12976,340,291,472,80,14162,7772,173,95,32,17,8082,2652,480,644,43,12,3828,358,58,51,0,0,466,394,120,70,0,7,591,1587,80,111,19,15,1822,236,17,26,131,18,424,43,6,6,0,4,66,5276,759,911,187,53,7190,453,60,15,42,13,583,1917,151,184,246,10,2510,28399,1477,1492,983,177,32528
SED10065,4534,1079,1512,17,0,7142,4563,2348,3958,29,7,10902,2153,1979,11646,100,44,15920,819,651,1024,0,5,2502,50,104,358,0,4,521,557,305,1049,18,10,1945,167,183,159,3,7,517,16,12,63,0,0,90,3766,3240,14297,120,73,21493,174,89,253,15,3,541,603,352,1507,20,16,2501,13632,7101,21523,211,104,42579
SED10066,6937,793,361,80,3,8173,8851,978,896,0,4,10737,4077,1641,2746,14,13,8492,571,645,312,0,3,1527,72,211,218,0,0,503,757,181,189,0,0,1135,81,11,24,9,5,128,22,12,15,0,0,47,5574,2699,3506,29,24,11836,256,108,96,0,0,464,905,417,537,11,5,1881,22525,4997,5404,123,42,33092
SED10067,7977,1208,1905,72,23,11184,7334,649,1404,29,14,9426,1360,308,1864,62,19,3608,8,37,12,0,0,57,3,85,71,0,0,164,741,128,462,6,17,1358,49,40,43,23,4,162,18,12,12,0,0,42,2177,604,2470,93,38,5381,211,422,381,5,0,1022,526,177,321,29,5,1056,18217,3055,6488,231,82,28071
