SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED10092,1175,930,1060,801,847,779,586,409,198,6779,12866,11819,13543,10019,9968,10484,8374,5560,2503,85132
SED10093,1535,952,806,810,844,706,583,536,379,7144,16089,10215,10073,9838,10385,9709,8397,5431,2259,82398
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32
SED20106,589,631,1559,1167,885,783,446,266,94,6424,8189,8067,20421,14207,10553,8570,5907,3125,955,79998
SED20207,1653,909,1122,1259,890,594,361,200,114,7114,25443,11474,15373,21310,14105,9530,6662,3040,1095,108043
SED20302,1995,907,1225,1190,970,825,755,479,239,8592,25445,11851,17587,17382,12626,11776,10718,5751,1942,115081
SED20401,799,481,564,580,532,437,289,184,182,4042,11395,6886,9079,9725,8494,7369,5928,3584,1677,64132
SED20508,893,449,387,525,520,617,627,483,211,4713,12033,6493,6437,8043,8728,9921,10627,5799,2055,70144
SED20604,1162,774,699,725,732,688,548,347,154,5825,13288,8125,8370,8484,8892,9406,8226,4199,1525,70506
SED20704,1211,740,668,641,672,683,453,327,223,5620,14182,8934,9217,8731,8589,8711,7355,3934,1647,71303
SED20804,1033,644,915,803,755,705,554,432,316,6159,10708,6677,7844,7675,7981,8483,7907,4622,1910,63815
SED20906,615,433,413,484,543,412,275,198,122,3497,12784,7940,7367,9969,10342,7594,5261,3269,1820,66352
SED21001,599,656,690,503,544,459,358,308,327,4442,11104,10273,10772,9724,9918,8269,6436,4225,2577,73299
SED21106,630,413,404,547,592,450,342,229,127,3720,9923,6950,6603,7854,9716,8163,6004,3773,1909,60889
SED21203,1761,1113,1369,1196,896,730,428,303,138,7932,15471,10192,12307,10073,8469,7737,5058,3451,1486,74245
SED21303,490,496,1076,691,537,395,262,196,127,4257,8875,8739,19174,12633,8730,6407,4423,2865,1505,73352
SED21401,495,366,386,413,460,400,337,314,213,3382,10078,7541,8012,8583,8568,8277,6924,5883,2772,66634
SED21503,569,676,587,476,490,389,285,193,101,3763,9745,8232,9125,8230,8079,6837,5601,3572,1489,60912
SED21608,1191,797,667,598,744,580,489,257,129,5451,12953,8088,8518,8491,8742,8293,6977,3459,1259,66774
SED21706,583,596,674,455,473,401,294,191,115,3773,11268,10198,9316,8812,9407,7767,5777,3546,2057,68139
SED21805,983,557,641,692,704,529,350,260,138,4857,13086,7372,9483,10392,9967,8642,6388,3430,1329,70089
SED21906,598,500,817,583,485,372,361,236,171,4125,10990,7752,12166,9799,8225,6747,6325,3179,1776,66952
SED22005,761,679,1033,652,603,475,481,413,299,5399,11644,9612,14139,10716,8951,7801,6551,4472,2358,76241
SED22105,2451,1135,1490,1392,966,671,348,190,80,8725,32593,15687,21137,22693,14441,10002,6473,3164,1131,127329
SED22201,645,433,466,423,410,412,256,184,134,3367,11157,6712,8346,8721,7688,7168,5942,3769,1552,61047
SED22305,1433,881,1431,1163,887,705,565,355,188,7607,14075,9308,13817,11461,8681,7916,6234,3717,1570,76770
SED22404,1124,845,651,750,956,943,673,350,85,6375,10645,6802,6394,7000,8818,9823,8321,4143,1301,63260
SED22501,631,385,263,367,453,414,322,214,114,3155,11310,6807,5333,7958,8748,8008,6690,3217,1014,59083
SED22607,696,591,844,660,685,554,325,156,74,4592,10697,8420,12263,10384,9601,7892,5645,2822,1414,69137
SED22704,1276,777,806,843,967,1020,830,517,233,7279,10816,7077,7076,7130,8906,10450,9578,5239,1906,68189
SED22802,763,506,461,456,498,421,254,179,51,3590,11446,7461,8092,8017,8002,7238,5676,3236,937,60108
SED22901,574,399,421,416,395,367,310,261,138,3279,10280,6868,7387,8611,7634,7438,6611,3590,1640,60057
SED23007,1005,828,1580,1062,837,637,449,275,157,6834,12388,9588,18871,13781,10001,8152,5899,3292,1450,83423
SED23101,428,366,295,356,365,284,291,254,216,2855,10085,7449,6621,8138,8323,7024,6317,4936,2255,61140
SED23205,1040,672,870,748,744,617,413,276,163,5544,10879,6977,8695,8398,8290,7554,6296,3894,1816,62804
SED23308,893,664,719,652,645,600,437,322,177,5110,11016,8008,10663,8737,8437,8075,6581,3852,1681,67052
SED23402,1356,826,816,819,784,598,423,299,144,6075,17900,10374,12186,12095,10866,8953,6463,3641,1316,83801
SED23502,1089,638,628,634,764,817,841,502,257,6174,10121,5804,6107,6239,7319,9777,10448,5661,1796,63273
SED23602,1011,610,856,907,697,736,658,350,196,6010,9987,5897,6128,6571,7627,9033,8615,4387,1562,59805
SED23702,1117,685,610,713,752,634,455,275,118,5362,13341,8887,9171,8940,9400,9272,7240,3979,1299,71532
SED23806,434,468,565,439,440,337,287,178,104,3255,9339,9088,10586,8378,8227,6952,5649,3486,1545,63248
SED23901,661,501,628,594,548,474,384,271,186,4244,11599,7725,9496,9769,8907,8021,6292,3947,2132,67891
SED24006,475,464,335,313,474,400,242,193,127,3021,10420,9354,6709,7260,9286,8378,6051,3814,2016,63294
SED24105,889,513,675,658,529,509,317,232,87,4407,13527,9915,11156,10886,9667,8406,6684,3794,1457,75493
SED24207,1733,1264,2094,1797,1229,736,462,226,91,9624,22768,12807,16109,17511,12960,9167,6757,2796,733,101600
SED24308,1221,917,1243,1077,891,633,425,242,121,6777,12397,8857,10683,8881,8921,8086,6722,3814,1624,69983
SED24408,886,553,532,486,571,619,610,443,255,4961,9874,5957,6363,5972,7077,8712,7611,4630,2059,58245
SED24504,916,593,442,576,749,709,596,319,111,5008,12021,6479,5461,8134,9892,9309,7913,3917,1187,64319
SED24606,475,413,537,419,467,376,330,313,230,3559,8512,7673,9100,7528,7969,6693,5799,4003,1912,59186
SED24703,922,2447,4101,2158,1272,915,604,274,123,12810,9030,28644,43474,18945,10195,7962,5526,2603,957,127337
SED24808,2441,1127,1347,1269,967,705,494,228,67,8652,23723,11423,15305,14956,11113,8953,7472,3265,1010,97223
SED24904,1417,866,927,911,857,917,726,440,289,7350,12185,7358,8891,7885,8224,9009,7391,4114,1817,66883
SED25003,964,636,642,643,644,507,343,358,320,5056,13678,9237,10416,10424,9553,8619,5493,2538,1124,71086
SED25102,714,472,443,422,497,485,306,159,91,3585,10924,6665,6164,7746,8508,7750,6001,2771,898,57429
SED25205,703,443,455,520,583,455,276,191,87,3715,12144,7217,7062,9515,10051,8068,5747,3549,1686,65033
SED25302,777,486,282,436,634,446,448,404,322,4227,11652,7048,4222,7090,9628,8084,7992,5918,2517,64153
SED25402,1486,894,894,876,796,825,700,518,416,7408,12349,7844,8797,8038,8204,9168,7783,4317,1780,68279
SED25501,493,509,484,421,459,369,255,206,140,3348,11121,8910,7882,9106,8787,7588,5723,4412,2220,65763
SED25605,606,466,574,496,476,452,389,349,258,4070,10156,7234,8746,8541,7969,6982,6601,4857,2259,63348
SED25704,1274,695,677,709,785,886,731,475,309,6542,11313,6817,6988,6803,7867,9269,8158,5046,2194,64456
SED25802,1444,731,798,781,816,801,629,409,180,6585,14382,8271,9392,8686,9381,10104,9024,5034,1757,76030
SED25905,1039,750,799,668,660,547,352,154,92,5046,12740,8974,9699,8871,8707,8786,5805,2833,1241,67655
SED26005,1378,917,811,826,785,522,290,112,35,5675,19478,13110,11274,13051,12391,9022,5000,2166,576,86074
SED26102,971,586,541,638,828,854,864,609,289,6183,9632,5802,5697,6609,8648,10053,11016,6979,2654,67079
SED26207,627,442,467,481,525,394,329,262,105,3638,10424,6841,7011,8205,8597,7246,6212,4736,2071,61338
SED26303,550,412,758,625,574,383,228,135,56,3721,9897,6630,13086,11125,9701,6938,4434,2796,1407,66013
SED26406,571,786,974,599,513,356,273,198,158,4425,10341,11389,14633,10495,8717,6951,5000,3425,1794,72752
SED26504,977,644,571,601,660,697,610,435,225,5417,10203,6103,6226,6570,7741,8573,8075,5011,1976,60480
SED26603,883,640,1006,803,728,474,319,249,199,5299,13421,8809,15084,13127,9894,7564,4918,3577,2534,78934
SED26708,1067,642,606,615,768,760,669,331,151,5607,11668,6695,7111,7368,8442,9613,8327,4345,1679,65255
SED26806,462,770,1817,1050,727,608,493,419,387,6738,5765,7798,22939,12603,7866,6504,5125,3263,1452,73311
SED26903,779,552,899,720,702,512,385,283,301,5141,10647,7118,13400,11291,8960,6976,4958,3561,2040,68960
SED27003,665,628,1646,1034,740,677,467,268,145,6268,7682,7342,23010,12963,8492,6918,4940,2591,1050,74978
SED27101,591,394,491,542,477,387,276,218,143,3523,11786,7191,9525,10473,8813,6922,5411,3528,1525,65179
SED27208,1140,679,778,908,1065,1007,898,574,303,7366,11064,6457,7059,7035,8668,10028,9678,5333,1985,67311
SED27305,453,387,318,337,412,424,204,131,50,2711,9394,7631,6179,7071,8320,8094,4940,2651,772,55055
SED27406,596,369,343,416,572,436,353,227,173,3483,10634,7120,6251,7984,9928,8376,6684,4080,1901,62954
SED27504,1610,970,981,937,962,900,640,462,198,7668,14343,8736,9625,8760,9221,9306,7729,4645,1925,74289
SED27608,1124,908,750,690,703,522,479,261,177,5610,18475,11921,13011,13023,10995,9100,7842,4552,2056,90978
SED27708,1124,723,609,735,747,674,600,380,248,5827,11461,7026,7457,7579,8535,9201,8083,4213,1845,65388
SED27807,1400,943,1385,1115,914,829,593,441,304,7924,12214,9264,13144,10078,8779,8603,7336,4136,1791,75343
SED27907,902,616,809,683,645,529,325,214,100,4822,12140,7594,9960,9177,8605,7934,6362,3327,1098,66198
SED28007,1080,750,712,729,684,557,286,114,44,4966,16050,11484,10614,11650,11905,9336,5586,2445,816,79881
SED28107,2934,1484,2366,2155,1066,659,349,122,41,11171,35316,15834,25697,26962,12752,9210,5596,2140,520,134021
SED28203,1360,749,1068,934,760,603,442,262,110,6294,17251,9310,13791,13628,8965,7446,6606,4256,1571,82825
SED28301,520,431,268,361,433,351,283,217,107,2975,11184,8034,5679,8022,9089,8325,6324,4245,1751,62658
SED28408,1011,649,641,567,618,525,430,275,175,4892,11317,7852,8423,7572,7722,7476,6612,3939,1821,62737
SED28507,1856,945,1289,1109,859,588,404,265,196,7509,20542,10811,15933,15170,10100,8349,5897,2881,1115,90790
SED28607,899,459,736,749,636,479,310,218,97,4587,14299,6960,10563,12406,10883,8133,5275,3225,1659,73405
SED28704,1744,874,886,1005,837,646,380,182,62,6619,24584,12274,14638,16810,13156,9601,6598,2912,836,101409
SED28803,2487,1246,1560,1480,1063,755,393,162,72,9229,32942,17284,22972,22168,14696,11531,6482,2462,673,131214
SED29797,0,4,38,98,129,111,13,0,0,389,0,9,52,140,182,158,16,0,0,565
SED30001,952,582,684,608,481,358,209,138,99,4122,13813,7558,10003,10137,7565,6304,4356,1878,679,62289
SED30002,585,360,311,346,360,291,228,182,173,2840,10121,6445,6429,7744,7106,6091,4977,3365,1754,54031
SED30003,1054,612,572,539,478,326,241,182,153,4162,12804,7700,7282,8192,7832,5793,4867,3031,1080,58580
SED30004,929,541,534,679,709,683,529,270,52,4927,10819,6018,5997,7809,8515,8055,6436,2910,731,57292
SED30005,709,782,835,664,699,618,524,442,210,5479,7774,7471,8565,7081,7266,7149,6283,3936,1461,56993
SED30006,595,407,388,401,590,510,529,325,121,3876,6615,4718,4028,5201,6961,7323,7651,4905,1531,48925
SED30007,762,671,502,446,457,317,270,223,221,3861,10425,7630,6371,6903,7271,5814,5140,3626,1646,54829
SED30008,547,447,558,469,425,308,204,122,113,3197,10600,7047,9410,9597,8164,5738,3647,1768,891,56865
SED30009,895,557,588,457,490,469,442,380,201,4481,8906,5969,6171,5382,5711,6149,6120,4592,1829,50833
SED30010,2057,1019,1133,944,672,450,254,134,36,6696,18579,9963,12179,9978,7588,6128,4133,1899,545,70998
SED30011,1349,1676,3300,3080,3173,2513,948,405,106,16555,10562,6736,10450,9982,10428,9871,6687,3089,916,68729
SED30012,722,475,714,632,538,480,418,252,166,4395,8505,5295,7238,7142,6711,5831,5454,3082,1229,50492
SED30013,899,457,435,482,689,834,810,341,75,5028,7787,4412,4188,4998,6756,9031,9716,4524,900,52302
SED30014,1318,1372,2039,1363,1426,1324,1133,546,172,10693,9835,7370,9763,8444,8868,8152,6369,3276,1245,63326
SED30015,1304,868,1187,1098,1167,1102,778,454,169,8134,10259,5388,6821,6633,7122,7616,6261,3311,959,54370
SED30016,777,478,480,539,593,544,447,330,122,4316,9842,5860,6307,6681,7269,7474,7357,4385,1449,56619
SED30017,702,405,408,370,401,332,246,120,93,3078,9748,5799,6344,6941,6610,6466,5483,2569,970,50924
SED30018,518,337,295,394,354,306,164,98,48,2500,10369,6314,6080,7792,7383,5934,4420,2288,778,51357
SED30019,504,588,847,655,633,468,270,137,85,4189,8333,7845,11491,8836,8041,6325,4154,2251,972,58242
SED30020,1055,676,527,525,585,557,446,270,129,4764,11707,6630,6212,6388,6968,7092,5624,2921,882,54425
SED30021,1860,911,1384,999,1121,1289,1080,394,88,9123,11580,6412,8327,6904,7691,8622,7114,2961,674,60289
SED30022,2180,1122,1292,1092,817,476,263,110,21,7370,21944,11562,14392,13017,10297,6983,4723,1965,393,85282
SED30023,430,382,357,323,418,278,147,80,33,2441,9677,7695,7146,7310,7968,5351,3781,2025,640,51588
SED30024,664,405,556,546,579,554,437,290,123,4157,8231,4997,5612,6270,6511,6568,5892,3253,1451,48785
SED30025,519,367,297,306,349,247,139,84,31,2345,10408,6841,6835,7541,7751,5866,4109,2238,726,52324
SED30026,521,476,349,406,333,219,139,76,53,2561,10721,6706,6821,7952,7433,4748,3925,2237,1024,51557
SED30027,803,467,494,495,490,336,277,166,91,3616,9390,5798,6279,6860,6824,5928,4665,2820,916,49479
SED30028,1044,539,676,708,731,617,416,173,86,4987,10923,6042,6611,6815,7202,6606,4300,1818,574,50890
SED30029,788,695,1012,887,739,551,465,213,68,5422,8407,5089,5244,5922,6893,7250,6560,3124,859,49342
SED30030,491,396,556,434,434,310,250,193,175,3249,9002,7044,9931,8579,7156,5096,3469,2001,1081,53359
SED30031,1084,751,1076,1222,1207,1209,745,291,96,7686,8783,4837,6226,6224,6178,6547,4954,1871,453,46063
SED30032,1025,610,529,561,733,737,623,339,115,5266,8883,5274,4939,5527,6957,8777,8492,4237,1178,54266
SED30033,810,516,420,471,552,660,762,639,233,5072,8210,5044,4738,5202,6283,8377,10475,6569,2011,56912
SED30034,1380,953,1272,1063,1075,1010,939,470,202,8361,10012,5566,6319,6325,7540,9576,9315,4511,1464,60624
SED30035,1040,509,537,552,602,490,499,219,60,4502,11144,5563,6808,6504,6124,6638,5935,2638,774,52128
SED30036,1321,1155,1968,1648,994,643,292,181,76,8284,13462,9293,10605,9338,8196,6749,4358,2457,930,65402
SED30037,1001,580,613,587,504,426,295,235,225,4473,10376,6437,7446,6649,6190,5723,4144,2473,1117,50564
SED30038,1026,935,970,755,579,419,265,192,77,5220,11074,7285,7334,6847,6821,6211,4553,2504,748,53377
SED30039,1258,638,620,661,534,340,176,65,8,4306,17751,9113,10179,11655,9098,5789,3336,1271,247,68439
SED30040,781,523,496,485,488,447,345,284,185,4038,9125,5960,5697,6387,6812,6263,5728,4211,1831,52012
SED30041,980,612,546,543,558,622,536,306,128,4828,10456,6043,6011,6355,6414,7363,6536,3408,984,53573
SED30042,966,590,536,499,496,331,205,106,24,3753,12630,7853,7707,7754,7707,5943,4373,2123,592,56679
SED30043,990,755,659,638,636,495,359,226,78,4832,10356,6407,6369,6299,6828,6929,5474,2799,770,52240
SED30044,1585,811,900,731,664,533,312,195,57,5783,15002,8585,9910,8352,7721,6960,5250,2590,686,65052
SED30045,673,378,355,404,467,328,235,201,156,3208,10271,5894,6060,7624,8015,6583,4946,2958,1293,53638
SED30046,1447,894,943,813,694,483,304,180,52,5805,12669,7775,9012,7892,7356,6351,5319,2866,879,60107
SED30047,1163,803,826,824,756,734,479,324,167,6067,10440,6729,7244,7091,7173,7135,5439,3177,1373,55795
SED30048,370,675,594,370,351,281,250,184,117,3184,9064,14278,10624,8411,7050,5062,4224,2469,868,62046
SED30049,546,498,423,431,396,303,181,147,115,3042,11357,8106,8035,8995,7633,5472,3931,2633,1127,57293
SED30050,675,582,673,644,687,775,773,545,291,5652,6764,5316,6827,6127,6596,7891,7810,4462,1523,53323
SED30051,821,593,651,651,612,612,565,304,117,4922,8288,5080,4596,5171,6417,8429,9053,4389,1193,52631
SED30052,539,1173,2526,1572,1165,948,512,288,131,8857,5221,11871,22394,12146,8081,6479,4071,2064,759,73092
SED30053,629,531,755,537,484,425,328,201,72,3951,8495,6895,8529,7532,7009,5776,5159,2972,1145,53504
SED30054,449,354,352,349,361,311,168,86,62,2494,9032,6794,7219,7617,6960,5277,3588,2015,941,49443
