SED_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SED60310,6395,16738,310,597,540,1079,850,1677,467,844,262,471,135,251,0,0,4,9,871,1571,0,0,21,32,9,6,29,57,55,98,23,43,8200,20130,802,..,9001,20130
SED60404,13642,34145,197,308,52,104,253,415,80,128,6,4,0,0,0,0,10,21,92,149,98,195,104,154,20,28,40,95,257,472,40,79,14283,35260,2512,..,16793,35260
SED60410,5627,14027,374,551,230,516,607,1067,154,252,0,0,0,0,0,0,3,7,163,262,0,0,0,0,0,0,4,14,4,14,8,11,6406,15383,340,..,6750,15383
SED60411,12042,28926,559,833,377,647,940,1481,197,293,75,115,0,0,0,0,10,20,281,432,6,0,21,31,0,0,9,16,32,56,20,30,13306,30932,784,..,14089,30932
SED60414,9900,25702,298,470,14,30,309,504,3,4,0,0,0,0,0,0,16,33,14,41,56,86,31,44,0,0,6,19,90,148,21,42,10333,26430,644,..,10989,26430
SED60501,8164,20725,185,289,66,114,251,407,293,487,0,0,0,0,0,0,6,10,295,495,62,94,24,43,0,3,13,25,106,171,22,38,8845,21831,2117,..,10962,21831
SED60505,3609,9042,144,213,98,225,243,437,361,556,0,0,0,0,0,0,12,13,367,571,6,16,20,42,0,0,0,0,30,64,5,7,4257,10124,220,..,4479,10124
SED60506,12211,28061,338,500,47,114,391,618,444,682,0,0,0,0,0,0,5,9,452,690,136,213,34,59,15,21,36,61,219,361,44,92,13307,29827,2431,..,15739,29827
SED60508,1952,4659,79,142,0,8,85,149,0,0,0,0,0,0,0,0,0,0,0,0,5,23,5,4,3,0,0,3,17,31,10,24,2060,4863,202,..,2263,4863
SED60512,13804,32306,158,237,29,52,184,291,402,717,0,0,0,0,0,0,10,16,409,736,58,93,37,74,22,53,27,59,146,276,57,89,14598,33697,5473,..,20072,33697
SED60514,3637,9174,76,129,4,13,79,146,145,279,0,0,0,0,0,0,5,16,153,297,22,39,12,16,0,0,0,0,36,53,24,48,3931,9717,206,..,4137,9717
SED69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SED70001,1590,7304,167,507,8,32,178,542,106,214,0,0,0,0,0,0,5,9,112,224,306,690,22,56,138,269,5,4,472,1013,119,213,2468,9297,496,..,2961,9297
SED70002,2204,6466,647,1375,583,1273,1227,2643,122,211,10,18,0,0,0,0,4,9,136,237,8,9,0,5,5,9,0,0,19,30,76,152,3665,9530,466,..,4127,9530
SED70003,1568,6866,286,1164,3,9,287,1172,51,208,0,0,0,0,0,0,0,0,51,212,526,1149,56,114,118,228,3,7,702,1508,171,315,2780,10065,346,..,3130,10065
SED70004,1951,6945,123,249,47,57,171,306,50,85,4,5,10,38,0,0,0,17,70,137,794,1596,48,84,89,189,6,22,935,1898,217,387,3343,9681,765,..,4112,9681
SED70005,2280,6846,435,829,96,216,530,1045,130,249,19,33,189,370,0,0,0,0,336,656,0,0,0,0,0,0,0,0,0,0,4,3,3149,8548,236,..,3385,8548
SED70006,2150,6092,653,1258,252,520,908,1778,126,213,22,30,0,0,0,0,10,13,160,262,97,169,23,30,15,21,19,27,150,245,78,135,3447,8508,379,..,3830,8508
SED70007,2340,6974,311,667,68,155,378,824,314,648,45,104,47,127,0,0,0,0,405,877,0,0,0,0,0,0,0,0,0,0,4,5,3129,8687,251,..,3382,8687
SED70008,2345,7296,131,285,93,211,225,497,287,583,137,314,20,52,0,0,4,7,454,952,203,408,0,6,47,67,4,13,255,482,27,33,3306,9261,198,..,3502,9261
SED70009,2763,8485,159,552,9,23,169,580,26,68,0,0,0,0,0,0,3,3,29,65,833,1769,68,136,86,219,7,9,991,2133,229,445,4181,11712,1040,..,5221,11712
SED70010,2136,6155,99,210,25,61,129,270,870,1601,35,108,44,105,73,144,0,3,1034,1957,0,0,0,0,19,33,0,0,25,33,21,29,3345,8444,339,..,3683,8444
SED70011,1232,3696,339,606,674,1464,1018,2074,283,527,99,177,529,1088,186,372,0,0,1098,2157,0,3,0,4,35,41,0,0,41,52,9,18,3403,8003,376,..,3780,8003
SED70012,1061,3004,196,381,401,884,597,1259,510,1136,448,1003,532,1129,53,130,0,3,1548,3402,312,705,129,244,52,64,0,7,496,1020,52,76,3755,8769,370,..,4125,8769
SED70013,3148,9119,60,133,0,0,60,133,4,7,0,0,0,0,0,0,6,6,7,13,360,781,81,155,36,78,9,11,484,1023,61,119,3769,10411,428,..,4202,10411
SED70014,1421,6247,415,757,0,0,417,760,197,310,0,0,0,0,0,0,0,0,202,312,333,678,33,53,95,175,5,13,463,922,149,245,2652,8488,647,..,3293,8488
SED70015,2099,6100,319,558,337,718,651,1272,237,515,197,481,111,254,0,0,0,0,543,1243,0,11,0,0,3,11,0,5,11,23,18,19,3317,8666,258,..,3580,8666
SED70016,2135,6657,542,1116,157,337,698,1447,5,13,17,45,66,124,0,0,0,0,87,185,4,12,0,0,12,21,0,0,18,43,12,14,2957,8347,212,..,3168,8347
SED70017,2299,6891,357,720,168,352,521,1072,59,128,0,3,8,3,0,0,0,0,63,135,350,698,45,77,85,113,5,22,487,907,285,542,3664,9553,463,..,4129,9553
SED70018,1870,8563,90,195,0,0,90,195,51,86,24,44,0,0,0,0,0,7,79,137,29,56,26,31,16,92,5,10,77,187,46,91,2164,9180,378,..,2540,9180
