SED_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
SED10083,3877,6633,5137,4366,4415,3133,2029,3417,551,33549
SED10084,4158,6806,5319,4865,4030,3296,1613,3662,669,34419
SED10085,4914,4537,6385,4119,3648,2626,5246,4700,704,36877
SED10086,9990,17684,2210,2517,4203,3052,478,962,1021,42119
SED10087,5275,7907,5964,6006,4363,3520,2430,4389,728,40587
SED10088,7909,11605,5270,4297,5515,3703,1621,2684,628,43232
SED10089,3883,10124,5610,5745,5030,3834,2656,3986,603,41469
SED10090,9492,18124,2551,2789,5161,2967,670,1261,736,43757
SED10091,5611,6888,6901,4112,5227,3237,3116,3661,699,39449
SED10092,3951,9257,5021,4913,4669,3094,2431,3611,652,37599
SED10093,3679,5405,5307,5102,4459,3448,2766,4009,623,34804
SED19797,0,0,0,0,0,0,27,0,0,35
SED20106,9779,18267,3527,4191,5715,3139,931,2132,917,48609
SED20207,7190,13761,5937,5198,7289,4160,3776,3809,1219,52347
SED20302,6420,9379,8344,6832,6301,4797,4394,5788,1072,53332
SED20401,3778,7682,5038,3696,4500,2812,1782,2825,532,32635
SED20508,4350,7352,4901,4108,3783,2807,1415,2634,572,31918
SED20604,4964,6079,5088,4603,3741,2822,2431,3867,608,34202
SED20704,3963,7688,4579,4501,4028,3026,2011,3654,515,33972
SED20804,3240,6226,4011,3772,3173,2468,1633,3472,495,28496
SED20906,6289,11052,3212,3054,4575,3053,843,1678,544,34299
SED21001,5510,12896,3133,3444,4491,3087,962,2133,691,36345
SED21106,7586,11625,1898,2609,3502,2694,411,908,567,31807
SED21203,1893,4292,3850,3213,2705,2075,2861,3214,777,24887
SED21303,6637,18622,3701,4254,5180,2786,1050,1928,651,44804
SED21401,5200,9513,3068,2734,4157,3087,832,1650,643,30876
SED21503,3697,7690,4056,3441,4214,2644,1559,2241,563,30110
SED21608,3741,6096,4988,4102,3902,2732,2120,3299,529,31512
SED21706,6131,12360,2574,3154,4115,3081,831,1763,583,34599
SED21805,4645,6685,5863,4134,5032,3314,2400,3226,690,35991
SED21906,6583,14298,2666,3407,4161,2634,712,1443,717,36610
SED22005,3872,8928,4496,3750,4441,3004,2709,4242,908,36345
SED22105,5669,9622,9372,7805,7634,5053,6742,7200,1365,60456
SED22201,4029,7586,4615,3537,4216,2635,1389,2472,583,31062
SED22305,2241,4400,5417,3400,3280,2344,3830,4784,837,30536
SED22404,4689,4708,5532,3699,3227,2158,1855,3180,548,29602
SED22501,5211,9128,3916,3029,4314,2447,801,1519,408,30772
SED22607,6577,13289,3182,3491,5383,2924,1026,2056,663,38598
SED22704,4979,4318,4736,3772,3253,2185,2397,4011,692,30347
SED22802,4098,5741,5987,3739,4334,2747,1627,2915,544,31727
SED22901,3825,7424,4017,3005,4256,2748,1568,2285,555,29693
SED23007,5067,11663,4338,4430,5389,3232,3225,4038,956,42340
SED23101,4100,8957,2947,2670,3827,2544,1052,1910,508,28509
SED23205,3549,6079,4561,3704,3444,2626,1644,2822,510,28938
SED23308,4086,8949,4601,4454,3780,2807,1707,3056,526,33975
SED23402,5592,8387,6904,4761,5887,3847,2788,3730,757,42656
SED23502,3886,4002,3806,3551,2699,2171,1749,3464,567,25897
SED23602,4734,4554,3822,3178,2531,2127,1536,3027,560,26054
SED23702,4145,5382,7594,4729,4697,3285,2223,3789,638,36483
SED23806,6666,14816,1965,2766,4056,2645,490,1171,511,35098
SED23901,5456,12553,3267,3293,4315,2416,981,1761,527,34572
SED24006,6076,12210,1837,2398,3800,2761,489,1171,597,31341
SED24105,3666,6253,4468,3512,4133,3026,3646,5523,913,35135
SED24207,4114,8184,5747,4978,6050,3638,5502,5139,1268,44612
SED24308,2807,4876,4786,4234,3376,2732,3086,4122,686,30706
SED24408,6055,4332,3405,3098,2615,2103,1676,3375,478,27140
SED24504,5262,7401,4787,3476,3690,2180,1425,2630,545,31390
SED24606,6523,12638,1812,2473,3767,2628,480,1112,569,31997
SED24703,9279,29371,5844,8645,7943,5254,1833,4613,1336,74115
SED24808,3672,5668,6301,5612,5671,3739,5378,4492,919,41446
SED24904,4838,4590,3735,3355,2954,2560,2106,4557,772,29470
SED25003,3576,6435,4996,4117,5216,3628,2775,3390,758,34892
SED25102,4541,7189,5062,3387,3802,2281,1306,2269,523,30348
SED25205,5594,9502,4286,3459,4814,3073,1141,1893,495,34264
SED25302,5430,7284,4008,3372,3643,2883,787,1989,479,29871
SED25402,2896,4865,4832,3754,3977,2735,2160,3332,580,29127
SED25501,4714,10516,2679,2674,3947,2606,998,1855,643,30636
SED25605,3404,7029,3428,2850,3722,2437,2065,2959,663,28557
SED25704,5176,4186,4144,3512,2818,2525,1992,4239,546,29137
SED25802,4731,5696,5788,4246,4037,2769,2404,4340,664,34678
SED25905,3338,5571,5131,3382,4577,2892,2755,3322,734,31690
SED26005,4239,7097,6491,4620,5539,3779,3857,4654,930,41206
SED26102,4630,5990,4815,3222,3056,2764,921,2466,626,28499
SED26207,4620,7674,3613,2717,4724,2714,1360,1938,624,29984
SED26303,6391,15995,3136,3458,4178,2304,857,1629,532,38487
SED26406,5418,13195,3739,3766,4979,3378,1425,2474,725,39112
SED26504,4468,4706,3968,3646,2724,2414,1817,3761,490,27994
SED26603,5320,12323,5007,4247,5409,3078,1757,3109,771,41018
SED26708,6300,5008,4444,3508,2890,2369,2120,4531,584,31749
SED26806,8630,19351,3041,3877,5357,3317,723,1529,816,46639
SED26903,4063,9801,4204,3864,4378,2692,1790,2930,719,34438
SED27003,8701,21524,3102,3656,4831,2769,714,1506,705,47510
SED27101,4696,10536,3894,3464,4457,2625,1163,2312,577,33721
SED27208,4560,4140,3818,3882,2818,2318,1959,4089,538,28117
SED27305,4259,6745,4281,2835,4562,3005,1492,2165,513,29865
SED27406,7132,10486,2814,2952,4314,2872,619,1319,533,33047
SED27504,4606,5726,4415,3845,3558,2917,2209,4784,659,32724
SED27608,6359,12487,6375,6390,5346,4373,1956,3564,668,47517
SED27708,4474,5699,4373,3947,3125,2840,2166,4183,605,31417
SED27807,2280,4734,4251,3542,3555,2402,3736,4551,909,29968
SED27907,3818,5910,5289,3837,5171,2860,2549,2768,647,32853
SED28007,4492,7366,5486,4050,6363,4189,3623,3755,909,40228
SED28107,5650,12457,7175,7168,8004,4915,8727,5859,1593,61547
SED28203,2985,5913,5007,4313,4431,2929,3815,4284,868,34547
SED28301,5406,8966,3241,2870,4194,2975,773,1663,537,30616
SED28408,3388,7044,3821,3917,3574,2726,1382,2799,426,29078
SED28507,4041,8021,5525,5052,5780,3410,4551,4346,944,41661
SED28607,7444,12988,3677,3171,4911,2747,1394,1994,634,38960
SED28704,6295,9972,8489,6488,7230,4511,3434,4185,934,51542
SED28803,5702,9808,8241,7072,7666,5114,6277,6003,1377,57261
SED29797,11,33,36,22,4,0,29,33,5,170
SED30001,3038,6108,3979,3549,4344,2559,2966,3079,635,30247
SED30002,3703,7954,3123,2891,4039,2369,1177,1825,486,27576
SED30003,2874,4570,3748,3960,3768,2600,2062,2876,520,26981
SED30004,3506,6594,4068,4112,3320,2615,1237,2299,483,28239
SED30005,2752,5486,3588,3726,3257,2922,1487,2776,530,26528
SED30006,3859,4269,2758,2256,3176,2475,938,1608,445,21789
SED30007,3268,6376,3591,3880,3301,2988,1022,2250,424,27084
SED30008,6106,11144,2963,2834,4589,2455,1002,1759,495,33341
SED30009,1776,2924,2689,3039,2256,2070,1443,3363,370,19925
SED30010,2229,3779,4003,4473,3918,2618,3881,4402,763,30068
SED30011,3773,3346,5498,2280,2802,1667,5738,4341,667,30113
SED30012,3551,6129,3569,3328,3018,2532,866,1948,498,25434
SED30013,2810,3291,2770,2470,2233,1587,1608,2825,389,19990
SED30014,3071,6215,3693,4451,3086,2427,1387,2887,489,27702
SED30015,4391,2453,3853,1961,2158,1427,3114,3914,568,23851
SED30016,2919,4995,3854,3494,3195,2468,1403,2703,409,25439
SED30017,2889,4354,4298,3043,3910,2278,1944,2554,429,25692
SED30018,4589,8480,2763,2441,4103,2384,951,1630,388,27721
SED30019,5562,11993,2863,3256,4737,2653,1057,1854,542,34506
SED30020,3878,3927,4270,2995,3404,2072,2068,3312,493,26425
SED30021,3171,3762,3397,3265,2510,1641,1801,3260,671,23479
SED30022,5115,6806,6586,5295,5451,4303,3224,4301,855,41940
SED30023,5065,11870,2172,2771,3446,2039,541,1264,350,29517
SED30024,3112,5374,3429,3061,2787,2216,946,1990,455,23386
SED30025,4109,8059,3553,3467,4449,2445,1059,1675,389,29214
SED30026,3886,8647,2933,3322,3736,1997,950,1505,372,27352
SED30027,2697,4159,4001,3236,3213,2563,1516,2566,508,24468
SED30028,2006,3652,4931,2541,2424,1922,2738,2821,503,23537
SED30029,3004,3825,3582,2542,2666,1742,1469,2544,452,21834
SED30030,4598,11363,2848,3089,4019,2150,895,1641,439,31039
SED30031,3609,2567,3535,1696,2130,1393,3377,3002,476,21787
SED30032,2348,2576,3042,2738,2307,2015,1793,3013,443,20277
SED30033,1744,3485,2632,3354,2041,2053,1008,2169,360,18844
SED30034,3686,3388,3203,2844,2456,1878,1874,4088,535,23942
SED30035,2898,3576,4024,3425,3134,2017,2292,2546,522,24427
SED30036,2202,4708,3161,3849,3360,2119,2901,3491,641,26426
SED30037,2156,3767,3345,3221,3114,2068,1906,2551,425,22556
SED30038,2404,3643,3769,3465,3233,2110,2069,2713,429,23834
SED30039,4165,6861,5015,4223,5326,2995,2985,3001,724,35294
SED30040,2823,5415,3633,3256,3048,2401,1024,2258,390,24256
SED30041,2490,4483,3893,3350,3102,2026,2087,2525,451,24403
SED30042,3016,4517,4503,3695,4216,2728,2094,2887,482,28135
SED30043,2816,2707,3295,2629,2562,1891,2194,4004,453,22559
SED30044,2978,3669,5187,3444,4241,2481,3620,3436,706,29747
SED30045,3977,6318,3543,2831,3974,2167,1695,2254,462,27228
SED30046,2690,3780,4269,3334,3771,2435,2515,3508,595,26900
SED30047,2340,4429,5140,3068,3001,2389,2850,2881,531,26633
SED30048,4570,14128,2083,3633,3853,2641,750,1788,471,33915
SED30049,3726,8956,2983,2935,3879,2538,1195,2173,523,28905
SED30050,3209,5413,3456,3515,3043,2318,1011,2283,430,24682
SED30051,1828,2642,2669,2900,2303,1759,1467,2282,369,18222
SED30052,6638,15986,3542,4814,5328,3154,1110,2866,780,44216
SED30053,3916,6849,3557,3656,3446,2920,1003,2096,545,27992
SED30054,4168,10971,2155,2510,3305,1928,708,1415,353,27515
SED30055,2687,2743,4544,2059,2798,1699,3215,2408,498,22645
SED30056,4481,9455,2201,2194,3084,1791,563,1179,299,25237
SED30057,2035,2665,3661,3574,2871,2388,2195,4120,504,24003
SED30058,3774,8542,2812,2625,3531,1900,1037,1648,361,26230
SED30059,3814,6491,4039,3723,3870,3069,1204,2367,603,29184
SED30060,2461,3879,4232,3700,3362,2576,1748,2713,462,25126
SED30061,2311,5614,3029,4243,2781,2131,1601,2177,379,24261
SED30062,3329,5855,4539,4777,4815,3132,2690,3288,618,33041
SED30063,3204,2385,2645,2451,1860,1536,1527,3469,448,19528
SED30064,2503,3875,3694,3011,2673,1997,1369,2752,429,22308
SED30065,3535,5651,4141,3317,3177,2480,1198,2408,490,26403
SED30066,3566,4775,3038,2824,2282,2214,720,2029,454,21910
SED30067,3983,8376,3461,3345,4585,2320,1594,2446,556,30669
SED30068,3414,4678,2757,2462,3285,2016,978,1668,319,21567
SED30069,3763,5925,4107,3328,4169,2247,1547,2217,483,27787
SED30070,1958,2532,2987,2597,2417,1889,1468,2413,401,18656
SED30071,2854,4321,3239,3034,3185,1890,1443,2310,404,22693
SED30072,3007,4046,3964,2975,3671,2229,1536,2369,422,24220
SED30073,1977,3890,3734,3541,2813,2256,2178,3079,462,23929
SED30074,3110,6188,3384,3364,3967,2121,1668,2387,479,26661
SED30075,3579,3706,4092,2981,2984,1806,1934,2983,525,24596
SED30076,5260,14902,3026,4374,4489,2675,1077,2398,621,38826
SED30077,3684,2718,2574,2412,2201,1763,1950,3580,443,21325
SED30078,3077,5541,3424,3791,3137,2845,1247,2752,571,26386
SED30079,3409,6202,4099,2828,4156,2321,1561,2201,469,27255
SED30080,4308,9922,3235,3322,4036,2490,1128,2025,470,30942
SED30081,2947,6988,3196,3057,3663,2441,2131,2659,636,27713
SED30082,4406,6115,3150,3426,3300,3051,1020,2594,606,27665
SED30083,3537,5102,4748,3735,4028,3019,1947,2974,650,29741
SED30084,2007,3477,3527,4165,3122,2364,1882,2632,435,23622
SED30085,2940,7744,3374,3088,3453,2262,1784,2940,632,28208
SED30086,2633,5458,3323,3411,3037,2143,1331,2508,380,24231
SED30087,2396,6038,3431,4030,3216,2340,1320,2917,399,26082
SED30088,3107,6312,3423,3823,2960,1959,1427,2153,424,25585
SED30089,2859,3494,4047,2151,2202,1280,3175,2893,544,22642
SED30090,4364,2757,3047,2030,2263,1528,1860,3082,429,21362
SED30091,2127,3541,3698,3219,3248,2235,2807,3317,574,24774
SED30092,3514,4206,5085,3307,3075,2523,2798,2942,562,28009
SED30093,1588,2381,3527,3556,2976,2221,4255,4616,691,25802
SED39797,5,33,9,3,3,0,21,37,0,99
SED40001,3586,8712,1941,2784,2813,1757,545,1356,357,23857
SED40002,2260,5935,2492,3313,2849,1758,930,1887,339,21761
SED40003,2283,4359,2584,2437,2702,1542,714,1306,284,18219
SED40004,3143,7306,1148,1587,2166,1339,281,800,261,18027
SED40005,2755,1953,2035,1956,1537,1201,1157,3091,362,16046
SED40006,2051,4169,2568,2711,2718,1730,1319,2086,362,19707
SED40007,2985,4810,2098,2110,2752,1678,676,1130,278,18516
SED40008,2004,4821,2550,2734,2300,1572,1304,2440,418,20138
SED40009,2251,4368,2582,2538,2720,1603,760,1446,287,18558
SED40010,2990,7264,1692,2116,2492,1521,539,1149,264,20042
SED40011,2457,5906,2137,2689,2408,1568,675,1582,269,19691
SED40012,1173,1575,2162,2320,1778,1472,1742,2440,395,15059
SED40013,2387,5362,2721,2770,2751,1651,1322,2197,377,21549
SED40014,1571,1879,1783,1879,1219,1143,599,1470,190,11736
SED40015,3261,2421,2209,2055,1672,1402,1073,2178,323,16595
SED40016,1536,3160,2630,2549,2327,1483,1497,2188,359,17718
SED40017,3145,2146,2681,1890,1932,1306,1574,2528,364,17566
SED40018,2247,4934,2007,2687,2371,1552,575,1266,287,17923
SED40019,1796,2776,3634,2179,1571,1156,3000,2140,416,18663
SED40020,2051,1726,2233,2134,1581,1432,1063,2667,330,15221
SED40021,2211,5316,2277,2385,2691,1637,816,1535,304,19183
SED40022,3283,5409,2176,1791,1991,1176,518,1255,244,17850
SED40023,1512,2308,2717,2386,2345,1604,972,1720,264,15830
SED40024,1850,3024,3049,2891,2387,1769,1015,1876,326,18187
SED40025,2679,3932,2870,2477,2310,1846,854,1839,328,19136
SED40026,2241,3262,2765,2436,2939,1843,1108,1568,290,18451
SED40027,2017,3235,2160,1873,2388,1383,945,1302,282,15584
SED40028,1748,2531,2554,2405,2214,1589,1362,1853,310,16573
SED40029,4375,1861,2268,1689,1559,1363,1345,3472,357,18282
SED40030,2521,2758,2526,2222,1945,1415,819,2121,303,16636
SED40031,2467,5237,2246,2070,2805,1722,701,1353,269,18878
SED40032,2535,4638,2032,2410,2454,1476,651,1174,281,17653
SED40033,2038,2362,2440,2236,1745,1725,1469,2177,259,16447
SED40034,2388,1482,1574,1558,1148,967,874,1683,232,11898
SED40035,1730,3421,2649,2256,2505,1501,1030,1575,293,16954
SED40036,1650,2449,2478,2827,2167,1547,1890,2830,424,18253
SED40037,2016,3387,2576,2329,2516,1380,1202,1733,328,17461
SED40038,1191,1459,2276,2452,1803,1437,1851,3089,440,16009
SED40039,1252,1998,2658,2527,2058,1637,1131,1915,282,15457
SED40040,3096,3100,2883,2040,2137,1379,1079,2569,296,18586
SED40041,2059,2135,2119,2085,1422,1267,1382,1888,301,14655
SED40042,1689,1569,2313,2616,2033,1588,1981,2694,388,16880
SED40043,2178,5050,2511,2891,2720,1671,1304,2158,355,20840
SED40044,3277,7440,1298,1800,2192,1413,282,850,265,18818
SED40045,2983,6726,1803,2000,2159,1360,365,999,243,18639
SED40046,2279,5153,2351,2529,2697,1699,1004,1671,310,19697
SED40047,1879,3156,2767,2383,2771,1598,1128,1680,317,17676
SED49797,0,3,3,0,0,0,4,9,0,22
SED50106,2167,3043,2652,2461,1841,1649,1111,2211,252,17393
SED50202,1558,2533,3641,2978,2669,1844,2771,2808,430,21231
SED50304,2714,6078,3191,2849,3147,2044,1354,2256,378,24004
SED50405,2560,4264,4864,3957,3354,2286,2539,2724,467,27007
SED50502,2050,3965,3261,2642,2739,1738,1656,2135,369,20551
SED50605,3456,7737,1999,1976,2809,1836,633,1136,302,21879
SED50702,2886,5441,3926,3002,3333,1878,2175,2265,472,25383
SED50805,3367,6534,1963,2026,2507,1536,538,988,228,19690
SED50906,1785,3711,3442,2490,2221,1774,1754,2630,315,20118
SED51004,2833,4605,3959,3194,3370,2151,1317,2036,395,23858
SED51104,2440,3745,4712,3854,3297,2393,2100,2755,458,25753
SED51205,1943,5024,4023,3602,2998,1919,2485,3155,520,25668
SED51304,3485,6744,2248,2025,2695,1643,543,1012,278,20685
SED51401,3757,1863,2557,1573,1594,1013,2083,2137,304,16888
SED51504,3851,8554,1678,2275,2376,1630,585,1499,280,22720
SED51605,2938,5318,4357,2951,3578,2122,1696,2359,405,25719
SED51706,2080,2721,3848,2210,2145,1587,2304,2559,344,19807
SED51804,4178,8862,1066,2116,2032,1394,331,742,332,21062
SED51902,2712,3510,4479,2655,3241,1843,2260,2052,438,23189
SED52006,1668,2552,3014,2317,1824,1631,1576,1603,285,16471
SED52102,1962,3004,3693,2308,3026,1699,2338,2024,414,20466
SED52205,3060,6991,2976,2728,2148,1391,943,1574,351,22154
SED52301,1793,2991,2869,2376,2007,1626,1483,1972,263,17379
SED52404,2972,5503,3410,2447,2855,1669,858,1442,298,21447
SED52505,3429,7929,3980,3385,4117,2307,1866,2050,480,29544
SED52604,2774,4882,3369,2666,3020,1885,970,1652,355,21582
SED52702,2822,4694,2838,2004,2481,1330,1033,1270,288,18753
SED52803,1986,3227,5073,1706,2058,1132,4644,2027,364,22212
SED52903,2993,4578,2436,2692,2279,1086,1169,1782,441,19458
SED53004,2552,5351,3113,2361,3139,1691,897,1428,251,20777
SED53105,2157,4017,4011,2857,3044,1907,2241,2458,401,23091
SED53204,2967,4863,3955,3063,3751,2418,1675,2359,376,25425
SED53306,1594,2450,3123,2648,1766,1729,1842,2039,302,17480
SED53402,3209,7504,2663,2649,2981,1608,1044,1593,336,23581
SED53502,2290,3927,3681,2834,3042,1934,2017,2229,435,22397
SED53602,1461,2587,3200,3204,2152,1833,2135,3414,498,20480
SED53701,3830,1942,2635,1472,1822,964,1951,2383,326,17330
SED53802,2333,4707,3380,2849,3079,1956,1514,2228,409,22444
SED53902,3070,7052,2415,2505,2830,1691,876,1502,321,22263
SED54006,1876,2083,3612,2071,1842,1417,2301,2558,364,18129
SED54104,3798,11181,1318,2397,2426,1512,432,1029,339,24442
SED54203,2517,2888,4228,1552,1640,765,3472,2294,407,19757
SED54304,4999,12280,3157,3454,3510,1879,1014,1825,469,32584
SED54403,2988,4700,9264,2201,2810,1207,6057,3483,652,33374
SED54505,2638,7218,2284,2253,2684,1575,904,1417,311,21292
SED54605,1561,2358,3223,2634,1940,1338,1544,1916,300,16815
SED54701,4258,2112,2551,1473,1691,1100,1836,2671,370,18062
SED54804,3772,8129,2889,2633,2943,1788,770,1322,383,24629
SED54905,3451,8391,1934,2353,2696,1660,702,1189,344,22699
SED55005,2355,4805,3833,2908,3321,2167,2224,2499,424,24547
SED55102,2723,3353,4096,2987,3228,2034,2193,2186,463,23264
SED55202,1416,2842,3665,2819,2606,1764,2473,2821,411,20807
SED55306,2818,3575,3489,2515,2113,1939,1218,2516,338,20517
SED55405,2837,7557,3119,3400,2937,1825,1545,2404,458,26070
SED55504,2642,4114,4446,3201,3414,2179,1768,2502,456,24733
SED55605,2201,3262,4441,3290,2595,2194,2000,2433,437,22857
SED55706,3758,3084,2928,2096,1728,1437,1407,2971,323,19736
SED55802,2559,3890,4463,3811,3619,2463,2667,2711,449,26634
SED55905,2081,4566,3131,2341,2626,1626,1260,1724,356,19713
SED59797,96,324,627,58,45,6,172,344,23,1697
SED60105,1522,3085,1429,1598,1422,1146,666,1043,183,12090
SED60106,726,352,443,326,292,225,315,600,67,3353
SED60113,2193,3956,2546,2393,2109,1614,1064,1544,278,17711
SED60115,1631,2340,2294,2485,1607,1611,1570,2630,373,16536
SED60207,1842,2366,2522,2435,1709,1676,1239,2324,309,16423
SED60208,1637,2170,2202,1921,1511,1283,1278,1837,250,14086
SED60209,2260,2471,2320,2126,1619,1373,1611,2518,309,16597
SED60301,696,955,1246,1185,1075,715,553,976,155,7549
SED60302,1601,3166,2476,2973,2246,1688,1093,2116,384,17734
SED60303,2899,7629,1856,2556,2158,1390,405,1180,264,20328
SED60304,21,57,32,18,20,13,10,17,3,183
SED60310,1558,3663,869,1284,1084,752,216,620,168,10216
SED60404,2347,3677,2469,1902,1858,1092,762,1706,337,16149
SED60410,979,1987,942,965,1102,690,222,620,150,7656
SED60411,1946,3871,1918,2066,2119,1266,514,1103,230,15039
SED60414,1692,2727,1970,1839,1827,1022,548,1153,215,12991
SED60501,896,780,1347,1312,916,768,892,1332,194,8442
SED60505,627,914,762,646,791,539,358,472,91,5200
SED60506,2094,1669,1920,1597,1296,1050,1193,1816,227,12862
SED60508,352,348,423,271,244,155,211,327,44,2369
SED60512,2184,1971,2622,2010,1928,1328,1127,2095,375,15647
SED60514,672,864,781,665,850,425,278,410,102,5043
SED69797,14,78,74,21,9,0,18,58,0,277
SED70001,399,808,319,463,232,97,107,238,70,2730
SED70002,702,1614,732,1020,706,414,194,419,133,5929
SED70003,370,765,445,524,273,123,296,337,77,3201
