SED_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
SED10011,268,143,419,8,17,31,3,0,3,0,0,0,9,20,33,7425,5655,13074,315,412,726,251,6,255,77,9,87,60,17,74,61,63,126,287,256,543,8761,6598,15361,29,21,48,0,0,0,0,0,0,40,15,58,12,9,23,26,5,30,107,55,157,0,0,0,0,0,0,0,4,9,0,0,4,0,3,3,0,11,15,90,25,117,197,93,287,9,12,25,0,0,3,7,3,6,15,15,27,5527,6617,12141,2213,3211,5423,72,63,137,16792,16589,33379
SED10012,253,265,513,61,116,172,0,0,0,0,0,0,7,12,21,8133,5174,13311,416,863,1271,223,5,222,31,4,37,29,9,36,54,51,104,148,218,364,9341,6717,16062,99,99,202,0,0,0,0,0,5,60,48,102,16,27,47,4,4,5,181,183,362,0,0,0,0,0,0,3,15,16,3,16,19,0,0,0,6,27,38,104,84,186,294,294,591,30,43,74,4,0,8,3,0,7,46,46,91,2488,3481,5968,2231,2018,4245,101,64,163,14496,12621,27124
SED10013,339,253,594,49,83,134,5,3,12,0,0,3,20,12,35,18610,12167,30777,845,919,1764,753,11,768,147,14,165,56,13,77,138,122,256,241,218,455,21208,13831,35032,63,92,154,0,0,0,0,0,0,173,87,263,17,30,48,0,0,5,253,219,473,0,0,0,0,0,0,13,10,14,9,13,20,0,0,4,21,25,44,181,71,248,455,309,765,48,54,104,6,3,9,5,3,7,55,59,122,7523,11166,18690,4080,5713,9796,136,121,257,33462,31209,64664
SED10014,350,291,642,78,105,184,0,0,0,0,0,0,32,31,62,8921,6450,15377,614,878,1494,242,3,242,110,3,116,23,3,26,86,61,150,133,204,341,10594,8037,18624,138,132,272,0,0,0,0,3,5,75,52,136,29,24,55,12,6,24,263,220,483,0,0,0,0,0,0,7,5,9,11,10,19,7,9,14,17,22,41,79,52,130,357,299,650,42,52,97,5,4,9,3,3,4,52,55,107,3403,4532,7932,3175,2872,6042,104,61,166,17678,15855,33526
SED10015,761,713,1476,155,287,443,0,0,3,0,7,11,23,28,54,6978,4581,11557,331,676,1005,146,3,151,149,19,162,91,21,109,100,82,186,225,391,617,8959,6815,15768,250,367,624,0,3,0,8,13,24,58,41,99,15,30,43,21,17,34,357,473,828,0,0,0,6,3,5,10,8,18,3,28,31,4,5,13,19,44,61,84,51,132,460,568,1027,57,107,165,7,8,12,4,3,8,67,116,180,6401,7756,14154,3784,3414,7196,139,101,236,19798,18763,38566
SED10016,299,246,548,163,190,348,0,0,0,5,5,8,10,7,22,10802,7627,18423,458,709,1171,279,3,286,90,3,91,37,10,42,119,84,205,171,228,401,12432,9112,21542,153,137,294,0,0,0,8,5,8,92,53,146,8,15,29,12,6,15,267,220,486,0,0,0,3,3,4,21,17,40,11,23,36,10,4,16,42,54,95,101,62,162,407,336,745,62,62,122,10,3,8,7,0,7,72,60,137,11660,12138,23799,2618,3940,6557,74,72,144,27260,25662,52922
SED10017,7,9,13,39,65,99,6,8,15,0,0,0,7,8,14,13435,10557,23996,644,688,1335,387,13,401,118,15,132,45,3,54,76,58,136,228,247,473,15006,11669,26680,7,5,14,0,0,0,0,0,0,7,3,8,5,0,3,0,0,0,19,7,22,0,0,0,0,0,0,0,7,7,12,12,24,4,0,4,13,23,35,133,52,187,162,84,247,11,0,8,0,0,0,3,0,6,13,4,15,2058,3524,5579,2558,3808,6371,92,64,162,19884,19164,39052
SED10018,19,8,34,79,121,201,0,0,0,0,0,0,24,15,40,10581,8792,19379,555,717,1277,223,8,228,122,22,137,121,33,155,52,53,110,200,228,431,11980,10015,21999,6,6,9,0,0,0,3,0,3,3,4,9,0,0,3,0,0,0,13,6,26,0,0,0,0,0,0,6,9,12,10,14,26,0,8,8,19,26,42,101,56,152,130,84,218,5,6,8,3,7,8,0,0,3,8,12,18,3736,4877,8611,2217,3407,5621,67,57,121,18139,18459,36596
SED10019,5,0,7,28,29,59,7,0,4,3,0,3,10,7,27,9626,9105,18728,685,676,1360,363,10,373,108,11,123,171,62,236,74,46,119,542,507,1055,11618,10465,22086,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,7,0,6,5,0,7,0,0,0,11,0,16,132,66,198,150,71,220,0,0,0,0,5,5,5,0,6,10,4,12,1335,1729,3062,1416,2044,3462,152,118,269,14682,14435,29112
SED10020,9,3,6,93,118,214,4,0,4,0,0,0,15,31,44,11494,11095,22587,854,1025,1880,285,10,296,166,31,196,163,42,205,83,43,124,370,405,776,13538,12802,26339,0,6,6,0,0,0,0,0,0,8,4,4,0,0,0,3,0,3,10,7,10,0,0,0,0,0,0,6,4,8,5,12,19,0,0,0,9,18,29,109,72,182,126,97,227,0,0,0,0,4,4,7,0,7,7,4,11,1599,2170,3767,1419,2307,3727,106,102,214,16799,17483,34286
SED10021,280,195,481,570,832,1400,7,0,5,71,41,109,49,62,109,5880,3802,9687,248,413,657,157,7,165,365,92,455,379,163,540,92,79,168,790,1448,2231,8876,7139,16013,201,200,403,0,0,5,23,15,36,18,6,22,4,4,10,6,6,20,257,244,499,4,0,0,15,35,44,23,6,32,7,13,19,23,29,48,67,83,152,91,42,134,412,366,782,40,44,84,8,9,18,3,3,4,54,51,105,10939,12989,23930,1746,2926,4674,104,76,176,22132,23551,45679
SED10022,0,0,0,176,53,229,8,0,6,0,0,0,9,10,13,10294,9124,19418,889,727,1613,457,24,478,84,14,97,50,11,68,169,59,224,814,741,1552,12941,10764,23706,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,20,7,17,3,0,7,0,0,0,21,9,25,130,35,166,154,47,198,0,0,0,0,0,0,12,0,12,12,0,12,1794,1916,3705,888,1586,2474,173,131,305,15961,14438,30397
SED10023,351,282,629,17,23,41,0,0,4,0,0,0,8,19,28,9859,6568,16423,378,543,918,280,5,283,126,9,133,106,31,143,65,70,136,232,414,649,11413,7973,19387,32,28,61,0,0,0,0,0,6,54,16,65,16,14,23,12,5,17,110,67,174,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,8,10,80,43,121,192,106,304,16,15,22,0,0,0,6,0,4,20,13,31,6631,8621,15251,2224,3460,5680,55,45,97,20534,20221,40759
SED10024,305,295,602,156,143,298,0,0,0,0,0,0,13,17,27,5819,4619,10438,306,479,787,114,0,118,76,13,86,62,9,75,86,57,145,189,223,413,7130,5857,12991,58,81,143,0,0,0,0,0,3,53,29,84,9,18,27,9,9,17,127,138,264,0,0,0,3,0,3,18,7,25,8,8,16,0,0,3,24,23,51,49,27,76,203,190,391,21,20,48,8,0,8,0,0,0,33,24,58,10300,9635,19929,1636,2709,4345,46,43,91,19352,18461,37808
SED10025,367,439,808,225,324,549,67,36,101,4,5,4,22,21,46,7630,4931,12561,264,588,850,156,6,160,133,11,145,125,30,154,101,67,164,324,435,756,9415,6889,16301,111,146,261,3,4,3,9,10,16,33,22,62,4,24,32,12,11,21,176,211,388,10,8,15,6,5,7,14,15,22,9,18,30,5,10,15,37,49,87,67,51,116,283,311,594,42,25,66,6,7,13,10,3,8,52,38,89,9232,10847,20077,1876,2913,4787,89,73,159,20940,21063,42006
SED10026,4,0,4,72,58,128,4,3,3,0,0,0,32,54,87,13744,12156,25897,1071,1140,2212,409,3,408,142,20,162,100,25,118,104,59,165,590,553,1139,16257,14069,30327,0,5,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,5,4,10,0,0,4,0,6,6,7,11,20,166,96,261,173,115,283,3,0,8,0,0,0,17,3,19,25,5,31,1561,2084,3651,1404,2254,3661,140,134,276,19565,18661,38230
SED10027,412,427,843,56,79,131,0,0,0,0,0,0,20,16,39,7145,5017,12162,338,585,918,208,7,215,46,4,49,44,13,55,101,62,167,162,186,350,8538,6397,14933,94,108,204,0,0,0,3,12,10,56,35,91,10,14,24,14,6,20,176,176,356,0,0,0,0,0,0,0,7,8,7,16,21,3,0,3,12,23,34,59,46,112,256,254,506,39,22,66,4,0,4,0,0,3,45,28,69,5332,6910,12244,3144,2842,5988,97,52,150,17404,16479,33888
SED10028,579,578,1157,152,152,306,0,0,0,6,0,6,13,8,20,6067,4906,10972,232,601,834,100,0,100,74,10,82,35,10,42,71,66,137,193,232,423,7520,6562,14078,182,202,383,0,0,0,5,13,14,74,47,122,16,41,57,25,15,37,299,306,611,0,0,0,0,0,0,20,4,24,10,4,14,6,3,5,32,17,50,56,37,94,389,362,749,63,69,127,4,0,9,3,0,3,67,71,138,11284,10360,21642,2118,2857,4970,60,61,120,21440,20265,41705
SED10029,311,357,670,65,87,152,0,0,0,0,0,0,24,20,44,7428,4743,12172,388,747,1137,251,3,259,52,9,56,43,4,48,97,71,172,130,169,305,8798,6218,15008,104,124,232,0,0,0,0,0,6,66,45,108,12,18,30,14,8,17,198,194,395,0,0,0,0,0,0,4,3,10,4,11,14,3,3,8,13,19,31,86,69,156,291,280,578,39,57,94,0,3,7,0,0,0,42,63,103,2486,3418,5902,2113,1911,4026,91,84,177,13824,11970,25790
SED10030,360,236,604,112,186,299,10,0,10,0,0,0,16,24,37,8385,6541,14931,449,634,1080,207,6,215,102,9,111,67,30,98,81,59,137,333,395,729,10135,8128,18261,118,98,212,0,0,3,0,0,0,108,39,142,8,11,21,22,7,31,255,160,418,0,9,7,0,0,0,0,5,11,5,21,24,8,12,14,19,37,56,102,44,144,382,243,623,39,28,67,0,3,8,3,0,11,50,30,84,4712,5531,10243,2060,3166,5224,115,82,197,17448,17182,34636
SED10031,31,10,40,72,49,120,3,0,3,0,3,3,21,26,39,12622,10938,23558,804,907,1712,554,30,583,116,21,130,46,16,67,135,52,188,690,632,1323,15087,12687,27771,0,0,3,3,0,3,0,0,0,4,6,4,0,0,0,0,0,0,9,8,17,0,0,0,0,0,0,4,17,22,3,14,17,0,3,0,6,31,37,139,82,219,164,120,280,3,3,9,0,5,5,13,0,15,21,9,30,2963,3321,6284,1505,2406,3909,151,134,283,19881,18673,38556
SED10032,1062,1080,2137,155,222,380,4,0,3,0,0,0,44,39,86,8481,4816,13295,428,914,1339,216,0,215,104,10,109,49,10,61,138,83,222,247,336,581,10915,7518,18430,402,530,936,0,0,0,11,15,23,82,34,116,26,57,79,14,17,33,537,649,1193,0,0,0,0,0,0,10,7,8,9,24,33,4,5,12,25,34,57,100,69,167,661,752,1417,94,115,207,0,5,7,0,0,5,96,121,215,6095,6100,12195,2975,2570,5543,185,92,280,20931,17149,38081
SED10033,122,95,216,11,23,36,0,0,4,3,0,0,5,8,19,11448,7737,19184,546,553,1100,858,15,872,114,13,127,48,10,63,84,66,153,383,296,683,13628,8822,22452,26,24,45,0,0,0,0,0,0,45,37,87,9,8,15,3,4,10,85,74,161,0,0,0,0,0,0,3,4,7,3,5,9,4,7,8,13,11,23,148,47,199,252,134,389,13,12,29,3,0,0,0,5,3,15,19,35,3962,6307,10272,2275,3154,5427,100,71,172,20230,18517,38746
SED10034,499,342,846,19,23,42,4,5,10,0,0,0,6,18,23,9526,6614,16140,390,446,833,264,4,269,73,5,78,47,12,58,75,54,132,242,312,555,11148,7837,18986,73,57,136,3,0,8,3,7,15,91,51,140,17,21,36,19,3,24,209,143,347,0,0,0,0,0,0,3,6,6,3,3,4,4,0,8,10,11,15,64,32,92,278,185,462,22,16,43,0,0,0,0,0,0,22,19,42,6357,8095,14449,2251,3624,5880,47,38,86,20102,19800,39906
SED10035,1213,1033,2244,960,1150,2116,0,5,3,117,93,208,88,113,201,9339,5211,14546,456,948,1408,172,4,169,574,87,662,665,254,921,176,132,306,1531,1474,3000,15276,10497,25778,444,439,886,0,6,4,48,30,78,55,19,76,12,24,36,52,20,73,610,542,1154,3,0,7,41,46,83,34,9,46,19,51,72,37,49,83,135,161,292,177,76,247,922,772,1692,117,128,246,27,23,47,4,5,10,146,157,300,15761,16190,31948,3450,4300,7753,135,95,232,35686,32017,67700
SED10036,241,252,494,55,96,157,3,0,4,0,0,3,30,9,46,9127,6236,15362,447,709,1159,245,4,246,81,8,86,80,14,92,126,89,215,398,202,598,10845,7620,18466,79,73,155,0,0,0,0,0,3,84,64,146,6,24,33,7,3,9,180,171,355,0,0,0,0,0,0,7,9,13,5,17,19,3,5,7,13,21,40,81,53,131,277,248,522,42,42,85,0,6,4,5,0,6,51,43,94,5258,6921,12178,3299,2917,6218,101,67,171,19830,17817,37646
SED10037,641,657,1302,55,60,117,0,0,0,0,0,0,19,10,28,7642,5983,13630,303,612,913,218,4,219,108,9,116,45,15,62,84,63,148,443,548,989,9556,7969,17532,172,187,354,0,0,0,8,0,8,119,61,175,26,45,73,17,10,24,330,308,634,0,0,0,0,0,0,13,0,16,6,4,12,0,0,5,20,11,34,73,52,123,423,370,791,52,44,102,0,3,3,6,0,6,60,43,106,9374,9221,18593,2073,3098,5172,61,52,117,21545,20764,42311
SED10038,163,87,248,80,141,218,0,0,0,0,0,0,11,9,21,9953,7154,17110,406,564,971,224,4,226,111,5,115,156,40,199,61,48,111,220,253,476,11387,8317,19708,11,15,26,0,0,0,0,0,0,56,29,81,4,3,8,6,9,16,74,56,129,0,0,0,0,0,0,3,3,12,7,11,18,7,0,8,17,17,36,97,43,146,193,114,312,15,10,22,0,8,6,0,0,0,17,16,31,5140,6577,11716,2336,3614,5944,52,45,95,19119,18686,37805
SED10039,49,29,76,16,26,44,3,4,6,0,0,0,3,7,11,11395,9122,20518,537,616,1158,310,8,320,121,9,127,97,25,124,86,58,137,368,351,714,12988,10250,23238,4,4,8,0,0,0,0,0,0,26,0,29,3,6,5,3,0,3,37,12,49,0,0,0,0,0,0,5,0,3,5,9,18,0,0,3,13,13,24,117,53,170,170,77,247,6,0,10,0,0,0,4,3,8,11,8,17,3002,4074,7082,1944,2969,4917,86,80,165,18201,17461,35662
SED10040,1918,1889,3807,127,247,374,3,0,3,0,0,9,39,35,71,8145,4730,12880,334,864,1203,148,3,153,167,18,185,59,8,62,112,81,197,563,892,1450,11612,8772,20386,501,702,1202,6,0,6,18,40,57,86,53,135,27,67,89,25,18,47,661,874,1536,0,0,0,0,0,4,5,5,8,8,36,47,4,8,13,19,53,74,82,47,135,768,967,1736,79,128,208,0,7,7,0,0,0,79,135,217,6406,7197,13600,3141,3346,6489,132,91,222,22144,20512,42656
SED10041,693,669,1359,37,73,114,0,0,0,0,0,0,5,10,22,5778,4616,10391,230,546,779,88,3,88,78,7,81,58,9,68,72,72,144,305,458,760,7352,6455,13804,82,135,213,0,0,0,7,3,13,73,59,139,19,26,50,21,12,30,203,239,442,0,0,0,0,0,0,6,5,15,7,5,15,0,3,3,14,15,26,54,32,89,267,292,560,28,36,65,0,5,5,5,0,3,27,41,72,11552,10554,22100,1803,2857,4656,72,48,119,21074,20243,41313
SED10042,57,45,97,34,60,97,3,0,3,0,0,0,5,8,10,10839,8640,19479,547,601,1147,342,11,347,112,18,133,49,11,58,56,34,88,203,171,374,12253,9588,21838,17,15,33,0,0,0,0,0,0,7,8,12,6,0,11,4,0,4,39,22,66,0,0,0,0,0,0,5,6,7,5,13,18,0,0,0,10,19,27,92,48,144,146,89,238,12,16,22,4,3,5,7,0,8,13,22,39,2796,4011,6808,2120,3208,5328,83,70,149,17413,16983,34396
SED10043,676,471,1146,76,95,176,0,0,0,0,0,4,48,26,80,7821,4168,11989,362,739,1099,193,0,198,123,13,138,36,7,42,129,66,190,250,278,525,9720,5861,15581,168,199,370,0,0,3,3,10,11,82,31,106,12,36,45,16,7,23,283,276,563,0,0,0,0,0,0,10,9,19,4,13,16,8,0,10,17,19,40,98,44,145,402,348,743,58,51,107,0,4,5,8,3,5,61,57,121,3570,4129,7703,2844,2275,5115,164,92,254,16759,12762,29516
