SED_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SED30005,4483,3411,1974,756,31384
SED30006,4837,4306,2453,676,26333
SED30007,4162,3112,1890,830,29200
SED30008,4248,2234,863,332,33248
SED30009,3301,2741,1797,618,21851
SED30010,3139,1827,721,161,29319
SED30011,6119,3258,1211,259,37301
SED30012,3897,3071,1439,564,27966
SED30013,5456,5077,2073,329,25428
SED30014,5502,3861,1814,585,35989
SED30015,4159,2916,1207,319,25029
SED30016,4867,4118,2123,619,29315
SED30017,3922,2810,1146,537,25104
SED30018,4198,2554,1019,281,27696
SED30019,4729,2660,1256,425,36355
SED30020,4136,2710,1135,372,24878
SED30021,5539,4157,1381,250,29999
SED30022,4206,2353,860,115,39579
SED30023,4411,2786,1253,290,31168
SED30024,4341,3410,1640,707,26587
SED30025,4039,2315,1039,269,28101
SED30026,3400,2266,1083,407,27942
SED30027,3552,2453,1265,417,24519
SED30028,3861,2099,782,244,23830
SED30029,4808,3930,1640,377,25356
SED30030,3772,2202,1052,482,32468
SED30031,3781,2543,766,178,22535
SED30032,5203,4261,1794,404,25385
SED30033,5163,5476,3041,874,27758
SED30034,5817,5097,2106,580,28870
SED30035,3789,2920,1086,255,23695
SED30036,3299,1910,1013,317,26816
SED30037,3259,2039,1071,519,23567
SED30038,3659,2246,996,274,24141
SED30039,3444,1683,530,74,31983
SED30040,4167,3147,2004,856,27209
SED30041,4448,3423,1451,384,25209
SED30042,3553,2171,906,211,26474
SED30043,3778,2531,1080,265,22821
SED30044,3810,2440,1061,266,28602
SED30045,4240,2722,1354,567,27590
SED30046,3585,2539,1207,293,27409
SED30047,4240,2625,1303,544,26364
SED30048,4349,3344,1798,535,38873
SED30049,3756,2231,1217,473,31134
SED30050,5465,4685,2353,761,30935
SED30051,4921,4441,1829,413,23932
SED30052,5129,2878,1294,414,52769
SED30053,3868,2855,1447,551,29890
SED30054,4141,2459,1177,446,29662
SED30055,3811,2574,916,182,21885
SED30056,4949,3527,1939,692,28976
SED30057,3600,2615,1307,500,25879
SED30058,4212,3075,1450,532,28500
SED30059,4657,3152,1653,612,30664
SED30060,3786,2503,999,256,25628
SED30061,3627,2307,1229,490,25191
SED30062,3485,2131,1134,499,32008
SED30063,4520,3926,1762,344,23260
SED30064,4470,3426,1715,622,25508
SED30065,5034,4003,1798,478,29409
SED30066,5956,5419,2808,807,29400
SED30067,3550,2171,961,433,30782
SED30068,4657,3454,1879,711,23787
SED30069,4397,2799,1016,213,27800
SED30070,4411,4919,2681,672,24717
SED30071,5036,4234,2052,705,27197
SED30072,4695,3851,1896,559,26691
SED30073,3387,2215,1176,557,23498
SED30074,3891,2576,1337,558,27634
SED30075,4928,3643,1592,457,26572
SED30076,4485,2779,1260,444,45995
SED30077,4052,3350,1604,444,22247
SED30078,4207,3211,2024,920,31461
SED30079,3786,2716,1097,234,26747
SED30080,3849,2293,1266,714,32608
SED30081,3905,2632,1096,312,30553
SED30082,5831,4882,2559,625,36524
SED30083,3735,2249,970,309,28610
SED30084,3214,2065,933,220,22165
SED30085,3557,2540,1301,439,32140
SED30086,4227,3077,1659,488,26624
SED30087,3546,2937,1754,703,28052
SED30088,4746,3246,1233,303,28091
SED30089,4551,3435,1040,163,26039
SED30090,3410,2291,828,250,20466
SED30091,3089,2403,1330,543,27228
SED30092,4992,3500,1184,195,29038
SED30093,3158,1940,776,243,26550
SED39797,27,12,0,0,308
SED40001,4028,3319,1560,672,31330
SED40002,2659,1788,900,451,22461
