SED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
SED10011,0,0,3,19,83,47,59,43,15,11,24,15,3,0,8,335,8,8,7,13,78,31,21,12,0,0,0,0,4,0,7,196,0,0,5,14,13,8,25,15,0,0,0,4,0,0,0,84,0,7,31,61,78,43,71,19,3,4,0,0,0,0,0,325,0,0,16,9,9,7,0,3,0,0,3,3,0,0,8,72,0,0,0,4,0,5,9,3,4,0,0,0,0,0,0,31,0,0,0,0,22,20,45,18,7,9,5,11,9,0,7,157,120,440,1294,965,682,408,440,172,24,19,19,25,3,9,103,4717,4,10,53,95,55,79,103,62,5,14,12,14,4,4,8,517,0,0,4,20,11,10,18,21,9,10,15,25,8,0,5,162,75,164,346,376,321,265,263,154,31,14,30,22,8,0,32,2102,340,997,2325,2137,2081,1494,1650,817,175,139,173,176,56,26,282,12857
SED10012,0,0,4,113,258,151,143,73,17,18,22,20,10,0,27,843,7,8,11,35,64,24,8,0,0,4,0,0,0,0,8,171,0,0,0,8,10,12,6,5,0,0,4,0,0,0,4,51,0,0,3,7,5,11,6,0,0,0,0,0,0,0,0,37,0,0,3,7,16,13,3,15,0,0,0,0,0,0,0,69,0,0,0,0,14,11,16,14,6,3,0,0,0,0,0,73,0,0,4,40,231,132,158,137,50,13,21,25,6,0,46,853,11,52,138,64,50,9,15,18,4,0,0,0,0,0,20,383,0,0,0,4,10,12,27,10,0,4,0,4,3,0,0,76,0,4,20,1997,5521,3898,2702,1960,472,422,380,421,250,89,743,18879,37,117,588,1998,3045,2058,1399,882,495,269,210,205,75,37,375,11791,160,630,1890,5299,10699,8750,7069,4817,1844,1346,953,1343,503,175,1681,47140
SED10013,0,0,9,42,346,314,361,304,61,58,32,50,23,0,23,1620,0,7,11,14,102,31,32,11,3,0,0,0,5,0,6,216,0,4,3,6,12,17,19,17,5,4,7,4,0,0,0,92,0,0,5,48,98,98,190,61,12,9,24,51,25,4,4,635,0,3,9,18,24,55,81,73,14,5,5,7,0,0,11,313,0,0,0,0,8,30,19,14,7,7,5,8,0,0,0,101,0,0,0,0,72,47,107,56,9,12,17,13,4,0,9,342,57,277,903,627,532,268,453,301,33,36,25,15,17,8,87,3634,0,4,18,16,19,54,71,40,15,13,6,8,5,7,11,287,0,0,0,54,119,103,104,90,18,11,14,15,15,3,21,561,78,230,579,921,1107,1161,1161,643,127,149,97,95,45,19,168,6564,267,1091,2539,2597,3947,4537,7434,4547,753,757,620,659,305,80,744,30880
SED10014,0,0,3,74,507,441,448,260,73,61,62,84,28,12,36,2095,7,7,4,12,121,32,34,10,0,0,3,0,0,0,0,232,0,0,4,4,18,0,7,10,0,4,3,0,0,0,0,58,0,0,8,61,176,86,103,34,4,17,3,5,4,0,4,494,0,5,3,9,64,31,63,66,6,14,25,31,19,20,8,364,0,0,0,0,11,10,11,13,5,3,0,0,0,0,0,42,0,0,0,11,73,81,119,52,11,8,11,11,5,0,11,399,35,224,863,582,304,112,129,76,11,12,0,10,4,3,85,2472,0,0,9,17,18,26,43,22,9,4,5,10,4,0,0,181,0,0,5,54,132,61,94,54,11,17,15,5,0,0,28,489,34,100,310,817,1257,982,874,529,130,116,113,111,55,18,164,5607,142,577,1771,2310,4040,3770,5165,3001,600,574,531,619,274,110,673,24160
SED10015,0,0,4,76,346,274,340,267,82,57,111,147,30,3,36,1780,0,3,7,14,24,15,18,10,14,5,4,3,0,0,7,112,0,0,5,13,28,29,50,33,3,4,0,7,0,0,0,180,0,0,11,17,27,30,42,15,3,3,0,0,0,0,3,157,0,5,0,13,37,24,26,17,6,8,3,6,8,0,3,154,0,0,0,5,18,30,23,41,12,12,4,7,0,0,4,159,0,0,0,10,64,101,229,143,31,17,14,12,4,4,19,647,16,49,192,148,139,134,224,126,21,25,19,15,7,3,33,1150,0,0,3,12,26,24,37,48,4,13,12,11,6,3,4,209,0,0,6,331,716,468,375,358,112,103,112,115,44,9,118,2867,42,163,608,1199,1110,893,863,602,243,264,300,294,69,11,165,6829,155,1463,4447,4230,6032,5780,7756,4985,1410,2090,2041,1988,522,90,1533,44523
SED10016,0,0,15,185,686,446,457,272,38,66,51,71,40,7,31,2359,4,8,16,26,112,40,22,10,0,0,0,3,0,0,0,238,0,4,7,32,53,49,135,57,20,16,22,10,5,4,0,413,0,4,12,60,131,324,599,326,126,112,137,139,52,15,17,2051,0,0,20,46,264,374,466,198,31,32,17,41,13,9,4,1529,0,0,3,6,80,81,85,21,11,6,8,0,6,0,10,314,0,0,0,5,19,36,64,69,11,9,10,5,0,0,3,250,53,152,514,404,443,336,688,422,64,74,48,40,28,11,54,3325,0,3,17,24,36,49,138,82,26,22,17,33,11,5,11,467,0,0,5,98,108,30,61,27,7,10,13,12,15,0,9,384,59,175,339,532,638,641,909,452,165,140,125,125,61,23,70,4445,234,803,1759,2403,5216,6509,11652,6160,1457,1439,1227,1229,586,205,561,41448
SED10017,0,0,0,11,74,55,72,111,23,13,30,20,9,0,18,447,5,4,3,3,10,4,9,6,0,0,0,0,0,0,4,45,0,0,4,0,3,6,5,0,0,0,0,0,0,0,0,30,3,9,4,13,13,44,125,41,11,4,12,11,16,0,8,314,0,0,0,4,5,9,41,8,0,0,3,7,0,0,0,84,0,0,0,0,0,5,5,4,0,0,3,4,0,0,0,17,0,0,0,0,9,23,62,47,19,7,8,0,4,0,8,180,80,257,510,283,221,160,226,106,8,12,8,13,11,0,94,1987,0,0,4,15,20,25,51,20,0,4,4,3,5,3,8,166,0,0,0,4,5,10,33,16,3,5,10,28,5,0,18,136,34,52,90,92,97,91,127,102,15,12,16,21,3,0,84,832,206,543,799,709,772,648,1399,907,144,137,176,161,78,16,429,7125
SED10018,0,0,0,13,61,41,32,47,10,12,5,17,5,3,5,260,7,5,12,7,19,6,7,3,0,0,0,0,0,0,5,74,0,0,0,8,3,0,10,0,0,5,0,0,0,0,0,39,0,0,0,27,42,50,82,45,13,19,10,4,14,6,3,307,0,0,0,4,11,10,17,5,0,0,0,0,0,0,6,52,0,0,0,0,3,6,11,3,0,0,4,0,0,0,0,34,0,0,0,4,0,13,33,46,9,3,10,0,7,0,4,128,86,207,515,278,233,187,431,207,38,26,27,30,10,6,41,2318,0,5,14,21,28,45,68,54,6,9,11,16,11,0,0,288,0,0,0,10,8,9,17,28,8,3,3,3,3,0,0,100,57,68,135,135,115,149,233,163,45,45,27,32,12,7,34,1259,287,643,1063,868,903,858,1660,987,252,241,211,194,105,35,197,8501
SED10019,0,0,0,5,44,40,84,84,16,16,13,29,6,3,21,373,0,3,0,0,3,0,4,0,0,0,5,0,0,0,0,19,0,0,3,9,0,0,6,0,0,0,0,0,0,0,0,27,0,0,12,15,18,21,44,6,12,0,8,6,3,6,3,161,0,0,3,0,13,0,7,3,0,0,0,0,0,0,0,35,0,0,0,0,9,3,0,4,0,0,5,3,0,0,6,32,0,0,0,5,4,7,25,19,8,11,0,10,3,5,10,98,78,290,678,332,185,88,141,83,6,14,16,9,3,0,123,2046,0,0,21,30,27,24,45,22,3,3,0,3,6,5,9,202,0,0,0,0,0,0,6,5,0,0,10,0,0,0,12,41,19,62,129,116,81,57,105,68,8,9,14,14,12,0,78,785,171,625,1048,834,710,428,766,466,109,114,113,128,65,28,456,6064
SED10020,0,0,3,14,64,48,74,86,36,26,22,20,9,0,13,411,5,6,3,7,21,5,14,0,0,0,0,0,0,0,8,58,0,0,0,3,4,3,10,3,0,0,0,0,0,0,5,34,4,0,20,46,45,56,142,33,14,4,14,12,17,6,3,423,0,0,3,7,3,3,7,7,4,0,0,0,0,0,0,46,0,0,0,0,0,9,8,11,8,12,19,33,5,0,5,103,0,0,0,4,13,12,45,39,13,16,10,8,9,0,21,187,117,366,856,426,290,197,378,176,16,26,23,30,22,8,119,3039,0,4,13,41,36,27,64,41,8,9,6,11,7,4,3,273,0,0,0,4,10,3,8,16,4,3,9,15,4,0,0,89,29,109,175,166,133,136,415,372,98,124,131,268,63,77,82,2382,237,829,1464,1198,1154,902,2079,1417,408,510,601,838,262,114,420,12434
SED10021,0,0,11,47,116,79,107,90,37,27,32,42,16,7,19,625,18,5,16,31,77,34,45,29,17,7,10,11,8,0,23,324,0,4,16,30,39,30,64,32,18,8,8,10,11,5,6,284,0,9,14,107,291,359,340,92,32,19,37,30,22,16,52,1427,0,0,5,16,31,21,14,11,0,0,0,0,0,0,0,97,0,0,0,0,17,29,16,11,4,3,6,5,0,0,3,97,0,0,6,6,29,36,70,61,16,5,9,18,9,0,6,274,37,130,445,463,565,705,1453,1481,426,461,550,616,240,52,144,7762,4,6,29,70,76,110,234,188,58,78,99,102,80,39,24,1192,3,0,5,59,49,23,21,29,8,13,4,17,4,0,10,250,103,281,392,720,679,898,1059,1075,379,481,519,668,242,55,205,7754,277,877,1671,2341,3204,3644,5403,4832,1409,1598,1924,2340,1006,257,800,31587
SED10022,0,0,0,0,25,23,67,80,35,15,24,37,9,9,16,353,5,0,0,3,0,0,0,5,0,0,6,0,0,0,0,20,0,0,3,10,0,0,3,0,0,0,0,0,0,0,0,26,0,0,8,5,13,13,45,22,0,0,4,11,0,0,7,133,0,0,0,0,8,3,8,11,0,0,8,0,0,0,3,40,0,0,0,0,0,4,3,5,0,9,8,16,4,0,0,55,0,0,0,0,0,4,15,7,0,3,3,5,0,0,4,50,56,193,433,178,106,47,79,34,8,8,9,6,7,0,78,1261,0,3,11,14,9,16,40,13,8,10,0,3,0,0,3,131,0,0,0,3,10,7,5,3,6,0,0,3,0,0,0,51,18,58,81,76,69,51,94,79,12,19,20,55,11,25,44,698,149,440,673,464,490,324,629,506,149,176,198,299,85,78,293,4944
SED10023,0,0,4,22,84,38,56,42,12,7,20,7,10,0,8,312,7,3,9,11,53,16,33,20,8,7,7,5,0,0,4,191,0,0,13,15,23,18,24,13,0,0,0,0,4,0,4,115,0,0,7,67,86,68,112,49,15,10,8,21,17,0,8,469,0,0,6,12,8,3,10,4,0,0,0,0,0,0,0,48,0,0,0,5,14,4,9,0,0,4,0,0,0,0,0,32,0,0,0,3,12,37,54,27,8,5,6,9,5,3,0,157,85,211,616,444,387,313,623,395,76,42,71,55,24,10,52,3407,0,0,25,28,34,41,65,57,12,15,13,22,16,12,13,352,0,0,0,35,38,14,16,8,0,0,0,5,0,0,5,126,65,136,257,315,272,304,507,365,100,88,87,66,37,12,38,2646,264,791,1596,1486,1649,1533,2348,1487,333,262,278,280,161,61,238,12774
SED10024,0,0,16,51,76,40,58,51,17,6,28,20,10,0,8,389,6,10,4,6,42,24,16,12,3,4,0,0,0,0,0,135,4,7,15,55,77,55,152,69,19,27,19,21,13,10,0,538,5,9,37,148,415,538,778,280,59,64,86,74,24,9,19,2534,0,0,22,41,72,68,51,25,0,4,0,3,0,6,0,287,0,3,0,6,132,179,93,47,7,12,17,4,3,0,8,516,0,0,5,9,19,36,81,42,13,6,5,11,7,0,3,235,105,227,597,539,576,648,1317,661,89,57,63,97,40,14,67,5098,0,4,42,59,79,115,200,134,25,26,30,24,26,19,17,800,0,0,9,113,75,40,37,11,5,9,0,11,0,0,4,310,88,160,317,471,522,485,741,338,113,84,78,68,42,23,48,3585,366,836,1876,2643,4908,5162,7894,4081,872,778,776,905,560,188,451,32309
