SAL_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL21943,0,0,3,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,22,8,42,26,36,32,9,3,0,178
SAL21944,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,5,10,10,21,34,27,28,31,4,0,165
SAL21945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7
SAL21946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21947,0,0,0,0,5,0,0,0,0,5,0,0,0,4,0,0,0,0,0,6,9,8,13,9,25,23,6,0,0,84
SAL21948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,9
SAL21949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,3,11,4,0,0,27
SAL21950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SAL21951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,10,7,11,3,0,0,51
SAL21952,14,60,187,147,134,76,20,4,0,642,25,150,406,297,236,144,25,0,4,1280,409,1574,4564,3240,2258,1668,419,32,3,14173
SAL21953,4,16,36,31,37,18,7,0,0,154,6,14,58,44,49,31,12,0,0,219,112,326,744,724,672,453,129,4,0,3158
SAL21954,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,7,0,6,8,6,15,23,5,0,0,72
SAL21955,0,5,0,0,3,0,0,0,0,5,0,0,0,0,0,0,3,0,0,7,6,11,21,19,32,45,18,7,0,161
SAL21956,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,5,0,0,0,16
SAL21957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,6,3,0,0,32
SAL21958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SAL21959,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,4,0,0,6,13,6,12,6,0,0,52
SAL21960,4,17,42,27,26,16,3,0,0,117,3,33,52,29,42,27,15,5,0,209,130,375,905,535,496,387,90,5,0,2912
SAL21961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,5,4,0,0,0,0,24
SAL21962,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,5,9,12,16,16,4,4,0,77
