SAL_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL10117,160,102,36,0,819
SAL10118,21,6,0,0,97
SAL10119,45,15,7,0,187
SAL10120,24,13,5,0,100
SAL10121,15,10,3,0,70
SAL10122,5,0,0,0,6
SAL10123,0,0,0,0,0
SAL10124,6,0,0,0,23
SAL10125,3,0,0,0,11
SAL10126,3,3,5,0,11
SAL10127,5,0,0,0,11
SAL10128,0,5,0,0,4
SAL10129,0,0,0,0,7
SAL10130,25,9,5,0,66
SAL10131,9,13,0,0,76
SAL10132,4,7,0,0,9
SAL10133,3,4,0,0,56
SAL10134,0,3,4,0,8
SAL10135,12,9,0,0,55
SAL10136,4,0,0,0,18
SAL10137,3,5,4,0,20
SAL10138,5,5,0,0,20
SAL10139,6,5,0,0,33
SAL10140,4,0,0,0,17
SAL10141,3,3,5,0,11
SAL10142,3,0,0,0,12
SAL10143,13,6,4,0,37
SAL10144,43,40,17,3,301
SAL10145,21,10,10,4,81
SAL10146,91,92,50,11,515
SAL10147,9,0,0,0,24
SAL10148,38,29,11,0,173
SAL10149,0,3,0,0,16
SAL10150,0,3,0,0,10
SAL10151,7,4,0,0,35
SAL10152,8,3,0,0,26
SAL10153,3,0,0,0,25
SAL10154,752,471,325,88,4781
SAL10155,406,236,90,37,1913
SAL10156,527,412,193,47,3028
SAL10157,0,0,0,0,8
SAL10158,17,8,0,0,68
SAL10159,5,0,4,0,14
SAL10160,12,22,7,0,84
SAL10161,15,8,0,0,57
SAL10162,25,24,7,0,143
SAL10163,800,930,632,407,5007
SAL10164,0,0,0,0,0
SAL10165,1092,793,374,100,6794
SAL10166,221,173,89,20,1235
SAL10167,81,52,15,6,370
SAL10168,64,22,8,0,249
SAL10169,109,65,22,15,511
SAL10170,8,0,4,0,21
SAL10171,0,0,0,0,0
SAL10172,20,14,6,0,71
SAL10173,0,0,0,0,7
SAL10174,102,72,21,9,431
SAL10175,263,191,63,53,1565
SAL10176,3,4,0,0,24
SAL10177,6,6,4,3,59
SAL10178,509,512,134,64,2954
SAL10179,208,118,74,12,1576
SAL10180,20,20,0,0,355
SAL10181,1618,1007,527,320,15326
SAL10182,4,0,0,0,5
SAL10183,8,4,0,0,40
SAL10184,16,18,5,0,76
SAL10185,0,5,0,0,7
SAL10186,1260,1122,871,431,7767
SAL10187,5,0,3,0,10
SAL10188,155,81,44,8,779
SAL10189,20,19,5,4,84
SAL10190,0,0,0,0,6
SAL10191,60,59,29,8,326
SAL10192,25,9,10,0,164
SAL10193,0,6,0,0,6
SAL10194,498,241,57,22,2180
SAL10195,162,66,12,0,2774
SAL10196,209,120,58,17,1232
SAL10197,181,131,64,18,1115
SAL10198,28,24,9,0,176
SAL10199,330,230,137,37,2014
SAL10200,145,140,61,30,669
SAL10201,0,0,0,0,0
SAL10202,27,20,3,0,120
SAL10203,39,26,10,3,172
SAL10204,0,0,0,0,0
SAL10205,131,92,26,4,781
SAL10206,142,132,56,20,829
SAL10207,110,106,67,23,533
SAL10208,416,294,143,41,2562
SAL10209,69,71,22,7,389
SAL10210,9,24,3,0,72
SAL10211,18,20,10,4,68
SAL10212,3,0,0,0,6
SAL10213,0,0,0,0,0
SAL10214,30,25,13,0,146
SAL10215,0,0,0,0,9
SAL10216,3,0,0,0,17
SAL10217,45,48,30,3,224
SAL10218,0,0,0,0,0
SAL10219,21,11,0,0,72
SAL10220,0,0,0,0,3
SAL10221,14,3,0,7,67
SAL10222,5,0,0,0,13
SAL10223,154,99,66,14,766
SAL10224,532,352,165,82,3941
SAL10225,0,0,0,0,0
SAL10226,8,19,6,0,49
SAL10227,966,838,476,271,6108
SAL10228,199,186,106,18,999
SAL10229,129,138,93,23,788
SAL10230,10,0,0,0,32
SAL10231,595,452,275,112,3846
SAL10232,122,97,43,15,537
SAL10233,2845,2125,1110,289,20697
SAL10234,34,26,8,5,155
SAL10235,150,107,58,4,523
SAL10236,0,0,0,0,0
SAL10237,429,424,400,155,2238
SAL10238,771,426,238,71,4132
SAL10239,65,32,5,0,767
SAL10240,17,3,0,0,31
SAL10241,6,3,3,0,35
SAL10242,28,31,14,0,102
SAL10243,753,342,144,25,4740
SAL10244,5,14,0,0,46
SAL10245,22,11,8,0,104
SAL10246,0,0,0,0,16
SAL10247,13,3,0,0,60
SAL10248,69,55,24,7,422
SAL10249,1086,843,529,197,6143
SAL10250,0,0,0,0,0
SAL10251,20,22,3,0,152
SAL10252,0,0,0,0,12
SAL10253,411,327,213,134,2423
SAL10254,7,10,7,4,64
SAL10255,4,4,0,0,17
SAL10256,20,14,7,0,58
SAL10257,462,233,114,50,2937
SAL10258,23,9,0,0,90
SAL10259,0,0,0,0,11
SAL10260,24,6,5,0,72
SAL10261,40,46,13,0,260
SAL10262,9,4,3,0,29
SAL10263,994,628,180,36,5057
SAL10264,304,198,93,19,1939
SAL10265,10,8,4,0,61
SAL10266,14,18,11,0,110
SAL10267,27,27,12,0,96
SAL10268,152,106,27,10,956
SAL10269,57,40,16,3,338
SAL10270,41,29,11,0,138
SAL10271,1038,837,377,108,6567
SAL10272,8,4,3,0,43
SAL10273,421,355,180,62,2168
SAL10274,18,12,0,0,68
SAL10275,9,0,0,0,20
SAL10276,708,573,342,161,3729
SAL10277,498,290,205,83,3065
SAL10278,99,79,28,6,501
SAL10279,815,432,221,122,6492
SAL10280,37,24,12,0,140
SAL10281,10,0,0,0,12
SAL10282,0,0,0,0,3
SAL10283,745,562,545,238,4681
SAL10284,65,63,14,0,285
SAL10285,12,7,6,0,44
SAL10286,15,12,0,0,52
SAL10287,17,24,4,0,73
SAL10288,17,26,7,0,99
SAL10289,57,45,10,7,227
SAL10290,23,12,11,0,80
SAL10291,20,15,5,0,98
SAL10292,19,13,0,0,61
SAL10293,3,11,5,0,72
SAL10294,0,0,0,0,5
SAL10295,0,0,0,0,0
SAL10296,4,3,7,0,36
SAL10297,272,152,56,12,1287
SAL10298,25,24,11,0,107
SAL10299,518,306,111,51,3725
SAL10300,20,12,0,3,74
SAL10301,185,117,96,17,1319
SAL10302,24,23,3,0,99
SAL10303,515,339,138,63,3220
SAL10304,680,469,240,117,4296
SAL10305,124,71,24,5,1587
SAL10306,0,0,0,0,0
SAL10307,244,293,119,38,1112
SAL10308,528,274,149,30,2675
SAL10309,477,368,160,44,2894
SAL10310,31,24,18,0,111
SAL10311,37,37,27,5,251
SAL10312,63,59,20,7,233
SAL10313,12,6,4,0,37
SAL10314,3,0,0,0,19
SAL10315,143,101,39,15,745
SAL10316,6,0,0,0,17
SAL10317,108,98,55,48,584
SAL10318,28,17,10,0,117
SAL10319,118,101,69,11,541
SAL10320,0,0,5,0,12
SAL10321,327,383,273,141,1888
SAL10322,3,9,0,0,36
SAL10323,9,10,8,0,27
SAL10324,18,21,15,0,91
SAL10325,8,6,0,0,30
SAL10326,10,12,4,0,56
SAL10327,22,7,4,0,67
SAL10328,11,0,5,0,21
SAL10329,208,129,103,121,1411
SAL10330,789,522,195,103,5209
SAL10331,6,10,0,0,41
SAL10332,60,38,7,3,282
SAL10333,1352,868,447,354,9507
SAL10334,314,190,114,30,2103
SAL10335,11,6,0,0,46
SAL10336,11,7,5,0,31
SAL10337,6,7,6,0,47
SAL10338,7,0,0,0,13
SAL10339,167,104,40,10,1261
SAL10340,20,11,5,0,57
SAL10341,12,9,5,0,54
SAL10342,7,0,5,0,24
SAL10343,3,0,0,0,13
SAL10344,17,10,4,5,67
SAL10345,30,25,12,0,107
SAL10346,44,29,16,5,228
SAL10347,323,261,102,67,1856
SAL10348,54,35,10,4,261
SAL10349,36,34,26,5,172
SAL10350,456,345,174,39,2068
SAL10351,3,4,0,0,21
SAL10352,0,0,0,0,3
SAL10353,6,11,5,0,64
SAL10354,26,24,3,0,144
SAL10355,11,8,0,0,40
SAL10356,27,12,6,0,100
SAL10357,91,59,25,6,358
SAL10358,0,0,0,0,0
SAL10359,6,6,0,0,23
SAL10360,11,9,3,0,56
SAL10361,58,32,16,3,247
SAL10362,34,32,12,3,153
SAL10363,7,10,4,0,32
SAL10364,124,122,79,20,566
SAL10365,5,5,0,0,21
SAL10366,56,35,21,0,156
SAL10367,9,0,0,0,19
SAL10368,12,8,5,0,73
SAL10369,48,26,17,3,183
SAL10370,32,12,4,8,137
SAL10371,64,70,20,0,274
SAL10372,7,3,0,0,51
SAL10373,404,352,152,29,2083
SAL10374,4,8,0,0,15
SAL10375,0,0,0,0,17
SAL10376,121,57,29,18,1301
SAL10377,0,6,0,0,22
SAL10378,211,111,47,22,1360
SAL10379,22,23,8,0,121
SAL10380,25,19,5,0,89
SAL10381,10,3,0,0,30
SAL10382,0,0,0,0,9
SAL10383,100,164,108,25,553
SAL10384,58,52,11,3,280
SAL10385,5,0,0,0,6
SAL10386,32,26,13,4,176
SAL10387,16,25,7,0,121
SAL10388,18,16,3,4,106
SAL10389,228,223,111,32,1357
SAL10390,270,182,63,15,1553
SAL10391,136,96,58,7,1195
SAL10392,679,603,304,68,3001
SAL10393,0,9,0,0,16
SAL10394,32,28,3,0,103
SAL10395,194,145,67,22,904
SAL10396,2843,1721,880,414,25512
SAL10397,17,7,0,0,69
SAL10398,166,142,85,21,1021
SAL10399,242,135,27,8,1335
SAL10400,30,16,4,3,172
SAL10401,15,8,0,0,54
SAL10402,670,375,192,120,3492
SAL10403,3,5,6,0,45
SAL10404,3,0,0,0,27
SAL10405,30,20,8,0,120
SAL10406,739,633,253,72,4181
SAL10407,17,22,0,0,64
SAL10408,64,27,9,0,285
SAL10409,248,179,78,27,1455
SAL10410,418,165,53,16,2781
SAL10411,14,11,9,0,88
SAL10412,0,5,0,0,6
SAL10413,140,106,45,13,612
SAL10414,340,195,130,27,2548
SAL10415,49,35,12,0,148
SAL10416,0,0,0,0,0
SAL10417,0,0,0,0,9
SAL10418,4,3,0,0,42
SAL10419,32,48,18,3,149
SAL10420,192,168,54,10,951
SAL10421,439,324,145,53,2507
SAL10422,0,4,0,0,39
SAL10423,0,5,0,0,8
SAL10424,146,102,31,11,594
SAL10425,0,0,0,0,18
SAL10426,17,27,5,0,80
SAL10427,12,15,0,6,68
SAL10428,62,83,37,8,336
SAL10429,3,3,0,0,17
SAL10430,0,0,0,0,8
SAL10431,16,18,0,0,59
SAL10432,9,9,9,0,38
SAL10433,98,109,35,3,452
SAL10434,4,0,3,0,35
SAL10435,8,5,0,0,35
SAL10436,5,0,0,0,17
SAL10437,28,12,4,3,108
SAL10438,367,186,77,34,1767
SAL10439,9,13,0,4,51
SAL10440,92,55,14,0,441
SAL10441,91,56,40,25,640
SAL10442,0,0,0,0,0
SAL10443,29,13,0,0,110
SAL10444,10,11,0,0,44
SAL10445,9,0,0,4,18
SAL10446,15,14,0,0,45
SAL10447,10,11,0,0,46
SAL10448,179,102,127,43,956
SAL10449,138,108,47,7,718
SAL10450,284,148,81,8,1721
SAL10451,0,0,0,0,0
SAL10452,521,515,269,88,3234
SAL10453,7,0,5,0,22
SAL10454,104,88,44,20,579
SAL10455,13,20,4,0,83
SAL10456,59,34,12,3,294
SAL10457,9,15,0,0,98
SAL10458,26,24,7,7,140
SAL10459,9,3,0,0,34
SAL10460,6,0,4,0,25
SAL10461,57,37,13,3,188
SAL10462,582,449,280,84,7250
SAL10463,602,372,190,91,8181
SAL10464,0,0,0,0,8
SAL10465,701,533,350,126,7181
SAL10466,337,289,168,38,1987
SAL10467,237,215,94,11,1285
SAL10468,372,292,180,25,1646
SAL10469,418,266,114,87,3313
SAL10470,433,249,71,19,2673
SAL10471,24,10,6,0,69
SAL10472,284,223,109,18,1493
SAL10473,19,8,7,0,72
SAL10474,10,5,8,0,67
SAL10475,116,145,111,20,755
SAL10476,10,12,9,0,68
SAL10477,0,0,0,0,0
SAL10478,0,0,0,0,0
SAL10479,16,8,6,0,64
SAL10480,120,94,56,7,789
SAL10481,6,0,0,0,16
SAL10482,15,3,3,0,49
SAL10483,0,0,0,0,0
SAL10484,6,3,0,0,45
SAL10485,60,57,18,0,291
SAL10486,5,9,0,0,39
SAL10487,20,14,4,0,119
SAL10488,4,6,5,0,12
SAL10489,4,4,0,0,17
SAL10490,0,0,0,0,25
SAL10491,0,4,0,0,7
SAL10492,18,9,0,0,83
SAL10493,102,112,133,112,829
SAL10494,46,27,17,0,208
SAL10495,0,0,0,0,15
SAL10496,0,0,0,0,7
SAL10497,12,4,10,0,34
SAL10498,0,4,0,0,12
SAL10499,45,34,11,3,907
SAL10500,5,0,0,0,17
SAL10501,191,146,74,19,955
SAL10502,31,28,8,0,104
SAL10503,0,0,0,0,3
SAL10504,14,5,0,0,48
SAL10505,13,7,0,0,49
SAL10506,0,0,0,0,10
SAL10507,11,14,0,0,59
SAL10508,4,0,0,0,5
SAL10509,9,3,6,0,54
SAL10510,19,11,0,0,83
SAL10511,52,55,17,8,273
SAL10512,12,7,0,0,55
SAL10513,976,664,250,76,5622
SAL10514,12,12,0,3,72
SAL10515,868,471,200,81,6930
SAL10516,7,6,3,0,66
SAL10517,3,7,0,0,16
SAL10518,0,0,0,0,0
SAL10519,5,0,0,0,17
SAL10520,123,79,30,7,790
SAL10521,233,131,38,22,1504
SAL10522,14,11,6,0,71
SAL10523,4,7,0,0,26
SAL10524,110,64,16,3,708
SAL10525,10,6,9,0,59
SAL10526,144,79,25,9,828
SAL10527,121,88,52,22,759
SAL10528,7,0,0,0,9
SAL10529,26,19,9,0,97
SAL10530,4,6,3,0,29
SAL10531,0,0,0,0,8
SAL10532,18,4,0,0,61
SAL10533,44,46,15,6,283
SAL10534,1056,1293,1017,419,6397
SAL10535,137,80,29,6,536
SAL10536,0,0,0,0,0
SAL10537,218,124,26,6,3476
SAL10538,21,19,7,0,117
SAL10539,7,8,7,0,50
SAL10540,462,409,210,26,3963
SAL10541,11,4,6,0,38
SAL10542,43,46,22,6,486
SAL10543,0,3,4,0,16
SAL10544,172,160,125,29,975
SAL10545,97,63,13,0,386
SAL10546,185,114,37,7,1074
SAL10547,23,27,4,4,136
SAL10548,0,3,0,0,15
SAL10549,76,51,23,5,364
SAL10550,25,13,0,0,61
SAL10551,31,18,16,5,120
SAL10552,19,4,4,0,56
SAL10553,8,8,0,0,30
SAL10554,487,476,277,56,3056
SAL10555,0,4,0,0,8
SAL10556,43,18,8,0,203
SAL10557,13,7,4,0,33
SAL10558,9,9,0,0,58
SAL10559,0,10,0,0,17
SAL10560,63,33,10,4,352
SAL10561,11,0,4,0,62
SAL10562,0,0,3,0,7
SAL10563,13,12,3,0,57
SAL10564,20,9,5,0,109
SAL10565,50,27,11,0,200
SAL10566,670,468,240,105,4571
SAL10567,109,79,43,9,449
SAL10568,0,0,0,0,0
SAL10569,12,6,0,3,44
SAL10570,3,7,0,0,10
SAL10571,0,0,0,0,0
SAL10572,164,125,46,7,1049
SAL10573,0,4,5,0,23
SAL10574,18,13,5,0,83
SAL10575,118,75,21,7,977
SAL10576,24,12,5,0,75
SAL10577,79,65,21,0,333
SAL10578,12,12,0,0,44
SAL10579,0,0,0,0,6
SAL10580,23,21,12,0,136
SAL10581,22,10,0,0,113
SAL10582,0,0,0,0,21
SAL10583,6,5,0,0,25
SAL10584,0,0,0,0,0
SAL10585,7,13,4,0,37
SAL10586,83,95,19,9,342
SAL10587,46,41,9,0,276
SAL10588,37,65,10,0,248
SAL10589,1462,1049,460,208,7840
SAL10590,13,18,3,0,66
SAL10591,656,388,189,122,4452
SAL10592,6,4,0,0,22
SAL10593,30,21,9,0,137
SAL10594,7,4,0,0,22
SAL10595,35,25,15,0,151
SAL10596,117,44,30,4,423
SAL10597,0,6,0,0,10
SAL10598,236,142,44,25,2013
SAL10599,12,0,0,0,21
SAL10600,39,55,23,10,171
SAL10601,0,0,0,0,9
SAL10602,16,15,3,0,53
SAL10603,31,41,19,0,126
SAL10604,17,16,4,0,58
SAL10605,225,196,128,52,1142
SAL10606,17,26,10,0,209
SAL10607,14,9,0,0,62
SAL10608,6,3,0,0,14
SAL10609,48,21,19,0,246
SAL10610,19,13,0,0,98
SAL10611,0,0,0,0,7
SAL10612,4,0,0,0,17
SAL10613,0,0,0,0,0
SAL10614,4,5,0,0,28
SAL10615,15,10,0,0,58
SAL10616,0,3,0,0,16
SAL10617,29,38,9,0,142
SAL10618,223,200,82,20,1175
SAL10619,29,30,10,4,103
SAL10620,9,0,0,0,22
SAL10621,0,0,0,0,0
SAL10622,67,37,11,4,316
SAL10623,10,15,0,0,45
SAL10624,10,0,6,0,22
SAL10625,28,15,7,0,95
SAL10626,41,29,10,4,185
SAL10627,19,12,5,0,87
SAL10628,3,0,0,0,7
SAL10629,6,5,5,0,14
SAL10630,0,3,0,0,23
SAL10631,22,27,6,0,98
SAL10632,8,12,0,0,53
SAL10633,9,10,4,0,31
SAL10634,3,0,0,0,23
SAL10635,3,0,0,0,13
SAL10636,0,0,0,0,0
SAL10637,0,0,0,0,0
SAL10638,27,26,6,4,135
SAL10639,335,215,123,34,1709
SAL10640,0,0,0,0,0
SAL10641,20,16,3,3,70
SAL10642,307,211,129,31,1643
SAL10643,21,19,5,3,90
SAL10644,0,0,0,0,4
SAL10645,12,10,0,0,70
SAL10646,147,150,54,21,647
SAL10647,0,0,0,0,0
SAL10648,20,20,8,0,180
SAL10649,0,0,0,0,0
SAL10650,0,0,0,0,10
SAL10651,0,0,0,0,0
SAL10652,9,0,0,0,29
SAL10653,161,100,42,3,757
SAL10654,8,0,4,0,19
SAL10655,12,8,0,4,52
SAL10656,4,0,0,0,22
SAL10657,12,10,4,0,65
SAL10658,5,0,0,0,4
SAL10659,646,376,169,34,3599
SAL10660,14,0,4,0,23
SAL10661,5,6,9,0,42
SAL10662,9,0,0,0,16
SAL10663,14,9,5,0,58
SAL10664,0,0,0,0,0
SAL10665,29,15,4,0,71
SAL10666,15,13,0,0,56
SAL10667,371,502,270,85,1847
SAL10668,62,39,20,3,300
SAL10669,308,223,99,24,1241
SAL10670,7,4,0,0,37
SAL10671,3,0,0,0,9
SAL10672,12,10,9,0,32
SAL10673,23,7,0,0,62
SAL10674,0,0,0,0,13
SAL10675,10,15,8,0,47
SAL10676,0,4,0,0,8
SAL10677,17,13,3,0,50
SAL10678,13,16,0,3,52
SAL10679,158,50,19,0,1564
SAL10680,19,8,3,0,76
SAL10681,437,250,107,18,2549
SAL10682,56,43,12,4,233
SAL10683,23,16,0,0,90
SAL10684,39,31,7,0,144
SAL10685,18,4,3,0,45
SAL10686,4,6,5,0,35
SAL10687,22,19,7,0,79
SAL10688,28,14,4,0,96
SAL10689,3,3,3,0,40
SAL10690,3,7,0,0,36
SAL10691,8,0,0,0,40
SAL10692,3,7,0,0,25
SAL10693,96,53,23,6,591
SAL10694,100,70,26,0,441
SAL10695,5,8,0,0,26
SAL10696,4,9,8,0,28
SAL10697,19,3,0,0,70
SAL10698,321,422,320,139,1778
SAL10699,12,6,0,0,37
SAL10700,21,14,10,0,51
SAL10701,0,3,0,0,17
SAL10702,412,277,120,34,2035
SAL10703,18,18,8,0,113
SAL10704,9,6,0,0,23
SAL10705,58,67,28,0,264
SAL10706,33,21,12,0,132
SAL10707,18,11,6,0,98
SAL10708,10,5,0,0,29
SAL10709,173,166,66,25,885
SAL10710,118,64,14,8,466
SAL10711,9,3,0,0,29
SAL10712,9,0,4,0,60
SAL10713,32,36,16,0,181
SAL10714,10,17,3,0,86
SAL10715,56,43,10,0,244
SAL10716,1031,635,308,176,11076
SAL10717,90,43,42,35,689
SAL10718,210,111,66,20,1381
SAL10719,10,7,0,0,35
SAL10720,0,4,0,0,5
SAL10721,114,95,28,8,604
SAL10722,7,5,0,0,31
SAL10723,21,15,3,0,102
SAL10724,147,69,18,8,948
SAL10725,42,24,9,5,170
SAL10726,0,0,0,0,0
SAL10727,21,15,5,4,89
SAL10728,5,0,0,0,12
SAL10729,9,5,6,0,43
SAL10730,4,0,0,0,16
SAL10731,650,523,185,50,4295
SAL10732,35,18,0,0,101
SAL10733,177,112,34,5,736
SAL10734,218,230,141,23,1171
SAL10735,18,11,6,0,68
SAL10736,0,0,4,0,22
SAL10737,0,0,0,0,3
SAL10738,773,508,267,176,6522
SAL10739,272,134,64,25,2300
SAL10740,8,0,0,0,52
SAL10741,91,91,105,73,1742
SAL10742,4,3,3,0,16
SAL10743,0,0,0,0,4
SAL10744,8,7,8,0,70
SAL10745,11,8,0,3,32
SAL10746,0,0,0,0,0
SAL10747,282,226,114,23,2157
SAL10748,4,0,0,0,10
SAL10749,112,79,16,0,1482
SAL10750,3,0,0,0,22
SAL10751,11,7,6,0,78
SAL10752,5,0,0,0,6
SAL10753,10,0,3,0,23
SAL10754,0,0,0,0,496
SAL10755,8,0,0,0,10
SAL10756,257,205,101,16,1149
SAL10757,117,108,45,11,463
SAL10758,7,0,0,0,38
SAL10759,6,4,0,0,32
SAL10760,0,3,0,0,8
SAL10761,7,0,4,0,35
SAL10762,45,33,8,3,147
SAL10763,142,112,32,8,673
SAL10764,3,9,0,0,33
SAL10765,3,0,0,0,9
SAL10766,119,112,40,0,894
SAL10767,380,271,96,25,2946
SAL10768,0,0,0,0,0
SAL10769,246,221,165,127,1835
SAL10770,26,39,8,5,117
SAL10771,173,103,42,0,1090
SAL10772,313,339,125,22,2262
SAL10773,0,0,0,0,0
SAL10774,509,274,139,62,4762
SAL10775,4,0,0,0,12
SAL10776,0,5,0,0,17
SAL10777,607,467,252,48,4483
SAL10778,5,0,0,0,16
SAL10779,879,685,469,164,8388
SAL10780,688,461,225,134,7053
SAL10781,1399,715,363,197,12915
SAL10782,0,0,0,0,0
SAL10783,31,31,6,0,110
SAL10784,102,49,26,12,671
SAL10785,0,0,0,0,12
SAL10786,7,0,3,0,27
SAL10787,114,76,17,4,431
SAL10788,0,7,0,0,13
SAL10789,74,47,23,3,404
SAL10790,443,229,127,39,3739
SAL10791,442,255,140,91,3461
SAL10792,69,46,21,0,285
SAL10793,17,6,12,0,94
SAL10794,6,6,0,0,17
SAL10795,221,183,96,34,1153
SAL10796,559,248,103,29,5413
SAL10797,85,94,91,38,515
SAL10798,84,34,10,4,280
SAL10799,14,6,0,3,42
SAL10800,4,0,0,0,4
SAL10801,21,15,8,0,64
SAL10802,0,0,0,0,4
SAL10803,43,36,16,0,276
SAL10804,13,3,5,0,39
SAL10805,5,9,0,0,60
SAL10806,15,0,5,0,26
SAL10807,40,25,21,8,152
SAL10808,404,312,210,55,3134
SAL10809,127,95,64,22,751
SAL10810,231,109,56,17,1385
SAL10811,78,117,59,26,479
SAL10812,49,23,7,0,253
SAL10813,9,19,0,0,77
SAL10814,892,641,376,189,7106
SAL10815,1264,921,418,179,7029
SAL10816,0,0,0,0,6
SAL10817,2332,1568,805,260,15508
SAL10818,819,447,181,65,5724
SAL10819,127,43,21,5,1384
SAL10820,0,0,0,0,0
SAL10821,23,23,4,0,123
SAL10822,14,8,4,0,72
SAL10823,3,0,0,0,10
SAL10824,0,0,0,0,0
SAL10825,186,151,78,63,1412
SAL10826,21,10,9,0,100
SAL10827,36,18,13,0,108
SAL10828,0,3,0,0,13
SAL10829,159,94,45,10,1142
SAL10830,0,4,4,0,19
SAL10831,33,14,8,0,129
SAL10832,0,4,0,0,19
SAL10833,21,13,4,0,84
SAL10834,0,0,0,0,9
SAL10835,0,0,0,0,8
SAL10836,143,98,49,13,679
SAL10837,153,64,41,12,839
SAL10838,28,12,4,0,97
SAL10839,0,10,0,0,12
SAL10840,203,129,38,5,873
SAL10841,0,0,0,0,0
SAL10842,639,608,401,175,4439
SAL10843,19,23,7,0,133
SAL10844,319,208,143,69,1561
SAL10845,22,21,5,0,92
SAL10846,3843,2866,1534,805,23471
SAL10847,13,9,5,0,59
SAL10848,378,273,119,39,1752
SAL10849,80,84,33,6,573
SAL10850,297,214,48,8,1764
SAL10851,1109,588,248,97,7280
SAL10852,220,216,132,77,1180
