SAL_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL10049,0,4,5,13,33,56,68,50,14,252,0,4,6,0,7,13,9,6,3,52,31,38,84,89,54,43,47,27,4,413,227,505,964,942,802,872,656,238,44,5249
SAL10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,12,0,0,0,0,8,11,14,11,0,39
SAL10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3
SAL10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,15,3,3,0,33
SAL10053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,7,3,9,3,4,0,45
SAL10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,11,4,0,0,37
SAL10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,11,14,12,8,0,0,48
SAL10056,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,12,19,18,17,32,33,6,0,130
SAL10057,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,3,0,0,8,6,7,4,0,36
SAL10058,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,15,0,0,3,3,17,18,25,17,3,93
SAL10059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,15,23,32,58,10,8,167
SAL10060,0,0,0,0,6,6,14,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,5,0,0,0,31,18,28,34,45,67,59,45,20,3,315
SAL10061,0,0,0,0,8,22,36,25,12,110,0,0,0,5,0,0,0,3,0,4,9,11,10,14,25,33,43,66,16,231,115,177,329,353,496,639,710,505,83,3401
SAL10062,0,0,0,6,0,5,25,23,29,84,0,0,0,0,0,9,10,8,8,26,23,25,89,79,65,62,67,40,23,478,157,522,1607,1553,1424,1039,797,334,128,7559
SAL10063,0,0,0,0,0,6,6,12,8,40,0,0,0,0,0,0,0,0,0,0,5,0,4,3,8,6,0,0,0,31,49,118,119,161,217,209,146,97,27,1143
SAL10064,0,0,3,3,6,11,23,15,3,63,0,0,0,0,4,0,0,3,0,14,4,6,14,22,15,15,8,6,0,87,85,181,454,513,380,318,199,93,23,2235
SAL10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,3,5,10,6,5,0,33
SAL10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,6,0,0,0,22
SAL10067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,0,11
SAL10068,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,3,4,0,0,11,0,7,7,14,12,19,23,9,0,92
SAL10069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,3,0,3,0,0,14
SAL10070,0,0,0,0,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,9,9,0,3,21,11,9,29,35,60,125,117,38,17,436
SAL10071,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,14,4,11,16,16,28,49,33,18,4,177
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10073,0,0,4,0,3,0,0,7,3,19,0,0,0,0,0,0,3,0,0,8,3,0,0,10,9,3,7,7,0,49,51,78,124,141,221,208,170,114,27,1128
SAL10074,0,0,0,0,0,11,8,5,5,37,0,0,0,0,0,0,0,0,0,3,3,0,10,6,4,6,9,4,0,48,41,73,138,154,193,214,162,90,27,1087
SAL10075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,6,3,0,0,20,0,7,6,4,5,20,14,0,0,52
SAL10076,0,0,0,0,0,0,0,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,9,17,14,26,27,38,12,7,148
SAL10077,0,0,0,0,0,9,11,9,6,33,0,0,0,0,0,0,0,0,0,5,0,0,4,0,3,0,3,3,0,20,8,17,36,36,55,89,79,48,16,380
SAL10078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,11
SAL10079,0,0,0,7,6,18,23,11,8,78,0,0,4,8,9,0,5,0,0,23,0,0,5,9,8,6,11,14,0,54,36,80,184,191,157,172,150,75,30,1074
SAL10080,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,8,3,4,0,21,3,9,23,15,23,40,35,17,0,170
SAL10081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,6,0,0,0,0,7
SAL10082,0,0,0,0,3,3,12,7,3,27,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,6,10,4,0,32,9,14,27,53,46,57,100,33,14,346
SAL10083,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,4,4,12,0,0,32
SAL10084,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,4,0,0,6,0,0,16
SAL10085,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,6,5,4,9,0,0,0,22,0,4,15,22,24,36,24,5,0,134
SAL10086,15,29,43,55,47,92,131,143,91,636,3,21,50,36,24,18,22,14,4,192,388,410,334,222,182,187,146,197,122,2188,1137,2100,3269,2665,2541,2727,2163,1513,592,18706
SAL10087,0,0,13,20,38,67,115,121,43,412,0,3,20,14,16,53,42,49,32,226,45,84,241,153,111,93,70,89,72,964,252,858,2826,1912,1319,1081,762,506,238,9751
SAL10088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,8,0,0,0,22
SAL10089,0,0,0,5,0,0,15,22,5,50,0,0,0,0,0,0,0,0,0,4,0,6,11,10,7,11,19,17,3,83,10,39,88,44,48,111,201,140,31,712
SAL10090,0,0,0,0,0,0,4,6,0,12,0,0,6,0,0,0,0,0,0,6,0,0,5,0,0,3,3,0,0,13,12,30,55,75,79,83,106,31,13,481
SAL10091,0,0,5,3,6,11,22,16,20,88,0,0,5,18,6,7,10,9,10,54,12,8,67,73,42,19,34,20,6,288,128,463,1441,1897,1218,847,678,334,151,7152
SAL10092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,4,6,4,7,11,4,0,39
SAL10093,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,11,4,6,16,5,0,0,48
SAL10094,0,0,0,3,3,11,67,67,23,185,0,0,0,0,0,3,20,15,12,52,5,10,9,8,8,11,12,0,0,65,93,195,249,392,517,494,366,216,66,2581
SAL10095,0,0,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,7,3,0,31,5,6,14,24,34,61,81,42,4,267
SAL10096,0,0,0,0,0,0,7,4,0,9,0,0,0,0,0,0,0,0,0,0,3,0,3,4,4,4,6,0,0,28,6,9,17,28,42,77,52,8,3,249
SAL10097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,0,5,0,18
SAL10098,0,0,14,29,32,44,42,27,7,204,0,0,6,12,26,35,20,7,3,125,25,19,49,62,54,46,42,18,6,325,134,257,476,489,406,426,234,124,47,2585
SAL10099,5,4,21,30,58,72,172,241,172,768,0,6,44,32,25,46,48,50,52,307,24,94,269,132,107,118,115,134,192,1185,309,1931,5208,3525,2560,2353,1819,1233,816,19752
SAL10100,0,0,0,0,3,9,18,17,11,54,0,0,0,0,0,0,4,3,0,10,8,0,8,4,13,6,15,12,3,70,21,15,43,42,88,122,110,75,24,540
SAL10101,0,0,0,0,0,0,7,4,0,18,0,0,0,0,0,0,0,0,0,3,4,0,8,6,9,9,3,4,0,47,15,13,61,28,52,55,24,13,0,254
SAL10102,9,6,19,10,17,40,46,40,24,194,0,0,4,4,5,9,3,0,5,27,26,32,57,54,50,37,48,20,13,350,140,323,490,397,418,420,384,177,106,2848
SAL10103,0,0,4,0,5,12,22,12,16,71,0,0,0,3,0,3,0,0,0,10,7,3,18,12,18,22,28,28,18,153,164,258,494,595,664,596,418,207,70,3477
SAL10104,0,0,0,0,7,5,16,23,5,56,0,0,0,8,3,10,3,3,0,34,12,11,19,34,16,12,11,20,3,123,113,328,921,1221,748,540,439,211,66,4590
SAL10105,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,3,6,6,6,14,12,0,54
SAL10106,0,0,0,0,0,3,10,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,3,10,7,5,3,0,0,29,18,17,61,74,80,72,79,25,5,420
SAL10107,3,46,221,304,401,413,430,286,116,2218,6,56,309,290,391,342,259,184,77,1920,138,436,865,504,379,346,263,163,119,3202,889,4544,8955,5299,3971,3640,2277,1200,524,31295
SAL10108,0,0,0,0,0,0,4,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,3,14,19,18,12,10,3,91
SAL10109,0,0,0,0,4,3,7,4,5,22,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,4,0,5,0,30,53,113,271,348,369,396,319,137,36,2048
SAL10110,0,0,9,19,24,34,57,51,27,220,0,4,5,16,11,19,34,23,7,122,21,20,78,78,48,48,40,82,118,520,131,378,1490,1161,596,446,327,217,158,4905
SAL10111,0,0,0,0,3,0,0,6,4,14,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,10,9,9,13,8,29,26,17,15,3,125
SAL10112,0,0,0,4,0,6,11,15,9,48,0,0,0,0,0,0,3,0,0,7,14,15,22,33,35,29,31,40,66,283,237,524,663,1111,1505,1572,1260,639,296,7811
SAL10113,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,12,6,4,4,0,35
SAL10114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,9,14,10,10,18,25,42,32,18,0,172
SAL10115,0,0,0,0,4,0,13,8,5,36,0,0,5,0,0,0,0,0,0,14,3,6,12,27,20,16,19,10,0,116,133,233,316,579,748,648,539,266,53,3509
SAL10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10117,0,0,3,7,0,16,18,19,8,65,0,0,0,0,0,0,0,5,0,9,0,3,10,5,8,6,20,6,0,64,33,97,252,187,194,261,191,93,15,1329
SAL10118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,6,4,11,43,28,18,0,0,122
SAL10119,0,0,0,0,0,0,5,5,3,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,4,0,9,16,28,43,41,66,66,37,18,9,313
SAL10120,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,3,15,24,18,28,42,23,11,4,165
SAL10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,4,4,0,27,3,9,17,22,10,31,22,11,3,132
SAL10122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,13
SAL10123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
SAL10124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,0,3,10,14,4,0,0,0,35
SAL10125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,13
SAL10126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,0,0,4,3,5,0,21
SAL10127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7
SAL10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7
SAL10129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,17
SAL10130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,6,9,10,4,28,11,12,0,81
SAL10131,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,4,8,19,20,23,16,25,8,4,121
SAL10132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,4,12,0,0,18
SAL10133,0,0,0,0,0,3,16,4,0,23,0,0,0,0,0,0,0,3,0,12,3,0,4,3,0,0,5,5,0,22,8,0,22,26,22,15,29,14,6,130
SAL10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,8
SAL10135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,5,0,0,14,6,0,5,11,21,18,19,6,0,82
SAL10136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,6,0,0,5,5,3,0,0,0,27
SAL10137,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,11,10,3,0,35
SAL10138,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,7,0,0,7,3,5,6,7,0,0,28
SAL10139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,5,14,6,8,4,0,47
SAL10140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,0,5,0,11,15,5,0,0,39
SAL10141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,5,3,4,5,0,20
SAL10142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,12
SAL10143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,11,10,19,10,3,0,55
SAL10144,0,0,0,0,0,0,0,4,3,13,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,6,0,0,0,14,8,26,59,84,88,63,61,36,11,431
SAL10145,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,4,7,6,3,16,36,15,10,5,106
