SAL_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SAL31499,33,183,0,214,858,72,0,1151,12,126,0,130,672,51,0,853,0,22,0,24,324,18,0,358,0,0,0,0,64,0,0,70,1642,626,113,2375,4931,583,8,7890
SAL31500,37,20,0,62,361,11,4,443,5,55,0,58,212,14,4,290,0,7,0,12,129,6,0,150,0,0,0,0,71,3,0,75,1060,206,38,1307,5129,273,58,6765
SAL31501,0,0,0,0,4,0,0,4,0,3,0,3,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,9,4,0,13,24,0,0,38
SAL31502,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11
SAL31503,3,8,0,17,103,5,0,125,0,5,0,5,94,7,0,108,0,0,0,0,54,4,0,58,0,0,0,0,9,0,0,14,94,32,6,130,391,32,0,558
SAL31504,81,97,0,184,795,18,4,991,15,186,3,202,502,13,12,728,5,85,0,87,546,20,0,653,0,6,0,9,212,11,0,228,2190,501,53,2738,4602,129,19,7490
SAL31505,17,36,0,54,215,9,0,275,0,73,0,74,224,6,0,299,0,24,0,24,173,3,0,202,0,0,0,0,107,0,0,114,457,157,11,631,1265,41,3,1940
SAL31506,4,3,0,8,15,4,0,25,0,0,0,0,20,3,0,31,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,18,9,3,28,73,10,0,112
SAL31507,0,13,0,13,83,9,0,109,0,10,0,10,108,9,0,128,0,4,0,4,30,6,0,44,0,0,0,0,7,0,0,7,98,41,8,145,432,50,5,631
SAL31508,10,20,0,30,199,4,0,240,4,16,0,26,150,3,0,180,0,0,0,0,71,0,0,69,0,0,0,0,15,0,0,15,437,71,11,520,1015,40,0,1579
SAL31509,0,0,0,0,7,0,0,10,0,0,0,0,9,0,0,9,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,10,0,0,14,38,0,0,50
SAL31510,0,0,0,0,4,0,0,4,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,11,0,0,16
SAL31511,0,0,0,0,15,0,0,15,0,0,0,0,9,0,0,9,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,19,5,0,18,75,0,0,93
SAL31512,26,67,5,96,516,13,0,624,5,130,0,133,470,8,0,605,0,36,0,36,428,30,0,489,0,0,0,4,218,40,0,262,1211,353,36,1594,3840,183,0,5629
SAL31513,24,67,0,93,410,31,0,531,4,48,0,55,399,26,0,481,0,15,0,16,380,65,0,457,0,0,0,0,167,50,0,217,613,218,38,868,2473,282,3,3624
SAL31514,0,13,0,13,73,10,0,100,0,9,0,9,80,9,0,94,0,0,0,0,47,4,0,48,0,0,0,0,7,0,0,8,34,19,6,56,278,34,0,369
SAL31515,0,0,0,3,10,0,0,12,0,5,0,3,6,0,0,8,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,36,33,13,82,82,0,0,162
SAL31516,0,5,0,9,48,0,0,61,0,13,0,13,26,5,0,46,0,0,0,0,6,0,0,6,0,0,0,0,4,0,0,4,42,23,3,70,179,7,0,251
SAL31517,40,88,0,123,728,31,0,882,9,85,0,91,576,21,3,695,0,22,0,22,296,20,0,334,0,0,0,0,99,6,0,104,1023,281,44,1342,3320,215,15,4902
SAL31518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,10,0,0,13
SAL31519,5,9,0,14,50,0,0,64,0,3,0,3,42,0,0,48,0,0,0,0,22,0,0,21,0,0,0,0,4,0,0,4,64,16,0,78,219,9,0,306
SAL31520,0,0,0,0,11,3,0,9,0,0,0,0,9,0,0,9,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,6,0,0,10,34,6,0,51
SAL31521,3,0,0,0,28,6,0,37,0,3,0,6,53,0,0,61,0,0,0,0,14,9,0,22,0,0,0,0,4,0,0,4,31,3,5,40,128,25,0,193
SAL31522,0,0,0,3,27,3,0,30,0,0,0,0,28,3,0,33,0,0,0,0,5,4,0,8,0,0,0,0,0,0,0,0,18,8,0,27,119,23,0,171
SAL31523,0,3,0,5,27,9,0,38,3,4,0,5,26,8,0,37,0,0,0,0,11,0,0,13,0,0,0,0,0,0,0,0,43,12,0,63,106,27,0,191
SAL31524,3,0,0,3,15,0,0,21,0,0,0,0,24,5,0,24,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,17,0,0,17,74,19,0,110
SAL31525,4,13,0,18,65,0,0,88,0,9,0,9,99,4,0,105,0,7,0,7,33,0,0,43,0,0,0,0,6,3,0,11,149,34,5,193,363,13,3,574
SAL31526,0,0,0,0,4,0,0,9,0,0,0,0,10,0,0,11,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,10,8,3,17,35,3,0,55
SAL31527,0,14,0,23,174,38,0,229,0,24,0,24,180,27,0,225,0,4,0,4,104,15,0,126,0,0,0,0,48,7,0,59,289,63,4,358,1062,246,11,1677
SAL31528,0,4,0,7,10,0,0,25,0,0,0,0,15,0,0,17,0,0,0,0,8,4,0,12,0,0,0,0,0,0,0,0,50,7,0,62,92,22,0,179
SAL31529,3,6,0,8,104,10,0,123,0,8,0,7,138,13,0,154,0,0,0,0,67,8,0,72,0,0,0,0,16,0,0,18,69,27,3,97,448,56,3,610
SAL31530,0,0,0,7,27,0,0,31,0,0,0,0,23,0,0,19,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,14,5,0,22,85,11,0,110
SAL31531,0,10,0,14,127,9,0,155,0,11,0,11,157,9,0,178,0,4,0,4,95,5,0,106,0,0,0,0,46,3,0,50,79,37,4,120,608,66,0,793
SAL31532,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,8,0,0,10
SAL31533,0,0,0,0,9,0,0,9,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,0,26
SAL31534,4,17,0,21,130,17,0,166,0,15,0,14,92,10,0,116,0,0,0,0,45,0,0,43,0,0,0,0,6,0,0,11,121,59,0,182,445,76,0,701
SAL31535,7,56,0,63,216,16,0,295,0,37,0,33,151,3,0,191,0,3,0,3,65,3,0,77,0,0,0,0,9,0,0,17,423,147,19,588,1124,94,0,1810
SAL31536,0,0,0,0,8,7,0,14,0,0,0,0,9,0,0,15,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,7,0,0,8,27,8,0,43
SAL31537,0,3,0,4,23,13,0,41,0,0,0,0,16,8,0,22,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,30,5,0,37,76,42,0,156
SAL31538,0,0,0,0,6,0,0,10,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,41,4,0,58
SAL31539,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,5,0,0,13
SAL31540,0,11,0,11,38,0,0,49,0,5,0,5,30,0,0,33,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,71,20,0,93,165,9,0,276
SAL31541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,14
SAL31542,33,132,4,168,936,76,5,1180,14,96,0,117,984,61,0,1162,0,16,0,17,602,60,0,673,0,0,0,0,267,41,0,312,1504,462,86,2052,5636,607,29,8317
SAL31543,11,65,0,72,487,36,0,600,3,87,0,94,539,47,0,677,0,11,0,11,298,23,0,340,0,0,0,0,55,8,0,63,282,192,4,484,2345,232,6,3069
SAL31544,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,10,0,0,16,25,0,0,37
SAL31545,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,3,0,0,15
SAL31546,4,25,0,27,50,6,0,79,5,4,3,11,42,0,0,51,0,4,0,8,8,0,0,17,0,0,0,0,8,0,0,8,195,53,5,255,285,9,0,550
SAL31547,15,31,0,47,183,12,0,237,4,26,0,26,130,9,0,173,0,5,0,5,93,3,0,99,0,0,0,0,18,0,0,23,400,96,21,517,996,82,0,1598
SAL31548,58,114,0,166,773,112,0,1053,13,76,0,95,670,66,0,827,0,16,0,15,324,22,0,364,0,0,0,0,61,0,0,63,1374,496,79,1950,5101,1012,17,8084
SAL31549,4,17,0,23,150,8,0,178,0,11,0,11,240,16,0,273,0,3,0,3,117,12,0,137,0,0,0,0,15,5,0,17,68,44,3,121,674,57,0,856
SAL31550,5,4,0,8,20,0,0,28,0,0,0,0,4,0,0,6,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,3,15,8,0,21,72,4,0,98
SAL31551,0,0,0,0,10,0,0,8,0,0,0,0,10,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,9,40,4,0,57
SAL31552,0,3,0,5,14,3,0,17,0,0,0,0,3,0,0,8,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,12,9,0,18,43,11,0,71
SAL31553,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,11,0,0,23
SAL31554,35,144,7,184,906,66,0,1157,15,135,0,153,945,64,0,1160,0,21,0,22,666,66,0,751,0,0,0,0,323,49,0,372,1398,553,74,2025,5472,515,8,8017
SAL31555,0,0,0,0,7,0,0,9,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,20,32,5,0,53
SAL31556,0,27,0,32,134,6,0,168,0,10,0,11,58,4,0,70,0,0,0,0,18,0,0,18,0,0,0,0,3,0,0,3,577,100,36,711,937,60,0,1710
SAL31557,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,6,3,0,13
SAL31558,73,414,7,494,1875,88,6,2458,16,308,4,330,1487,57,3,1872,0,50,0,50,839,39,0,927,0,0,0,0,268,13,0,282,3178,1390,184,4756,10626,841,27,16248
SAL31559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,13
SAL31560,11,39,0,52,128,10,0,182,0,28,0,32,138,7,0,175,0,4,0,4,56,0,0,60,0,0,0,0,19,0,0,13,488,107,23,615,870,60,0,1543
