SAL_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
SAL30679,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,3,0,0,0,0,0,0,16,3,0,3,0,0,0,0,6,0,16,0,10,0,0,3,0,0,0,5,15,0,3,0,4,5,0,5,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,12,6,10,5,6,11,5,77
SAL30680,0,0,10,30,8,30,5,26,4,105,18,49,44,90,31,36,4,18,8,293,88,263,140,128,61,65,39,51,20,858,79,167,89,61,47,46,16,40,13,565,100,130,57,82,78,37,22,46,7,562,107,113,63,79,107,44,37,59,9,628,43,56,16,19,34,15,12,14,7,216,6,0,0,4,0,3,0,3,3,20,0,0,0,0,0,0,0,0,0,9,450,775,420,503,368,275,134,267,67,3255
SAL30681,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,7,3,0,0,0,3,0,0,0,16,3,0,5,0,3,0,4,0,0,15,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,7,0,7,5,4,0,0,52
SAL30682,0,0,0,0,0,0,0,3,0,3,0,0,8,0,0,3,0,0,0,10,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,3,4,0,12,7,7,0,0,0,3,5,5,0,22,4,0,6,5,0,0,7,0,0,13,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,11,11,4,4,3,12,15,0,85
SAL30683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL30684,3,0,11,6,0,11,3,18,0,54,0,0,5,4,0,7,4,3,0,30,3,8,18,12,3,11,7,19,0,78,12,15,17,21,12,7,6,27,3,124,9,15,19,23,14,29,25,23,0,163,9,17,31,18,33,22,9,25,0,172,11,9,6,0,12,9,12,5,0,55,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4,55,65,95,87,74,97,69,128,17,684
SAL30685,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,5,9,5,3,5,0,0,0,0,27,3,5,6,0,9,0,0,4,0,25,0,3,0,6,5,0,5,7,0,22,4,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11,21,17,13,20,7,11,17,0,110
SAL30686,0,0,38,68,11,89,7,67,3,287,13,24,65,68,28,32,9,37,3,290,59,181,136,126,67,53,14,71,14,720,139,286,178,96,104,50,38,78,23,995,174,260,174,125,133,75,45,78,23,1086,113,178,123,97,124,74,41,61,9,828,35,40,18,10,36,20,24,19,3,205,5,3,3,0,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,538,973,737,593,506,403,181,413,79,4414
SAL30687,6,0,15,39,4,75,6,35,6,191,8,38,42,55,37,46,14,36,6,290,60,142,162,106,85,66,37,71,17,752,96,158,141,125,140,64,57,78,23,882,101,130,122,119,119,77,67,100,25,850,80,107,113,103,120,91,59,95,18,792,30,42,35,33,54,36,21,31,5,283,5,3,0,5,3,9,8,4,3,35,0,0,0,0,0,0,0,0,0,0,397,614,630,588,565,455,265,448,93,4072
SAL30688,13,10,75,96,36,255,27,145,14,664,46,113,194,194,117,200,69,141,34,1111,294,518,436,378,341,271,172,261,75,2742,357,419,349,282,290,179,141,184,52,2252,338,352,226,224,264,161,121,160,44,1885,147,145,119,115,131,78,91,96,17,939,26,26,12,16,29,21,13,19,6,173,0,0,0,0,6,0,3,6,0,11,0,0,0,0,0,0,0,0,0,0,1218,1586,1408,1304,1210,1167,640,1013,244,9781
SAL30689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,14
