SAL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SAL13966,0,8,8,7,0,11,5,0,5,6,0,6,3,0,9,5,0,5,26,14,39
SAL13967,0,18,18,13,6,16,3,0,3,4,0,4,0,0,0,0,0,0,19,26,45
SAL13968,5,103,115,100,15,116,70,4,71,45,3,46,21,0,25,4,0,4,257,127,382
SAL13969,3,137,147,140,27,168,79,13,91,61,0,62,28,0,28,19,0,19,332,176,511
SAL13970,0,4,5,9,0,9,3,0,3,0,0,3,5,0,5,3,0,3,26,11,30
SAL13971,0,3,3,16,0,16,4,0,4,0,0,0,0,0,0,3,0,3,21,3,25
SAL13972,0,48,51,39,6,44,14,0,15,16,0,16,6,0,13,3,0,5,80,66,149
SAL13973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13974,3,14,18,29,12,39,17,0,18,7,0,7,3,0,3,13,0,13,74,23,100
SAL13975,0,35,35,31,10,38,10,3,12,11,0,13,6,0,5,6,0,6,62,44,108
SAL13976,11,75,92,199,9,210,118,0,118,131,7,135,57,0,58,14,4,21,539,96,634
SAL13977,0,6,6,6,0,7,0,0,0,0,6,11,0,4,4,0,0,0,9,14,21
SAL13978,0,11,14,15,6,19,5,0,7,5,0,5,0,0,3,0,0,0,28,16,45
SAL13979,9,254,268,288,30,322,88,10,98,70,7,73,42,0,43,17,0,17,524,308,829
SAL13980,12,408,420,674,65,733,263,13,285,295,7,303,151,3,151,82,7,85,1478,505,1985
SAL13981,0,14,13,25,7,28,15,0,17,10,0,11,3,0,3,4,0,0,60,22,78
SAL13982,4,29,42,51,11,61,18,11,28,20,0,20,10,3,10,7,0,9,119,53,170
SAL13983,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,9,0,8
SAL13984,52,879,930,827,122,947,347,37,385,300,23,324,123,6,130,69,6,75,1720,1074,2795
SAL13985,0,3,3,4,3,9,4,0,4,4,0,4,5,0,5,0,0,0,15,13,27
SAL13986,0,7,7,8,3,13,3,0,3,0,0,0,0,0,0,0,0,0,13,4,20
SAL13987,40,1229,1267,1107,198,1296,262,23,281,179,13,190,77,0,79,40,0,40,1697,1463,3162
SAL13988,0,3,3,5,3,11,0,0,0,0,0,0,0,0,0,0,0,0,7,10,20
SAL13989,0,32,40,22,6,28,9,0,9,11,0,8,6,4,6,0,0,0,49,51,92
SAL13990,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9
SAL13991,19,404,425,650,62,706,160,9,169,115,6,118,51,4,53,27,0,27,1022,487,1507
SAL13992,0,19,19,7,6,20,3,0,3,5,0,5,6,0,6,0,0,0,19,22,47
SAL13993,0,14,12,18,0,23,9,0,9,4,0,9,3,0,3,0,0,0,36,16,55
SAL13994,0,10,9,16,0,16,17,3,15,8,0,4,3,0,3,4,0,4,45,12,59
SAL13995,0,10,11,15,3,17,4,0,3,0,0,0,0,0,0,0,0,6,22,14,34
SAL13996,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9
SAL13997,13,388,400,521,97,620,84,22,101,57,0,63,26,0,26,9,0,11,707,507,1215
SAL13998,46,778,824,1282,91,1374,829,25,853,919,11,925,380,3,381,130,8,133,3575,913,4492
SAL13999,0,0,0,14,0,15,7,0,5,7,0,7,0,0,0,0,0,0,29,0,29
SAL14000,10,167,173,229,66,293,136,26,166,122,12,130,68,10,77,73,7,77,632,274,909
SAL14001,14,384,394,423,68,488,185,28,214,171,10,179,75,3,80,55,4,53,932,484,1409
SAL14002,64,1761,1825,1431,397,1832,409,85,497,291,27,318,98,13,109,44,3,54,2338,2289,4630
SAL14003,40,1350,1394,1067,375,1448,401,42,448,284,21,309,124,14,138,63,5,70,1983,1810,3799
SAL14004,42,1004,1047,806,195,1004,341,54,394,237,20,259,89,9,96,39,0,42,1557,1283,2838
SAL14005,0,3,3,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,9,3,15
SAL14006,0,43,47,13,11,28,12,0,9,0,0,6,4,3,6,0,0,0,33,56,90
SAL14007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL14008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL14009,0,3,3,3,0,3,3,3,3,0,0,4,0,0,0,0,0,0,5,12,16
SAL14010,0,6,6,8,0,9,3,0,3,4,0,8,0,0,0,0,0,0,15,10,18
SAL14011,0,18,14,7,0,17,10,4,11,8,6,11,3,3,4,3,4,11,29,32,64
SAL14012,0,53,53,51,19,68,25,10,33,25,5,26,5,0,5,9,0,9,119,87,204
SAL14013,0,14,18,23,5,32,6,0,6,6,0,6,6,0,6,3,0,3,41,22,62
SAL14014,0,3,3,13,0,13,7,0,13,8,3,10,0,0,0,0,0,0,31,10,39
SAL14015,0,24,24,29,4,33,12,3,19,7,0,7,3,0,3,0,0,0,57,27,84
SAL14016,0,12,11,12,5,14,9,0,6,7,0,7,0,0,0,0,0,0,28,15,40
SAL14017,0,3,3,7,3,8,0,0,5,0,0,0,0,0,0,0,0,0,12,7,19
SAL14018,3,73,68,67,29,100,33,6,41,29,6,40,9,0,12,9,0,14,156,117,276
SAL14019,0,18,18,27,7,36,10,0,10,3,0,4,9,0,9,0,0,0,46,23,71
SAL14020,0,6,6,7,0,7,0,0,3,3,0,6,4,0,4,0,0,0,11,14,24
SAL14021,37,1005,1048,1097,160,1255,371,35,405,293,24,313,133,8,139,68,4,75,1994,1247,3242
SAL14022,6,84,86,114,19,128,30,3,35,25,0,25,16,0,18,13,0,13,200,99,303
SAL14023,0,30,33,30,12,38,7,5,15,13,0,13,5,0,5,0,0,0,52,42,100
