SAL_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
SAL13714,223,147,370,115,117,230,3,0,3,58,45,100,20,16,39,593,296,883,30,57,90,7,0,7,61,12,69,126,30,156,19,21,38,705,390,1098,1954,1135,3091,60,33,98,0,0,0,11,3,16,5,0,8,0,0,4,14,0,9,90,45,130,0,0,0,14,0,17,0,0,0,0,0,0,3,4,11,23,8,27,21,7,30,130,61,190,15,13,33,5,7,9,5,0,5,25,23,47,3217,2351,5573,466,469,939,10,18,29,5804,4053,9866
SAL13715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,343,748,25,27,54,20,0,20,3,0,3,3,0,4,4,3,3,14,18,28,480,391,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,7,5,9,0,0,0,0,0,0,0,0,0,0,0,0,50,82,136,54,76,132,6,0,9,596,553,1150
SAL13716,183,130,312,4,11,17,0,0,0,0,0,0,5,9,9,1349,904,2247,54,63,117,19,0,19,8,4,13,7,0,11,9,10,22,49,89,140,1686,1221,2908,22,17,39,0,0,0,6,5,14,4,5,10,0,3,4,5,5,10,41,35,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,52,34,84,4,3,8,0,0,0,0,0,0,4,3,8,1138,1393,2537,319,518,840,7,12,17,3205,3193,6397
SAL13717,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,298,252,552,15,10,23,16,0,16,5,0,5,4,0,0,4,4,4,8,11,17,358,275,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,3,7,0,0,0,0,0,5,0,0,0,0,0,5,52,72,126,29,52,78,0,0,0,443,396,842
SAL13718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,55,125,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,8,4,6,81,65,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,40,87,10,16,20,4,3,6,141,116,260
SAL13719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,32,62,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,46,31,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,26,11,4,11,0,0,0,65,58,124
SAL13720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,43,102,6,4,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,61,52,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,25,4,12,22,0,0,0,83,76,155
SAL13721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,27,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,4,20,17,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,0,4,0,0,0,21,20,41
SAL13722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,10,22
SAL13723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,9
SAL13724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,31,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,0,6,6,0,0,0,31,17,45
SAL13725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13726,0,0,0,9,4,15,0,0,0,0,0,0,0,0,0,597,442,1039,22,27,53,18,0,18,3,0,6,6,3,6,3,5,3,15,19,32,678,505,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,5,7,7,8,10,14,0,0,0,0,0,0,0,0,0,0,0,0,101,197,301,115,183,292,7,5,13,905,895,1801
SAL13727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,69,156,5,3,12,3,0,3,0,0,0,6,0,5,0,0,0,0,0,0,101,72,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,43,71,18,25,42,0,0,4,151,144,296
SAL13728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,12,10,19
SAL13729,33,19,56,9,0,9,0,0,0,0,0,0,0,0,3,99,52,147,0,11,12,4,0,4,7,0,6,3,0,7,3,0,4,15,7,22,175,92,268,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,13,0,0,0,0,0,0,0,0,0,0,0,0,117,136,244,55,42,95,0,0,0,345,282,623
SAL13730,388,365,761,255,261,518,0,0,6,54,65,117,10,18,27,549,195,743,31,76,108,9,0,9,67,12,71,103,26,125,75,37,109,977,777,1751,2525,1824,4349,121,135,259,4,0,4,9,15,27,5,4,9,6,0,4,11,9,23,156,170,325,0,0,0,3,10,18,3,0,3,0,4,4,5,10,13,15,23,39,19,9,28,186,203,393,34,23,63,0,4,6,0,0,0,39,30,70,2258,1733,3990,699,728,1429,31,29,63,5744,4541,10290
