SAL_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SAL11076,136,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,381,8,..,149,381
SAL11077,30,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,61,6,..,33,61
SAL11078,16,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,44,0,..,16,44
SAL11079,21,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,46,0,..,21,46
SAL11080,2088,4701,384,528,0,0,384,528,4,4,0,0,0,0,0,0,0,0,3,8,0,3,25,34,3,3,11,18,37,56,14,31,2538,5326,330,..,2868,5326
SAL11081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL11082,1712,4579,204,339,373,756,574,1101,320,569,153,250,139,221,0,0,16,20,622,1061,0,0,0,0,0,0,23,46,23,46,5,10,2940,6804,167,..,3108,6804
SAL11083,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,..,3,3
SAL11084,14,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,18,..,38,31
SAL11085,37,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,88,3,..,42,88
SAL11086,46,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,51,99,7,..,58,99
SAL11087,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,10,..,18,25
SAL11088,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,5,..,22,26
SAL11089,21,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,41,0,..,21,41
SAL11090,39,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,100,6,..,43,100
SAL11091,11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,37,0,..,11,37
SAL11092,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,..,3,9
SAL11093,94,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,274,6,..,101,274
SAL11094,386,981,14,31,0,3,13,31,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,14,7,16,0,4,405,1032,17,..,426,1032
SAL11095,16,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,48,0,..,16,48
SAL11096,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,..,5,16
SAL11097,206,600,3,9,0,0,3,9,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,214,616,9,..,221,616
SAL11098,38,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,87,5,..,43,87
SAL11099,3908,9237,265,364,29,46,293,406,97,133,9,17,0,0,0,0,7,4,107,154,25,35,15,27,3,3,11,14,49,82,14,27,4378,9904,444,..,4819,9904
SAL11100,29,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,79,4,..,33,79
SAL11101,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,..,6,15
SAL11102,118,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,6,120,331,18,..,137,331
SAL11103,81,266,0,3,9,20,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,6,5,5,15,96,307,67,..,164,307
SAL11104,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,5,..,11,24
SAL11105,4732,14169,221,536,343,918,570,1460,3,4,0,0,0,0,0,0,10,29,14,30,0,0,0,0,0,0,4,13,4,13,10,13,5325,15685,200,..,5531,15685
SAL11106,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,..,0,3
SAL11107,50,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,105,8,..,58,105
SAL11108,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,7,13,0,..,8,13
SAL11109,25,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,58,5,..,29,58
SAL11110,23,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,47,11,..,32,47
SAL11111,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,..,13,4
SAL11112,20,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,33,24,..,48,33
SAL11113,915,2623,158,439,424,1076,586,1516,646,1354,1201,2201,1299,2172,622,1141,7,11,3778,6881,0,0,0,0,0,0,10,17,10,17,5,3,5292,11047,611,..,5907,11047
SAL11114,144,435,4,5,71,172,67,181,181,351,431,785,165,312,70,113,16,32,865,1597,0,0,0,0,0,0,0,0,0,0,0,3,1077,2217,211,..,1290,2217
SAL11115,591,1430,44,76,18,33,62,108,45,68,15,24,0,0,0,0,0,0,56,87,42,70,11,21,0,0,0,0,53,93,10,15,767,1722,104,..,869,1722
SAL11116,994,2635,252,516,213,434,466,951,190,307,155,269,368,611,43,66,14,25,758,1280,0,0,0,0,0,0,3,14,3,14,4,13,2227,4890,195,..,2424,4890
SAL11117,687,1956,3,16,0,0,3,16,27,59,0,0,0,0,0,0,21,55,46,108,0,0,0,0,0,0,3,16,3,16,0,0,741,2096,79,..,822,2096
SAL11118,14,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,38,4,..,22,38
SAL11119,2122,6812,17,34,318,628,331,661,109,208,13,19,85,100,0,0,40,96,241,428,0,0,0,0,0,0,0,9,0,9,10,20,2712,7922,123,..,2836,7922
SAL11120,1684,5050,37,83,472,1067,517,1146,1527,2545,2699,4969,1313,2455,547,977,8,25,6098,10968,0,0,0,4,0,0,73,145,70,144,11,25,8381,17339,1024,..,9406,17339
SAL11121,19,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,58,0,..,19,58
SAL11122,72,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,173,10,..,82,173
SAL11123,35,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,39,90,25,..,65,90
SAL11124,1120,2514,46,58,6,11,52,65,8,12,0,0,0,0,0,0,0,0,8,12,4,6,0,0,0,0,4,12,3,17,4,7,1181,2619,163,..,1348,2619
SAL11125,36,105,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,104,7,..,44,104
SAL11126,36,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,5,0,42,110,12,..,51,110
SAL11127,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,..,3,18
SAL11128,217,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,220,624,14,..,230,624
SAL11129,214,598,8,22,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,627,9,..,236,627
SAL11130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,3,11,0,0,3,15,0,..,3,15
SAL11131,42,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,4,0,0,40,90,39,..,80,90
SAL11132,275,718,365,838,280,662,641,1499,309,597,571,929,432,745,198,339,0,0,1515,2617,0,0,0,0,0,0,28,59,28,59,3,8,2470,4900,294,..,2762,4900
SAL11133,32,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,78,15,..,44,78
SAL11134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL11135,2074,6355,327,840,321,964,653,1807,351,695,198,406,350,652,112,228,16,35,1032,2017,0,0,0,0,0,0,32,69,32,69,8,8,3800,10251,226,..,4028,10251
SAL11136,1941,5860,321,838,815,2331,1139,3176,593,1007,293,537,99,171,0,0,12,30,994,1745,0,0,0,0,0,0,19,42,22,43,7,3,4095,10827,294,..,4391,10827
SAL11137,26,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,61,14,..,39,61
SAL11138,16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,12,..,28,37
SAL11139,97,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,3,0,0,105,266,3,..,105,266
SAL11140,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,7,..,10,26
SAL11141,225,559,0,6,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3,0,3,5,0,8,0,0,6,3,3,11,0,0,237,577,25,..,258,577
SAL11142,18,54,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,6,12,0,0,31,71,0,..,36,71
SAL11143,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,0,..,10,36
SAL11144,267,809,28,77,26,63,54,142,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,327,954,12,..,342,954
SAL11145,124,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,338,12,..,128,338
SAL11146,111,243,0,0,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,25,28,0,0,0,0,0,5,25,31,0,0,139,278,104,..,249,278
SAL11147,1220,2757,95,152,31,45,125,200,15,27,0,0,0,0,0,0,6,4,23,33,0,0,0,3,0,0,12,26,15,33,0,5,1380,3023,880,..,2262,3023
SAL11148,560,1403,16,18,0,0,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,5,14,0,4,586,1445,69,..,655,1445
SAL11149,61,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,65,155,4,..,69,155
SAL11150,17,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,51,0,..,14,51
SAL11151,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,11,..,18,10
SAL11152,17,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,44,0,..,15,44
SAL11153,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,..,4,10
SAL11154,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,5,..,12,21
SAL11155,691,2081,31,77,10,32,42,112,5,11,0,0,0,0,0,0,0,0,5,11,5,0,0,0,0,0,0,3,7,7,0,0,742,2210,26,..,771,2210
SAL11156,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,3,..,5,22
SAL11157,70,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,211,5,..,75,211
SAL11158,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,..,4,3
SAL11159,48,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,147,0,0,85,147,0,0,141,226,12,..,149,226
SAL11160,196,478,0,6,0,12,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,198,488,38,..,233,488
SAL11161,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,..,11,12
SAL11162,720,1838,17,20,5,0,12,23,6,10,0,0,0,0,0,0,3,3,8,12,0,0,29,39,0,0,3,7,30,49,9,6,777,1932,43,..,823,1932
SAL11163,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,11,34,3,..,18,34
SAL11164,68,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,136,103,..,171,136
SAL11165,72,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,168,16,..,84,168
SAL11166,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,4,..,14,25
SAL11167,57,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,55,134,10,..,69,134
SAL11168,582,1913,10,14,52,112,59,130,40,80,62,137,13,25,0,0,3,9,127,252,0,0,0,0,0,0,5,11,5,11,0,3,772,2309,57,..,821,2309
SAL11169,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,..,4,20
SAL11170,299,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,768,43,..,343,768
SAL11171,179,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,3,0,0,11,12,0,11,197,492,18,..,215,492
SAL11172,21,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,47,0,..,26,47
SAL11173,130,332,6,14,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,346,27,..,158,346
SAL11174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL11175,70,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,218,6,..,82,218
SAL11176,1730,5291,30,74,46,107,77,181,0,0,0,0,22,29,0,0,5,5,23,43,0,0,0,0,0,0,0,0,0,0,0,0,1836,5511,52,..,1887,5511
SAL11177,241,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,4,13,0,0,0,0,4,13,0,0,248,509,309,..,556,509
SAL11178,62,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,159,0,..,72,159
SAL11179,75,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,201,15,..,85,201
SAL11180,24,63,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,62,32,..,58,62
SAL11181,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,..,8,7
SAL11182,32,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,70,9,..,38,70
SAL11183,14,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,0,..,12,34
SAL11184,29,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,60,7,..,42,60
SAL11185,13,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,49,3,..,20,49
SAL11186,91,237,214,414,192,326,402,736,40,47,31,45,0,0,0,0,0,0,65,92,0,0,0,0,0,0,0,5,0,5,0,0,566,1067,59,..,626,1067
SAL11187,24,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,51,15,..,33,51
SAL11188,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,0,..,6,20
SAL11189,75,187,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,74,189,7,..,83,189
SAL11190,231,548,4,5,21,23,25,35,78,105,0,0,0,0,0,0,0,0,78,105,0,0,0,0,0,0,0,0,0,0,0,0,327,695,75,..,401,695
SAL11191,108,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,9,0,0,0,0,10,7,0,0,113,272,55,..,165,272
SAL11192,838,1855,8,15,6,10,14,26,81,129,0,0,0,0,0,0,0,0,81,129,14,22,0,0,0,0,0,0,14,22,0,0,943,2036,246,..,1190,2036
SAL11193,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,..,0,4
SAL11194,21,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,51,0,..,26,51
SAL11195,85,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,89,225,14,..,101,225
SAL11196,86,216,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,221,4,..,89,221
SAL11197,29,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,106,4,..,34,106
SAL11198,14,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,0,..,14,31
SAL11199,27,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,76,9,..,39,76
SAL11200,144,310,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,315,60,..,207,315
SAL11201,44,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,115,0,..,47,115
SAL11202,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,..,3,9
SAL11203,3648,9688,360,566,184,363,545,931,79,119,0,0,0,0,0,0,19,51,98,168,0,0,0,0,0,0,0,10,6,13,8,21,4309,10822,175,..,4482,10822
SAL11204,142,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,34,49,0,0,0,0,36,53,7,3,179,460,9,..,192,460
SAL11205,24,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,66,3,..,26,66
SAL11206,113,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,253,23,..,134,253
SAL11207,165,393,34,51,0,0,34,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,449,40,..,244,449
SAL11208,48,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,84,10,..,52,84
SAL11209,23,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,46,8,..,33,46
SAL11210,26,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,90,0,..,32,90
SAL11211,109,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,105,240,47,..,149,240
SAL11212,128,363,3,8,123,275,121,288,117,270,286,578,622,1129,672,1135,0,3,1696,3113,0,0,0,0,0,0,0,0,0,0,11,20,1955,3771,497,..,2454,3771
SAL11213,52,126,354,737,773,1782,1124,2523,611,929,694,992,1595,2432,1619,2489,10,20,4519,6858,0,0,0,0,9,10,16,28,19,35,21,39,5743,9581,1125,..,6865,9581
SAL11214,121,301,28,48,18,36,46,81,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,162,390,3,..,169,390
SAL11215,32,84,36,84,607,1465,639,1547,11,16,105,168,42,71,33,50,4,6,193,312,0,0,0,0,0,0,4,15,4,15,5,4,881,1964,206,..,1088,1964
SAL11216,434,989,4,4,0,0,4,4,14,22,0,0,0,0,0,0,0,0,14,22,0,0,3,3,0,0,0,0,0,5,3,9,460,1029,42,..,508,1029
SAL11217,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,4,..,12,24
SAL11218,33,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,88,8,..,40,88
SAL11219,39,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,110,8,..,47,110
SAL11220,266,758,0,6,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,272,765,9,..,280,765
SAL11221,854,2647,0,5,6,13,4,25,0,5,0,0,0,0,0,0,8,9,4,15,0,0,0,0,0,0,0,0,0,0,0,0,870,2685,17,..,890,2685
SAL11222,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,40,0,..,17,40
SAL11223,784,2137,50,84,43,75,98,159,156,214,29,44,0,0,0,0,4,13,188,269,0,0,0,0,0,0,0,0,0,0,0,3,1063,2574,113,..,1181,2574
SAL11224,4,25,0,0,52,128,58,133,0,0,0,0,117,223,0,0,0,0,117,223,0,0,0,0,0,0,0,3,0,3,0,0,183,383,91,..,273,383
SAL11225,41,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,82,13,..,57,82
SAL11226,982,2922,19,23,22,61,41,87,0,0,0,0,0,0,0,0,12,32,14,30,0,0,0,0,0,0,0,0,0,0,0,4,1040,3043,42,..,1079,3043
SAL11227,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,34,5,..,16,34
SAL11228,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,..,4,5
SAL11229,1559,5061,20,76,231,610,255,685,676,1350,4221,8926,2822,5750,585,1197,29,79,8333,17300,0,0,0,0,4,5,32,84,31,85,16,25,10190,23153,812,..,11001,23153
SAL11230,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,..,4,12
SAL11231,41,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,103,7,..,45,103
SAL11232,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,5,..,7,19
SAL11233,218,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,4,224,448,53,..,277,448
SAL11234,58,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,134,16,..,76,134
