SAL_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SAL10035,3,3,4,4,3,3,0,15,4,6,9,3,0,0,0,26,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,4,16,22,15,11,14,4,0,95
SAL10036,149,330,154,79,92,13,0,810,88,212,112,65,127,23,0,629,54,128,67,45,142,39,0,479,29,37,17,4,80,95,0,274,1179,1857,894,473,1059,225,11,5689
SAL10037,5,10,0,0,0,0,0,12,0,4,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,6,7,7,0,0,64
SAL10038,96,187,93,73,173,22,3,647,49,113,61,44,167,19,5,467,24,55,25,22,86,12,0,222,12,18,9,3,41,5,0,79,792,1137,466,363,1617,222,18,4612
SAL10039,0,0,0,4,7,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,3,9,10,0,0,40
SAL10040,4,8,6,4,4,3,0,34,3,3,10,3,3,3,0,29,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,16,30,22,26,23,18,0,128
SAL10041,3,7,3,6,3,0,0,24,0,5,10,5,8,7,0,28,0,0,4,8,3,0,0,13,0,0,0,4,0,0,0,4,21,34,27,19,28,17,0,145
SAL10042,0,3,3,3,3,0,0,16,3,4,5,4,3,0,0,18,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,7,12,5,11,15,0,0,45
SAL10043,4,4,0,0,3,5,0,17,0,3,0,0,0,5,0,3,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,12,16,0,0,4,7,0,49
SAL10044,3,16,4,4,4,0,0,31,3,9,0,4,0,0,0,20,3,8,3,0,0,0,0,11,0,0,0,0,0,0,0,0,44,44,18,10,12,0,0,136
SAL10045,19,44,15,16,5,3,0,101,4,18,16,10,8,0,0,56,4,5,5,7,4,0,0,26,4,3,0,0,0,0,0,6,62,132,68,41,44,14,0,363
SAL10046,142,278,153,76,128,17,0,790,95,237,169,135,192,28,0,852,78,147,105,77,211,45,0,658,36,59,33,18,149,51,0,348,940,1401,767,516,1051,266,0,4940
SAL10047,0,0,0,4,0,0,0,12,0,0,0,0,5,0,0,9,0,3,0,0,3,0,0,9,0,0,0,0,4,0,0,7,12,12,12,13,17,3,0,70
SAL10048,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,5,6,6,0,30
SAL10049,115,226,103,106,284,42,6,877,76,131,85,91,223,45,0,659,29,36,27,17,109,14,6,240,8,8,4,0,26,3,0,44,874,1215,547,599,1859,425,6,5527
SAL10050,7,0,0,0,0,4,0,11,0,0,0,3,0,6,0,14,0,0,5,0,3,4,0,11,0,0,0,0,0,0,0,0,3,9,5,8,3,14,0,39
SAL10051,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL10052,5,5,0,7,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,13,3,7,13,0,0,34
SAL10053,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,13,9,11,3,8,4,0,44
SAL10054,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,6,0,14,0,0,38
SAL10055,0,3,0,0,0,0,0,12,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,11,4,7,3,0,49
SAL10056,0,13,10,3,5,4,0,28,10,4,6,7,3,0,0,33,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,29,42,23,17,19,7,0,137
SAL10057,0,0,0,0,0,0,0,6,0,0,3,0,4,0,0,7,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,12,5,3,4,6,0,41
SAL10058,4,4,0,4,0,0,0,18,0,11,3,3,4,4,0,25,0,3,0,0,9,3,0,17,0,0,0,0,0,0,0,3,12,20,8,13,28,14,0,95
SAL10059,7,12,9,0,5,0,0,32,7,20,14,8,7,0,0,58,0,3,6,0,0,0,0,10,0,0,4,0,0,0,0,8,27,68,36,20,23,0,0,175
SAL10060,5,15,10,8,17,8,0,59,9,10,8,5,6,0,0,45,5,5,0,0,9,9,0,20,0,0,0,0,3,0,0,3,52,73,38,45,87,36,0,327
SAL10061,112,225,91,62,112,26,0,639,89,171,115,122,177,37,0,710,64,108,64,53,174,45,0,504,8,19,4,3,35,14,4,84,631,963,466,392,855,201,4,3518
SAL10062,202,434,165,61,112,60,0,1042,112,286,132,65,150,45,0,799,45,101,43,20,118,20,0,343,16,20,10,3,75,8,0,128,1784,2920,1016,480,1154,445,15,7816
SAL10063,25,65,41,43,28,4,0,208,16,36,36,28,32,3,0,146,14,11,16,19,35,0,0,97,5,8,6,0,13,0,0,27,256,319,179,166,264,31,0,1221
SAL10064,45,110,32,44,65,15,0,318,30,50,28,25,61,14,0,198,16,21,16,13,30,8,0,93,5,0,0,0,14,0,0,23,445,678,297,283,534,105,5,2354
SAL10065,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,11,5,7,13,3,0,37
SAL10066,0,6,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,3,7,0,0,30
SAL10067,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,12
SAL10068,0,9,4,0,0,3,0,19,6,0,4,5,3,4,0,23,0,4,0,0,6,0,0,9,0,0,0,0,0,0,0,0,13,27,7,15,14,12,0,92
SAL10069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,9,5,0,14
SAL10070,15,46,26,18,16,9,0,125,11,34,23,15,27,11,0,117,4,12,11,7,4,0,0,38,6,0,3,0,11,4,0,17,72,147,78,47,75,26,0,449
SAL10071,6,16,14,5,4,0,0,49,0,13,5,7,7,0,0,33,4,10,0,5,4,0,0,18,0,0,0,4,0,0,0,4,25,73,32,24,20,6,0,183
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10073,29,83,45,22,26,8,0,208,22,53,32,30,27,6,0,170,14,33,19,15,26,3,0,114,3,9,0,0,11,0,0,27,243,388,196,149,181,52,6,1211
SAL10074,35,83,30,32,33,6,0,214,12,45,42,26,32,12,0,162,11,26,19,6,29,0,0,90,7,4,4,0,10,0,0,27,209,370,160,121,229,43,0,1132
SAL10075,0,3,0,0,3,5,0,20,6,0,0,3,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,7,12,15,0,52
SAL10076,5,6,5,0,0,4,0,27,7,10,9,13,0,0,0,38,4,0,0,4,4,3,0,12,5,0,0,0,0,0,0,7,43,41,21,25,23,6,0,163
SAL10077,5,23,20,8,29,3,0,89,8,15,15,8,32,7,0,79,8,5,0,4,25,5,0,48,4,3,0,3,10,0,0,16,52,102,51,42,113,23,0,389
SAL10078,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,12
SAL10079,28,55,21,13,53,9,0,177,24,32,22,16,47,7,0,150,12,19,6,6,18,17,0,75,3,9,0,0,17,0,0,30,221,286,126,98,337,51,0,1117
SAL10080,9,12,4,4,9,8,0,40,4,7,10,8,7,5,0,35,0,0,3,3,5,4,0,17,0,0,0,0,0,0,0,0,31,40,25,30,29,22,0,169
SAL10081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,7
SAL10082,10,14,7,7,8,3,0,57,18,17,14,18,26,8,0,100,8,4,4,9,5,5,0,33,8,3,0,0,3,0,0,14,67,81,48,64,59,30,0,359
SAL10083,0,0,0,0,3,0,0,4,0,3,6,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,0,7,0,0,31
SAL10084,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,8,0,16
SAL10085,4,12,4,3,5,8,0,36,3,4,0,0,7,0,0,24,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,24,33,18,10,33,21,0,140
SAL10086,449,964,444,181,502,186,5,2733,290,684,379,231,442,133,7,2167,184,344,205,183,421,173,0,1512,65,109,57,29,215,113,0,592,3679,5606,2409,1409,4301,2178,41,19624
SAL10087,145,255,147,98,348,92,3,1087,94,186,94,65,259,67,9,777,73,88,45,44,184,81,3,508,29,29,8,9,92,65,0,238,1821,2302,929,682,3334,1006,43,10111
SAL10088,4,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,3,0,22
SAL10089,16,24,22,11,28,12,0,111,25,60,31,28,45,18,0,201,15,37,18,15,43,11,0,140,3,4,5,0,17,5,0,31,102,164,85,63,241,63,26,736
SAL10090,19,39,20,4,7,0,0,83,19,29,17,8,24,3,0,106,0,3,6,0,11,4,0,31,0,5,0,4,7,3,0,13,113,169,71,45,91,15,7,504
SAL10091,153,290,177,74,137,23,3,847,100,202,113,61,177,25,8,687,59,94,53,30,94,12,3,341,29,26,21,8,59,9,0,150,1685,2231,1001,559,1661,294,24,7458
SAL10092,4,0,0,0,3,0,0,7,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,12,4,3,6,3,0,38
SAL10093,6,3,0,0,3,4,0,16,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,3,0,15,12,0,48
SAL10094,73,176,82,63,79,18,0,494,46,97,65,48,99,14,0,363,36,53,24,12,85,0,0,211,14,7,7,3,31,0,0,66,563,805,408,252,643,76,10,2751
SAL10095,6,19,16,7,10,4,0,61,0,24,13,18,18,5,0,81,0,7,14,10,4,0,0,42,0,0,0,0,0,0,0,4,23,88,51,46,45,24,0,273
SAL10096,8,19,20,13,18,4,0,77,0,14,16,6,13,4,0,52,0,7,3,0,0,0,0,8,0,3,0,0,0,0,0,3,32,69,56,31,43,22,0,254
SAL10097,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,7,0,4,5,0,0,19
SAL10098,51,75,45,45,168,44,3,426,28,27,27,20,96,36,0,236,17,14,10,16,61,14,0,127,8,5,0,0,29,0,0,47,374,353,195,258,1244,324,4,2754
SAL10099,349,690,343,195,665,121,16,2376,260,435,237,175,628,85,16,1835,152,239,137,100,548,65,0,1236,75,71,35,10,596,29,0,815,3906,5531,2027,1262,6534,968,66,20300
SAL10100,16,24,17,15,34,8,0,122,14,20,9,19,37,6,0,110,6,9,9,6,35,3,0,75,4,3,0,0,18,0,0,24,67,117,64,67,203,48,0,575
SAL10101,12,10,3,0,17,10,0,55,3,5,0,3,3,3,0,24,0,3,0,0,3,9,0,13,0,0,0,0,0,0,0,0,54,58,23,31,50,48,0,260
SAL10102,53,99,44,28,172,29,0,420,39,71,50,32,167,24,0,389,18,29,17,12,80,15,0,177,13,3,0,0,73,10,0,106,459,606,289,210,1091,300,7,2962
SAL10103,109,221,99,48,102,16,0,599,44,115,98,59,86,17,0,418,19,46,22,35,60,23,0,208,7,5,5,0,34,10,0,74,790,1097,522,345,799,125,9,3684
SAL10104,100,176,114,40,109,10,3,548,64,126,93,56,97,7,9,447,23,54,37,30,54,3,0,209,9,16,7,5,23,4,0,66,939,1436,717,444,1133,129,20,4819
SAL10105,0,0,0,0,0,0,0,6,0,5,0,3,3,0,0,14,0,5,0,0,6,0,0,12,0,0,0,0,0,0,0,0,10,19,3,11,9,3,0,56
SAL10106,16,21,13,8,14,4,0,72,0,7,23,8,27,3,0,79,0,11,6,0,10,3,0,25,0,0,0,0,5,0,0,5,81,109,68,45,110,29,0,438
SAL10107,455,618,356,357,1513,353,13,3660,259,394,260,222,921,235,7,2292,155,201,94,60,547,154,4,1214,45,30,21,15,300,117,0,531,4257,4735,2177,2411,15352,3492,128,32558
SAL10108,5,8,6,7,0,0,0,18,0,0,0,4,0,4,0,12,0,5,0,0,3,0,0,10,0,0,0,0,3,0,0,3,18,23,17,19,12,0,0,93
SAL10109,44,171,104,40,32,4,0,400,38,123,92,30,36,0,0,319,18,38,25,13,35,5,0,137,10,11,3,7,17,0,0,36,438,765,429,219,270,32,3,2162
SAL10110,63,97,52,50,162,35,14,460,39,52,31,45,124,37,3,327,24,18,18,17,69,74,0,223,13,0,3,3,25,114,0,158,748,1054,504,545,1726,538,19,5133
SAL10111,4,7,3,3,3,0,0,26,0,3,0,5,6,0,0,17,0,3,3,0,10,0,0,15,0,0,4,0,5,0,0,3,20,29,19,21,27,13,0,133
SAL10112,267,679,305,128,151,32,0,1574,164,480,264,146,177,25,0,1268,93,177,135,75,130,30,0,640,42,52,35,10,91,63,3,297,1814,2746,1319,813,1293,301,28,8309
SAL10113,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,5,10,0,3,0,35
SAL10114,4,16,13,3,0,4,0,42,5,16,7,6,0,3,0,32,0,4,5,0,4,3,0,18,0,0,0,0,0,0,0,0,39,60,30,22,26,14,0,186
SAL10115,104,251,119,78,81,17,0,648,62,145,136,81,95,15,3,540,38,70,56,29,68,7,0,266,15,11,7,0,20,4,0,53,801,1201,636,410,580,120,10,3758
SAL10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10117,45,74,43,28,61,9,0,261,24,38,32,25,58,15,0,191,8,18,7,14,36,0,0,93,3,0,3,0,6,0,0,15,244,388,184,148,350,61,0,1375
SAL10118,6,14,0,7,3,0,0,28,4,3,5,5,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,46,21,17,11,3,0,132
SAL10119,6,17,11,8,17,0,0,66,0,5,8,8,9,0,0,37,5,0,0,3,3,0,0,18,0,0,0,4,5,0,0,9,59,88,52,39,78,11,0,331
SAL10120,5,19,9,5,6,0,0,42,5,3,3,0,3,0,0,23,6,0,0,4,4,0,0,11,0,0,0,0,4,0,0,4,29,64,18,15,36,4,0,170
SAL10121,4,13,6,0,7,0,0,31,5,3,3,4,5,5,0,22,0,0,0,0,0,3,0,11,0,0,0,0,3,0,0,3,20,30,13,13,34,24,0,134
SAL10122,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,13
SAL10123,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
SAL10124,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,4,3,4,0,36
SAL10125,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,13
SAL10126,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,8,0,0,6,6,0,21
SAL10127,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7
SAL10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7
SAL10129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,4,3,3,0,17
SAL10130,3,8,5,6,0,3,0,28,3,4,5,3,0,0,0,11,0,5,0,0,0,5,0,12,0,0,0,0,0,0,0,0,14,28,18,8,11,6,0,86
SAL10131,4,4,0,3,0,0,0,16,3,6,5,3,5,0,0,25,0,0,3,4,0,3,0,8,0,0,0,0,0,0,0,4,23,33,21,16,26,12,0,130
SAL10132,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,4,0,18
SAL10133,0,3,0,0,0,0,0,15,0,10,0,4,13,6,0,29,3,0,0,0,6,6,0,14,0,0,0,0,0,0,0,6,16,29,3,18,42,22,0,134
SAL10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8
SAL10135,0,0,7,4,0,8,0,18,0,4,4,0,4,3,0,19,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,23,22,4,7,17,0,86
SAL10136,0,4,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,8,6,0,27
SAL10137,0,6,0,0,0,0,0,11,3,0,4,7,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,7,7,8,0,4,0,42
SAL10138,0,3,0,0,0,4,0,6,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,5,6,7,0,33
SAL10139,0,0,4,0,4,0,0,6,0,0,3,0,7,0,0,8,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,9,14,10,3,7,3,0,44
SAL10140,0,3,3,0,0,0,0,15,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,8,6,5,0,0,43
SAL10141,0,3,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,3,3,5,9,0,20
SAL10142,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12
SAL10143,9,3,4,0,0,0,0,19,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,14,7,0,14,0,0,60
SAL10144,10,24,14,5,10,0,0,61,9,16,9,11,10,0,0,61,0,13,4,6,8,3,0,36,0,6,0,0,4,0,0,11,72,149,63,46,100,18,0,443
SAL10145,6,12,4,3,4,0,0,36,0,8,5,5,3,0,0,15,0,4,5,4,0,0,0,10,0,0,3,0,4,0,0,5,19,41,19,15,10,12,0,108
