SAL_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
SAL13141,38,1603,1053,150,2083,0.7,1875,2.8
SAL13142,45,953,705,200,1825,0.8,1593,2.4
SAL13143,56,4000,1302,895,3327,0.7,3010,2.3
SAL13144,57,2075,521,320,1541,0.7,1416,2.4
SAL13145,54,2253,769,400,2178,0.7,2125,2.6
SAL13146,52,1733,762,350,1937,0.7,1199,2.4
SAL13147,52,1733,656,300,1694,0.9,1297,2.6
SAL13148,45,1753,374,0,1874,0.7,1333,2.2
SAL13149,38,1400,850,279,1812,1.2,1674,3.1
SAL13150,41,1517,687,200,1874,1.1,1041,2.5
SAL13151,53,1300,523,310,1423,0.8,1121,2.2
SAL13152,55,1733,834,370,2046,0.7,1407,2.1
SAL13153,51,1324,566,365,1528,0.8,1286,2.8
SAL13154,33,0,1291,0,2750,1.1,3499,3.3
SAL13155,38,2600,802,460,2331,0.9,2033,2.9
SAL13156,50,2500,850,0,1375,0.6,1312,2.4
SAL13157,33,0,914,275,2416,0.8,2250,3.1
SAL13158,45,1463,725,185,2042,0.9,1125,2.7
SAL13159,46,0,575,0,1125,1.5,2449,4.5
SAL13160,15,0,900,0,1749,1.1,1375,3.3
SAL13161,31,0,706,120,1437,0.8,1437,2.8
SAL13162,39,1300,738,260,1863,0.7,1406,2.4
SAL13163,51,2167,1008,175,2650,0.6,2062,2.5
SAL13164,35,2600,979,550,2814,0.9,2838,3.5
SAL13165,38,1733,815,270,2232,0.8,2029,2.6
SAL13166,53,1950,767,375,2083,0.8,1625,2.5
SAL13167,32,2080,1016,440,2314,1.2,2089,2.4
SAL13168,48,0,833,62,2049,0.8,2050,2.6
SAL13169,49,1400,843,413,2250,0.8,1833,2.1
SAL13170,42,2000,840,300,2225,0.8,1919,2.7
SAL13171,61,1859,794,390,1531,0.6,1166,1.8
SAL13172,60,0,1041,0,2250,0.9,1625,2
SAL13173,33,1671,728,345,1875,0.8,1689,2.9
SAL13174,61,1800,430,330,725,0.8,1625,2.3
SAL13175,36,2700,1112,130,3583,0.7,2750,2.5
SAL13176,60,500,524,465,900,0.9,949,2
SAL13177,48,808,510,187,1288,0.7,991,2.2
SAL13178,58,2500,966,0,2416,0.6,2062,2.2
SAL13179,41,2500,775,440,2269,0.9,1831,2.7
SAL13180,44,2865,869,427,2519,0.8,2091,2.9
SAL13181,42,2383,808,380,2333,0.9,2250,2.9
SAL13182,62,2575,959,488,2131,0.6,2034,2
SAL13183,43,2500,750,378,1781,1,1875,3.2
SAL13184,58,0,75,350,0,0.3,75,1
SAL13185,40,2167,1026,410,2625,0.8,2424,3
SAL13186,60,529,417,217,900,0.7,900,2
SAL13187,55,2167,634,300,1812,0.7,1541,2.2
SAL13188,38,1447,621,310,1612,0.8,1174,2.4
SAL13189,48,1785,704,370,1760,0.8,1452,2.5
SAL13190,33,1408,618,310,1687,0.9,1562,2.5
SAL13191,50,1665,677,330,1437,0.9,1406,2.7
SAL13192,37,2500,1100,570,2925,0.9,2754,3.2
SAL13193,37,2160,774,400,2121,1.1,1818,2.8
SAL13194,43,2700,954,500,2865,0.8,2429,2.8
SAL13195,35,1777,812,380,1850,0.8,1396,2.1
SAL13196,51,1600,610,390,1416,0.7,1147,2.2
SAL13197,38,2167,805,400,2090,1,1834,2.6
SAL13198,39,0,366,0,225,0.8,262,2.1
SAL13199,40,0,1230,403,5249,2,2999,4
SAL13200,30,0,1374,0,0,0,1125,2
SAL13201,43,1904,855,340,2202,0.7,1875,2.6
SAL13202,36,2900,1208,450,3202,1,2216,2.2
SAL13203,43,2492,882,430,2511,0.8,2397,3.2
SAL13204,48,2392,915,460,2571,0.7,2075,2.4
SAL13205,43,2817,856,313,2555,0.9,2193,3.1
SAL13206,50,1800,830,470,1458,0.8,1416,2.6
SAL13207,46,1677,909,450,2160,0.9,2053,2.9
SAL13208,48,2167,725,144,1562,0.7,1343,2.6
SAL13209,48,1817,754,250,2214,0.8,1812,2.6
SAL13210,38,2500,935,850,2888,0.7,3049,3.5
SAL13211,39,2817,963,580,2734,0.8,2459,3
SAL13212,38,2383,931,375,2511,0.8,2171,2.8
SAL13213,55,0,1399,0,2874,0.7,2874,2.5
SAL13214,43,2250,732,395,1821,0.9,1906,3.1
SAL13215,59,0,2374,0,0,0,3750,0
SAL13216,50,1335,491,250,1347,1,1011,2.3
SAL13217,54,725,393,187,949,0.7,780,2
SAL13218,0,0,0,0,0,0,0,0
SAL13219,41,1700,680,395,1458,0.9,1625,2.9
SAL13220,0,0,0,0,0,0,0,0
SAL13221,53,0,1625,0,0,0,1625,0
SAL13222,49,1350,862,175,1624,0.7,1208,2.1
SAL13223,59,1717,556,350,1302,0.7,1098,2.1
SAL13224,30,0,899,0,1749,0.4,1749,2.7
SAL13225,48,0,900,0,2624,0.7,1625,2.7
SAL13226,40,0,1249,0,2750,0.4,1375,1.3
SAL13227,45,0,441,155,1125,0.6,1041,2.3
SAL13228,34,1300,762,210,1791,0.8,1562,2.9
SAL13229,52,1667,687,280,2250,0.9,3083,3.3
SAL13230,44,1300,825,250,1937,0.6,1625,2.3
SAL13231,39,2260,939,150,2750,0.9,1958,2.7
SAL13232,57,1865,725,150,1149,0.7,1024,2.3
SAL13233,44,1369,725,0,2374,1,2374,3
SAL13234,0,0,0,0,0,0,0,0
SAL13235,52,1582,809,235,1625,0.8,1375,2.5
SAL13236,53,1831,725,400,1458,0.8,1625,2.7
SAL13237,45,1924,900,450,3249,0.8,2187,3.1
SAL13238,38,2969,1009,565,2832,0.8,2696,3.2
SAL13239,30,4333,1083,600,2349,1.1,3250,4.4
SAL13240,40,54,640,150,1474,0.9,1350,2.7
SAL13241,39,3033,1221,500,3367,0.8,3276,3.5
SAL13242,34,2167,803,430,2228,1,2169,3.5
SAL13243,46,2000,751,380,2278,0.8,1621,2.5
SAL13244,48,1947,889,390,2074,0.8,1635,2
SAL13245,51,5000,1805,900,4921,0.8,4518,2.2
SAL13246,0,0,0,0,0,0,0,0
SAL13247,44,2167,1124,0,1875,0.9,1624,2.8
SAL13248,55,2500,1059,605,2648,0.6,2453,2.4
SAL13249,39,1668,754,280,2125,1,2250,3
SAL13250,43,0,900,240,3750,0.7,1874,2.2
SAL13251,44,1517,758,100,2249,0.9,1625,2.9
SAL13252,49,900,669,145,1906,0.8,1437,2.5
SAL13253,45,2050,1124,200,2583,0.7,2249,2.8
SAL13254,40,2000,1522,205,1333,0.8,1062,2.4
SAL13255,65,0,0,0,0,0,0,0
SAL13256,39,3500,1227,795,3553,0.8,3394,3.2
SAL13257,42,1950,651,340,1759,0.8,1309,2.4
SAL13258,48,1751,680,380,1684,0.7,1283,2.2
SAL13259,0,0,0,0,0,0,0,0
SAL13260,0,0,0,0,0,0,0,0
SAL13261,51,1474,749,590,1875,0.7,1687,2.2
SAL13262,46,1272,587,250,1549,0.7,1149,2.3
SAL13263,53,1950,511,280,1474,0.8,1300,2.7
SAL13264,46,2000,836,520,1937,0.8,1724,2.5
SAL13265,61,1307,772,300,1531,0.6,1281,1.9
SAL13266,49,1343,496,275,1312,0.6,949,1.9
SAL13267,31,2600,900,500,2447,1,2218,3.2
SAL13268,34,2297,1566,490,3455,1.1,2054,1.4
SAL13269,42,2071,731,500,1832,0.8,1550,2.7
SAL13270,44,2167,493,433,1562,0.9,1476,3.1
SAL13271,40,1409,479,210,1062,1.1,850,2.8
SAL13272,34,2200,754,520,2291,0.9,2310,3.6
SAL13273,56,1600,865,428,2068,0.7,1875,2.3
SAL13274,0,0,0,0,0,0,0,0
SAL13275,47,2500,619,255,1875,0.8,1562,2.6
SAL13276,44,1900,669,350,1910,0.8,1335,2.4
SAL13277,41,2400,1191,360,2812,0.9,2625,2.8
SAL13278,38,2167,840,435,2300,0.9,2079,2.9
SAL13279,43,0,2187,0,1625,2,1625,2
SAL13280,60,2817,450,150,849,0.7,850,2.5
SAL13281,50,2331,866,220,1875,0.7,1687,2.5
SAL13282,62,0,724,0,575,0.4,1574,1.5
SAL13283,32,400,824,240,1375,0.7,1333,2.5
SAL13284,51,0,1213,150,2999,0.7,2349,2.3
